date,value
2022/12/02-15:52:15,0.21333333333
2022/12/02-15:52:30,0.2
2022/12/02-15:52:45,0.2
2022/12/02-15:53:00,0.2
2022/12/02-15:53:15,0.2
2022/12/02-15:53:30,0.28666666667
2022/12/02-15:53:45,0.3
2022/12/02-15:54:00,0.3
2022/12/02-15:54:15,0.3
2022/12/02-15:54:30,0.3
2022/12/02-15:54:45,0.3
2022/12/02-15:55:00,0.3
2022/12/02-15:55:15,0.22
2022/12/02-15:55:30,0.2
2022/12/02-15:55:45,0.2
2022/12/02-15:56:00,0.2
2022/12/02-15:56:15,0.2
2022/12/02-15:56:30,0.2
2022/12/02-15:56:45,0.26666666667
2022/12/02-15:57:00,0.3
2022/12/02-15:57:15,0.3
2022/12/02-15:57:30,0.3
2022/12/02-15:57:45,0.3
2022/12/02-15:58:00,0.3
2022/12/02-15:58:15,0.3
2022/12/02-15:58:30,0.3
2022/12/02-15:58:45,0.3
2022/12/02-15:59:00,0.3
2022/12/02-15:59:15,0.3
2022/12/02-15:59:30,0.3
2022/12/02-15:59:45,0.24
2022/12/02-16:00:00,0.2
2022/12/02-16:00:15,0.92
2022/12/02-16:00:30,1.4
2022/12/02-16:00:45,1.4
2022/12/02-16:01:00,1.4
2022/12/02-16:01:15,0.66666666667
2022/12/02-16:01:30,0.3
2022/12/02-16:01:45,0.3
2022/12/02-16:02:00,0.3
2022/12/02-16:02:15,0.3
2022/12/02-16:02:30,0.3
2022/12/02-16:02:45,0.23333333333
2022/12/02-16:03:00,0.2
2022/12/02-16:03:15,0.34666666667
2022/12/02-16:03:30,0.4
2022/12/02-16:03:45,0.4
2022/12/02-16:04:00,0.4
2022/12/02-16:04:15,0.4
2022/12/02-16:04:30,0.4
2022/12/02-16:04:45,0.32666666667
2022/12/02-16:05:00,0.3
2022/12/02-16:05:15,0.3
2022/12/02-16:05:30,0.3
2022/12/02-16:05:45,0.5
2022/12/02-16:06:00,0.6
2022/12/02-16:06:15,0.46666666667
2022/12/02-16:06:30,0.4
2022/12/02-16:06:45,0.34
2022/12/02-16:07:00,0.3
2022/12/02-16:07:15,0.42
2022/12/02-16:07:30,0.5
2022/12/02-16:07:45,0.5
2022/12/02-16:08:00,0.5
2022/12/02-16:08:15,0.5
2022/12/02-16:08:30,0.5
2022/12/02-16:08:45,0.3
2022/12/02-16:09:00,0.2
2022/12/02-16:09:15,0.2
2022/12/02-16:09:30,0.2
2022/12/02-16:09:45,0.2
2022/12/02-16:10:00,0.2
2022/12/02-16:10:15,0.2
2022/12/02-16:10:30,0.2
2022/12/02-16:10:45,0.2
2022/12/02-16:11:00,0.2
2022/12/02-16:11:15,0.2
2022/12/02-16:11:30,0.2
2022/12/02-16:11:45,0.2
2022/12/02-16:12:00,0.2
2022/12/02-16:12:15,0.2
2022/12/02-16:12:30,0.2
2022/12/02-16:12:45,0.2
2022/12/02-16:13:00,0.2
2022/12/02-16:13:15,0.2
2022/12/02-16:13:30,0.2
2022/12/02-16:13:45,0.2
2022/12/02-16:14:00,0.2
2022/12/02-16:14:15,0.2
2022/12/02-16:14:30,0.2
2022/12/02-16:14:45,0.2
2022/12/02-16:15:00,0.2
2022/12/02-16:15:15,0.2
2022/12/02-16:15:30,0.2
