date,1-min,Nodes,CPUs,Procs
2022/12/11-20:35:15,2.5,8,65,10
2022/12/11-20:35:30,2.48,8,65,10
2022/12/11-20:35:45,2.564,8,65,10
2022/12/11-20:36:00,2.542,8,65,10
2022/12/11-20:36:15,2.4533333333,8,65,9.1333333333
2022/12/11-20:36:30,2.44,8,65,9
2022/12/11-20:36:45,2.44,8,65,9
2022/12/11-20:37:00,2.466,8,65,9
2022/12/11-20:37:15,2.2966666667,8,65,9
2022/12/11-20:37:30,2.27,8,65,11.6
2022/12/11-20:37:45,2.2266666667,8,65,12
2022/12/11-20:38:00,2.3,8,65,12
2022/12/11-20:38:15,2.32,8,65,12
2022/12/11-20:38:30,2.32,8,65,12
2022/12/11-20:38:45,2.32,8,65,12
2022/12/11-20:39:00,2.476,8,65,13.733333333
2022/12/11-20:39:15,2.416,8,65,14
2022/12/11-20:39:30,2.41,8,65,14
2022/12/11-20:39:45,2.41,8,65,14
2022/12/11-20:40:00,2.4473333333,8,65,14
2022/12/11-20:40:15,2.5433333333,8,65,13.066666667
2022/12/11-20:40:30,2.55,8,65,13
2022/12/11-20:40:45,2.58,8,65,13
2022/12/11-20:41:00,2.4,8,65,15
2022/12/11-20:41:15,2.4,8,65,15
2022/12/11-20:41:30,2.34,8,65,12
2022/12/11-20:41:45,2.37,8,65,12
2022/12/11-20:42:00,2.32,8,65,12
2022/12/11-20:42:15,2.26,8,65,10
2022/12/11-20:42:30,2.26,8,65,11
2022/12/11-20:42:45,2.26,8,65,11
2022/12/11-20:43:00,2.26,8,65,4
2022/12/11-20:43:15,2.42,8,65,4
2022/12/11-20:43:30,2.484,8,65,4
2022/12/11-20:43:45,2.5493333333,8,65,3.9333333333
2022/12/11-20:44:00,2.68,8,65,3.8
2022/12/11-20:44:15,2.68,8,65,15
2022/12/11-20:44:30,2.6906666667,8,65,15
2022/12/11-20:44:45,2.7653333333,8,65,15
2022/12/11-20:45:00,2.8293333333,8,65,15
2022/12/11-20:45:15,2.676,8,65,14.6
2022/12/11-20:45:30,2.62,8,65,9
2022/12/11-20:45:45,2.62,8,65,9
2022/12/11-20:46:00,2.6173333333,8,65,9
2022/12/11-20:46:15,2.6013333333,8,65,9
2022/12/11-20:46:30,2.7313333333,8,65,9
2022/12/11-20:46:45,2.6106666667,8,65,8.6
2022/12/11-20:47:00,2.62,8,65,3
2022/12/11-20:47:15,2.62,8,65,3
2022/12/11-20:47:30,2.6253333333,8,65,3
2022/12/11-20:47:45,2.6586666667,8,65,3
2022/12/11-20:48:00,2.6393333333,8,65,4.4666666667
2022/12/11-20:48:15,2.5553333333,8,65,14
2022/12/11-20:48:30,2.46,8,65,14
2022/12/11-20:48:45,2.46,8,65,14
2022/12/11-20:49:00,2.4666666667,8,65,14
2022/12/11-20:49:15,2.5406666667,8,65,14
2022/12/11-20:49:30,2.7226666667,8,65,13.6
2022/12/11-20:49:45,2.5873333333,8,65,11
2022/12/11-20:50:00,2.44,8,65,11
2022/12/11-20:50:15,2.44,8,65,11
2022/12/11-20:50:30,2.434,8,65,11
2022/12/11-20:50:45,2.3873333333,8,65,11.533333333
2022/12/11-20:51:00,2.3873333333,8,65,11.533333333
2022/12/11-20:51:15,2.97,8,65,12
2022/12/11-20:51:30,2.97,8,65,12
2022/12/11-20:51:45,2.97,8,65,12
2022/12/11-20:52:00,2.914,8,65,12
2022/12/11-20:52:15,2.73,8,65,13
2022/12/11-20:52:30,2.73,8,65,13
2022/12/11-20:52:45,2.65,8,65,13
2022/12/11-20:53:00,2.67,8,65,13
2022/12/11-20:53:15,2.67,8,65,13
2022/12/11-20:53:30,2.698,8,65,11.133333333
2022/12/11-20:53:45,2.99,8,65,11
2022/12/11-20:54:00,3.0033333333,8,65,11
2022/12/11-20:54:15,3.1793333333,8,65,11
2022/12/11-20:54:30,3.03,8,65,11
2022/12/11-20:54:45,3.03,8,65,11
2022/12/11-20:55:00,3.0213333333,8,65,11
2022/12/11-20:55:15,2.9013333333,8,65,11
2022/12/11-20:55:30,2.8966666667,8,65,11
2022/12/11-20:55:45,2.8033333333,8,65,11
2022/12/11-20:56:00,2.76,8,65,11.266666667
2022/12/11-20:56:15,2.76,8,65,13
2022/12/11-20:56:30,2.7586666667,8,65,13
2022/12/11-20:56:45,2.7306666667,8,65,13
2022/12/11-20:57:00,2.5926666667,8,65,13
2022/12/11-20:57:15,2.4906666667,8,65,13
2022/12/11-20:57:30,2.5,8,65,13
2022/12/11-20:57:45,2.5,8,65,13
2022/12/11-20:58:00,2.5026666667,8,65,13
2022/12/11-20:58:15,2.5373333333,8,65,13
2022/12/11-20:58:30,2.5146666667,8,65,13.133333333
2022/12/11-20:58:45,2.4713333333,8,65,13.733333333
2022/12/11-20:59:00,2.35,8,65,10
2022/12/11-20:59:15,2.35,8,65,10
2022/12/11-20:59:30,2.3486666667,8,65,10
2022/12/11-20:59:45,2.414,8,65,9.8
2022/12/11-21:00:00,2.678,8,65,10.4
2022/12/11-21:00:15,2.58,8,65,16
2022/12/11-21:00:30,2.7,8,65,16
2022/12/11-21:00:45,2.7,8,65,16
2022/12/11-21:01:00,2.698,8,65,16
2022/12/11-21:01:15,2.666,8,65,16
2022/12/11-21:01:30,2.5973333333,8,65,15.2
2022/12/11-21:01:45,2.6266666667,8,65,13
2022/12/11-21:02:00,2.7,8,65,13
2022/12/11-21:02:15,2.7,8,65,13
2022/12/11-21:02:30,2.7986666667,8,65,13
2022/12/11-21:02:45,3.0133333333,8,65,13.333333333
2022/12/11-21:03:00,2.9633333333,8,65,14
2022/12/11-21:03:15,3.122,8,65,14
2022/12/11-21:03:30,3.17,8,65,14
2022/12/11-21:03:45,3.17,8,65,14
2022/12/11-21:04:00,3.038,8,65,14
2022/12/11-21:04:15,2.792,8,65,12.4
2022/12/11-21:04:30,2.65,8,65,10
2022/12/11-21:04:45,2.6353333333,8,65,10
2022/12/11-21:05:00,2.71,8,65,10
2022/12/11-21:05:15,2.71,8,65,10.466666667
2022/12/11-21:05:30,2.6353333333,8,65,10.533333333
2022/12/11-21:05:45,2.5546666667,8,65,10
2022/12/11-21:06:00,2.5553333333,8,65,10
2022/12/11-21:06:15,2.802,8,65,10
2022/12/11-21:06:30,3.09,8,65,9.5333333333
2022/12/11-21:06:45,3.09,8,65,9
2022/12/11-21:07:00,3.09,8,65,9
2022/12/11-21:07:15,2.9406666667,8,65,9
2022/12/11-21:07:30,2.8146666667,8,65,9
2022/12/11-21:07:45,2.6893333333,8,65,9
2022/12/11-21:08:00,2.54,8,65,9
2022/12/11-21:08:15,2.54,8,65,7.6
2022/12/11-21:08:30,2.5446666667,8,65,6
2022/12/11-21:08:45,2.5593333333,8,65,6
2022/12/11-21:09:00,2.5806666667,8,65,6
2022/12/11-21:09:15,2.562,8,65,6
2022/12/11-21:09:30,2.53,8,65,7.6
2022/12/11-21:09:45,2.53,8,65,9
2022/12/11-21:10:00,2.8233333333,8,65,9
2022/12/11-21:10:15,3.112,8,65,9
2022/12/11-21:10:30,3.1293333333,8,65,9
2022/12/11-21:10:45,3.204,8,65,6.6
2022/12/11-21:11:00,3.26,8,65,5
2022/12/11-21:11:15,3.26,8,65,5
2022/12/11-21:11:30,3.22,8,65,5
2022/12/11-21:11:45,3.158,8,65,5
2022/12/11-21:12:00,3.058,8,65,5
2022/12/11-21:12:15,2.8766666667,8,65,7.6666666667
2022/12/11-21:12:30,2.76,8,65,10
2022/12/11-21:12:45,2.76,8,65,10
2022/12/11-21:13:00,2.7866666667,8,65,10
2022/12/11-21:13:15,2.7773333333,8,65,10
2022/12/11-21:13:30,2.782,8,65,10.933333333
2022/12/11-21:13:45,2.8253333333,8,65,12
2022/12/11-21:14:00,2.82,8,65,12
2022/12/11-21:14:15,2.82,8,65,12
2022/12/11-21:14:30,2.788,8,65,12
2022/12/11-21:14:45,2.708,8,65,9.2
2022/12/11-21:15:00,2.636,8,65,5
2022/12/11-21:15:15,2.672,8,65,5
2022/12/11-21:15:30,2.78,8,65,5
2022/12/11-21:15:45,2.78,8,65,5
2022/12/11-21:16:00,2.748,8,65,8.6
2022/12/11-21:16:15,2.6633333333,8,65,14
2022/12/11-21:16:30,2.5733333333,8,65,14
2022/12/11-21:16:45,2.608,8,65,14
2022/12/11-21:17:00,2.71,8,65,14
2022/12/11-21:17:15,2.71,8,65,14
2022/12/11-21:17:30,2.7666666667,8,65,13.666666667
2022/12/11-21:17:45,2.8166666667,8,65,13
2022/12/11-21:18:00,2.8,8,65,13
2022/12/11-21:18:15,3.092,8,65,13
2022/12/11-21:18:30,3.29,8,65,13
2022/12/11-21:18:45,3.29,8,65,13
2022/12/11-21:19:00,3.238,8,65,13
2022/12/11-21:19:15,2.972,8,65,13
2022/12/11-21:19:30,2.726,8,65,13.2
2022/12/11-21:19:45,2.664,8,65,14
2022/12/11-21:20:00,2.64,8,65,14.4
2022/12/11-21:20:15,2.64,8,65,16
2022/12/11-21:20:30,2.682,8,65,16
2022/12/11-21:20:45,2.9126666667,8,65,16
2022/12/11-21:21:00,3.292,8,65,16.133333333
2022/12/11-21:21:15,3.07,8,65,16.8
2022/12/11-21:21:30,2.91,8,65,15.866666667
2022/12/11-21:21:45,2.91,8,65,15
2022/12/11-21:22:00,2.894,8,65,15
2022/12/11-21:22:15,2.776,8,65,14.8
2022/12/11-21:22:30,2.7386666667,8,65,13.733333333
2022/12/11-21:22:45,2.7446666667,8,65,11.933333333
2022/12/11-21:23:00,2.62,8,65,9
