Timestamp,In,Out
1670790915,2771019.25,3038228.6633
1670790930,2771736.61,3037970.97
1670790945,2763095.1273,2844407.362
1670790960,2926726.36,2848054.77
1670790975,2930881.27,2846497.8
1670790990,3148965.93,2737318.96
1670791005,3147764.87,2736042.95
1670791020,3248715.0433,2898334.0207
1670791035,2859177.9687,2924643.2827
1670791050,2836028.668,2928223.7027
1670791065,2840501.7647,2964909.1267
1670791080,2777437.8,2952943.02
1670791095,2772685.73,2940914.57
1670791110,2566781.282,2566932.2833
1670791125,2567847.2273,2572358.338
1670791140,2825573.8667,3121488.208
1670791155,2858895.8607,3164258.6993
1670791170,2729598.754,2892257.5207
1670791185,2628600.3753,2578818.1173
1670791200,2701543.736,2576430.8627
1670791215,2622141.2033,2661426.0547
1670791230,2532077.8187,2769114.4867
1670791245,2736579.2287,3125166.5567
1670791260,3205681.2807,3542189.7167
1670791275,3474506.3453,3552854.452
1670791290,3325738.0007,3261768.0793
1670791305,3153702.3093,2930849.6727
1670791320,2784425.77,2915362.61
1670791335,2763733.9327,2895780.3433
1670791350,2612714.4307,2634741.3533
1670791365,2751758.6787,2922053.07
1670791380,2880738.9347,3245522.2613
1670791395,2851841.2687,3244490.1533
1670791410,2839155.9407,3098130.168
1670791425,2902637.544,2941652.5627
1670791440,2991901.4813,2948160.3867
1670791455,2998239.3107,3009184.692
1670791470,2871693.7033,3082486.6813
1670791485,2595110.3667,2970915.9967
1670791500,2745601.4,2764538.1733
1670791515,3362521.484,2767016.832
1670791530,3427179.438,2837577.002
1670791545,3247777.1727,2947855.896
1670791560,2931732.8173,2952488.7307
1670791575,2820767.2253,2793814.2893
1670791590,2494837.2507,2557715.3607
1670791605,2449164.4207,2724098.0507
1670791620,2752429.8113,2933482.1007
1670791635,2966953.9713,2938043.3233
1670791650,2862119.4627,2860452.996
1670791665,2958738.2373,2774030.3527
1670791680,3275992.572,2778003.548
1670791695,3312007.638,2775895.2253
1670791710,3154034.9233,2780234.3767
1670791725,2696213.76,2846837.1533
1670791740,2731438.604,2989497.6707
1670791755,2786307.53,2986188.5167
1670791770,2786825.6633,2991986.9033
1670791785,2791995.2033,3007128.1833
1670791800,2798965.91,3013060.066
1670791815,2781913.4127,2928342.3713
1670791830,2692784.9833,2702936.944
1670791845,2676993.9367,2900282.8767
1670791860,3090710.692,3469381.9767
1670791875,3472064.9167,3481458.6367
1670791890,3388145.2667,3330614.5167
1670791905,3081724.0567,3027746.47
1670791920,2803892.5433,3022056.56
1670791935,2734258.2453,2867618.0887
1670791950,2593094.9347,2565091.7027
1670791965,2699308.1513,2786030.6667
1670791980,2901768.0507,3232847.1993
1670791995,2860465.1327,3228007.9
1670792010,2776531.854,3050248.5473
1670792025,2592868.9087,2561664.1767
1670792040,2717058.316,2558841.1947
1670792055,2753252.2073,2640611.696
1670792070,2767745.598,2880592.29
1670792085,2501895.1213,2860717.82
1670792100,2553420.778,2818843.388
1670792115,2831030.654,2829567.134
1670792130,2834334.156,2833741.436
1670792145,2810788.24,2843736.642
1670792160,2673098.112,2832372.6553
1670792175,2641337.4693,2761016.802
1670792190,2550058.998,2570268.324
1670792205,2617469.406,2687560.408
1670792220,2855203.096,3133362.758
1670792235,2870895.288,3126522.566
1670792250,2793911.4613,2975449.3233
1670792265,2608988.41,2565977.53
1670792280,2711235.4393,2579960.8793
1670792295,2708836.182,2601330.086
1670792310,2655053.862,2718506.232
1670792325,2434199.06,2740516.716
1670792340,2614386.388,2895412.504
1670792355,2885542.27,2911506.98
1670792370,2886009.024,2906983.202
1670792385,2847484.6,2881369.324
1670792400,2688923.9293,2863893.1253
1670792415,2602275.1867,2720425.3533
1670792430,3091906.454,2657313.0427
1670792445,3359819.216,2668427.24
1670792460,3440800.9673,3377556.0033
1670792475,3479314.9387,3723039.3687
1670792490,3026121.8193,3011968.0267
1670792505,2674404.816,2751262.6753
1670792520,2605189.0667,2753761.4853
1670792535,2736817.6767,2886209.128
1670792550,2759068.8067,2917334.8013
1670792565,2748506.9527,2911830.6553
1670792580,2731954.7567,2962395.3633
1670792595,2783078.0933,2987981.7133
1670792610,2848387.6567,4214794.5267
1670792625,3568517.9333,4842623.5333
1670792640,3919994.742,4850089.8307
1670792655,3808234.17,3478298.06
1670792670,2914842.3787,2771353.6467
1670792685,2497801.2353,2768816.402
1670792700,2651293.41,2906131.466
1670792715,2835714.1807,2950922.0867
1670792730,2706966.088,2765863.5533
1670792745,2585816.91,2696009.0467
1670792760,2555763.8313,2693422.8847
1670792775,2642116.832,2751930.458
1670792790,2707988.8867,2781387.5967
1670792805,2722479.7607,2780664.714
1670792820,2757826.5533,2892110.0233
1670792835,2749109.07,2944664.2353
1670792850,2738187.508,2945898.5447
1670792865,2802002.0047,2849870.2233
1670792880,2845636.746,2790561.496
1670792895,2752021.488,2775869.118
1670792910,2564170.69,2764278.194
1670792925,2480571.4727,2760387.0473
1670792940,2625289.8453,2916459.9887
1670792955,3234163.2547,3046005.3747
1670792970,3587161.4267,3032024.188
1670792985,2651488.32,2781619.95
1670793000,2651741.54,2789376.49
1670793015,2570427.04,2549055.22
1670793030,2684001.5,2559648.06
1670793045,2687814.6987,2563869
1670793060,3350370.1167,3748185.6607
1670793075,3363059.4767,3738938.5393
1670793090,3375525.666,3743534.7127
1670793105,3342119.6933,3051341.78
1670793120,3326698.1033,2801846.426
1670793135,3362022.726,2708788.956
1670793150,2926911.4893,2663979.81
1670793165,2764215.12,2665973.836
1670793180,2797930.576,2988890.33
1670793195,2708669.142,3093990.2773
1670793210,2608446.266,2800330.4213
1670793225,2732976.59,2702636.2447
1670793240,2806906.61,2712988.89
1670793255,2800989.95,2770687.398
1670793270,2578887.5413,2782268.1507
1670793285,2463857.3867,2771921.9713
1670793300,2487885.13,2803994.358
1670793315,2684682.6,2824182.5833
1670793330,2813075.7467,2861281.318
1670793345,2774200.9453,2888621.928
1670793360,2732572.972,2894049.2953
1670793375,2660165.876,2733342.954
1670793390,2630850.154,2629998.72
1670793405,2643231.82,2630337.202
1670793420,2767040.2073,2933087.7487
1670793435,2811566.1713,3128778.398
1670793450,2656547.3707,2856124.4833
1670793465,2714161.776,2682397.0487
1670793480,2805584.9587,2682963.1953
1670793495,2839191.886,2747510.02
1670793510,2632513.556,2783488.66
1670793525,2480205.912,2777069.2693
1670793540,2737402.328,2927742.7753
1670793555,2963831.1573,3053117.8887
1670793570,2910027.6213,2938182.666
1670793585,2776361.8867,2801145.088
1670793600,2694175.072,2803612.3767
1670793615,2706569.1227,2851308.4933
1670793630,2785318.9653,2911841.1873
1670793645,3010095.568,3183414.1167
1670793660,3207237.848,3491745.126
1670793675,3236097.484,3500351.0627
