date,value
2022/12/11-20:35:15,8121.938
2022/12/11-20:35:30,8121.938
2022/12/11-20:35:45,8121.938
2022/12/11-20:36:00,8121.938
2022/12/11-20:36:15,8121.938
2022/12/11-20:36:30,8121.938
2022/12/11-20:36:45,8121.938
2022/12/11-20:37:00,8121.9371333
2022/12/11-20:37:15,8121.937
2022/12/11-20:37:30,8121.937
2022/12/11-20:37:45,8121.937
2022/12/11-20:38:00,8121.937
2022/12/11-20:38:15,8121.937
2022/12/11-20:38:30,8121.937
2022/12/11-20:38:45,8121.937
2022/12/11-20:39:00,8121.937
2022/12/11-20:39:15,8121.937
2022/12/11-20:39:30,8121.937
2022/12/11-20:39:45,8121.937
2022/12/11-20:40:00,8121.937
2022/12/11-20:40:15,8121.937
2022/12/11-20:40:30,8121.937
2022/12/11-20:40:45,8121.937
2022/12/11-20:41:00,8121.937
2022/12/11-20:41:15,8121.937
2022/12/11-20:41:30,8121.937
2022/12/11-20:41:45,8121.937
2022/12/11-20:42:00,8121.937
2022/12/11-20:42:15,8121.937
2022/12/11-20:42:30,8121.937
2022/12/11-20:42:45,8121.937
2022/12/11-20:43:00,8121.937
2022/12/11-20:43:15,8121.937
2022/12/11-20:43:30,8121.937
2022/12/11-20:43:45,8121.937
2022/12/11-20:44:00,8121.937
2022/12/11-20:44:15,8121.937
2022/12/11-20:44:30,8121.937
2022/12/11-20:44:45,8121.937
2022/12/11-20:45:00,8121.937
2022/12/11-20:45:15,8121.937
2022/12/11-20:45:30,8121.937
2022/12/11-20:45:45,8121.937
2022/12/11-20:46:00,8121.937
2022/12/11-20:46:15,8121.937
2022/12/11-20:46:30,8121.937
2022/12/11-20:46:45,8121.937
2022/12/11-20:47:00,8121.937
2022/12/11-20:47:15,8121.937
2022/12/11-20:47:30,8121.937
2022/12/11-20:47:45,8121.937
2022/12/11-20:48:00,8121.937
2022/12/11-20:48:15,8121.937
2022/12/11-20:48:30,8121.937
2022/12/11-20:48:45,8121.9368667
2022/12/11-20:49:00,8121.936
2022/12/11-20:49:15,8121.936
2022/12/11-20:49:30,8121.936
2022/12/11-20:49:45,8121.936
2022/12/11-20:50:00,8121.936
2022/12/11-20:50:15,8121.936
2022/12/11-20:50:30,8121.936
2022/12/11-20:50:45,8121.936
2022/12/11-20:51:00,8121.936
2022/12/11-20:51:15,8121.936
2022/12/11-20:51:30,8121.936
2022/12/11-20:51:45,8121.936
2022/12/11-20:52:00,8121.936
2022/12/11-20:52:15,8121.936
2022/12/11-20:52:30,8121.936
2022/12/11-20:52:45,8121.936
2022/12/11-20:53:00,8121.936
2022/12/11-20:53:15,8121.936
2022/12/11-20:53:30,8121.936
2022/12/11-20:53:45,8121.936
2022/12/11-20:54:00,8121.936
2022/12/11-20:54:15,8121.936
2022/12/11-20:54:30,8121.936
2022/12/11-20:54:45,8121.936
2022/12/11-20:55:00,8121.936
2022/12/11-20:55:15,8121.936
2022/12/11-20:55:30,8121.936
2022/12/11-20:55:45,8121.936
2022/12/11-20:56:00,8121.936
2022/12/11-20:56:15,8121.936
2022/12/11-20:56:30,8121.936
2022/12/11-20:56:45,8121.936
2022/12/11-20:57:00,8121.936
2022/12/11-20:57:15,8121.936
2022/12/11-20:57:30,8121.936
2022/12/11-20:57:45,8121.9361333
2022/12/11-20:58:00,8121.938
2022/12/11-20:58:15,8121.938
2022/12/11-20:58:30,8121.938
2022/12/11-20:58:45,8121.938
2022/12/11-20:59:00,8121.938
2022/12/11-20:59:15,8121.938
2022/12/11-20:59:30,8121.938
2022/12/11-20:59:45,8121.938
2022/12/11-21:00:00,8121.938
2022/12/11-21:00:15,8121.938
2022/12/11-21:00:30,8121.938
2022/12/11-21:00:45,8121.9378
2022/12/11-21:01:00,8121.937
2022/12/11-21:01:15,8121.937
2022/12/11-21:01:30,8121.937
2022/12/11-21:01:45,8121.937
2022/12/11-21:02:00,8121.937
2022/12/11-21:02:15,8121.937
2022/12/11-21:02:30,8121.937
2022/12/11-21:02:45,8121.937
2022/12/11-21:03:00,8121.937
2022/12/11-21:03:15,8121.937
2022/12/11-21:03:30,8121.937
2022/12/11-21:03:45,8121.937
2022/12/11-21:04:00,8121.9366
2022/12/11-21:04:15,8121.936
2022/12/11-21:04:30,8121.936
2022/12/11-21:04:45,8121.936
2022/12/11-21:05:00,8121.936
2022/12/11-21:05:15,8121.936
2022/12/11-21:05:30,8121.936
2022/12/11-21:05:45,8121.936
2022/12/11-21:06:00,8121.936
2022/12/11-21:06:15,8121.936
2022/12/11-21:06:30,8121.936
2022/12/11-21:06:45,8121.936
2022/12/11-21:07:00,8121.9364667
2022/12/11-21:07:15,8121.937
2022/12/11-21:07:30,8121.937
2022/12/11-21:07:45,8121.937
2022/12/11-21:08:00,8121.937
2022/12/11-21:08:15,8121.937
2022/12/11-21:08:30,8121.937
2022/12/11-21:08:45,8121.937
2022/12/11-21:09:00,8121.937
2022/12/11-21:09:15,8121.937
2022/12/11-21:09:30,8121.937
2022/12/11-21:09:45,8121.937
2022/12/11-21:10:00,8121.9364667
2022/12/11-21:10:15,8121.936
2022/12/11-21:10:30,8121.936
2022/12/11-21:10:45,8121.936
2022/12/11-21:11:00,8121.936
2022/12/11-21:11:15,8121.936
2022/12/11-21:11:30,8121.936
2022/12/11-21:11:45,8121.936
2022/12/11-21:12:00,8121.936
2022/12/11-21:12:15,8121.936
2022/12/11-21:12:30,8121.936
2022/12/11-21:12:45,8121.936
2022/12/11-21:13:00,8121.936
2022/12/11-21:13:15,8121.936
2022/12/11-21:13:30,8121.936
2022/12/11-21:13:45,8121.936
2022/12/11-21:14:00,8121.936
2022/12/11-21:14:15,8121.936
2022/12/11-21:14:30,8121.936
2022/12/11-21:14:45,8121.936
2022/12/11-21:15:00,8121.936
2022/12/11-21:15:15,8121.936
2022/12/11-21:15:30,8121.936
2022/12/11-21:15:45,8121.936
2022/12/11-21:16:00,8121.936
2022/12/11-21:16:15,8121.936
2022/12/11-21:16:30,8121.936
2022/12/11-21:16:45,8121.936
2022/12/11-21:17:00,8121.936
2022/12/11-21:17:15,8121.936
2022/12/11-21:17:30,8121.936
2022/12/11-21:17:45,8121.936
2022/12/11-21:18:00,8121.936
2022/12/11-21:18:15,8121.936
2022/12/11-21:18:30,8121.936
2022/12/11-21:18:45,8121.936
2022/12/11-21:19:00,8121.936
2022/12/11-21:19:15,8121.936
2022/12/11-21:19:30,8121.936
2022/12/11-21:19:45,8121.936
2022/12/11-21:20:00,8121.936
2022/12/11-21:20:15,8121.936
2022/12/11-21:20:30,8121.936
2022/12/11-21:20:45,8121.936
2022/12/11-21:21:00,8121.936
2022/12/11-21:21:15,8121.936
2022/12/11-21:21:30,8121.936
2022/12/11-21:21:45,8121.9364
2022/12/11-21:22:00,8121.939
2022/12/11-21:22:15,8121.939
2022/12/11-21:22:30,8121.939
2022/12/11-21:22:45,8121.939
2022/12/11-21:23:00,8121.939
2022/12/11-21:23:15,8121.939
2022/12/11-21:23:30,8121.939
2022/12/11-21:23:45,8121.939
2022/12/11-21:24:00,8121.939
2022/12/11-21:24:15,8121.939
2022/12/11-21:24:30,8121.939
2022/12/11-21:24:45,8121.9382
2022/12/11-21:25:00,8121.936
2022/12/11-21:25:15,8121.936
2022/12/11-21:25:30,8121.936
2022/12/11-21:25:45,8121.936
2022/12/11-21:26:00,8121.936
2022/12/11-21:26:15,8121.936
2022/12/11-21:26:30,8121.936
2022/12/11-21:26:45,8121.936
2022/12/11-21:27:00,8121.936
2022/12/11-21:27:15,8121.936
2022/12/11-21:27:30,8121.936
2022/12/11-21:27:45,8121.936
2022/12/11-21:28:00,8121.936
2022/12/11-21:28:15,8121.936
2022/12/11-21:28:30,8121.936
2022/12/11-21:28:45,8121.936
2022/12/11-21:29:00,8121.936
2022/12/11-21:29:15,8121.936
2022/12/11-21:29:30,8121.936
2022/12/11-21:29:45,8121.936
2022/12/11-21:30:00,8121.936
2022/12/11-21:30:15,8121.936
2022/12/11-21:30:30,8121.936
2022/12/11-21:30:45,8121.936
2022/12/11-21:31:00,8121.937
2022/12/11-21:31:15,8121.937
2022/12/11-21:31:30,8121.937
2022/12/11-21:31:45,8121.937
2022/12/11-21:32:00,8121.937
2022/12/11-21:32:15,8121.937
2022/12/11-21:32:30,8121.937
2022/12/11-21:32:45,8121.937
2022/12/11-21:33:00,8121.937
2022/12/11-21:33:15,8121.937
2022/12/11-21:33:30,8121.937
2022/12/11-21:33:45,8121.937
2022/12/11-21:34:00,8121.9360667
2022/12/11-21:34:15,8121.936
