date,value
2022/12/11-20:35:15,194152
2022/12/11-20:35:30,194152
2022/12/11-20:35:45,194152
2022/12/11-20:36:00,194152
2022/12/11-20:36:15,192952.53333
2022/12/11-20:36:30,192768
2022/12/11-20:36:45,192768
2022/12/11-20:37:00,205300
2022/12/11-20:37:15,207228
2022/12/11-20:37:30,207228
2022/12/11-20:37:45,216102.66667
2022/12/11-20:38:00,217468
2022/12/11-20:38:15,217644.8
2022/12/11-20:38:30,217672
2022/12/11-20:38:45,217672
2022/12/11-20:39:00,218292.53333
2022/12/11-20:39:15,218388
2022/12/11-20:39:30,218388
2022/12/11-20:39:45,218008
2022/12/11-20:40:00,218008
2022/12/11-20:40:15,216316.8
2022/12/11-20:40:30,216196
2022/12/11-20:40:45,216196
2022/12/11-20:41:00,216320
2022/12/11-20:41:15,216320
2022/12/11-20:41:30,216320
2022/12/11-20:41:45,216376
2022/12/11-20:42:00,216376
2022/12/11-20:42:15,214556
2022/12/11-20:42:30,214556
2022/12/11-20:42:45,214556
2022/12/11-20:43:00,214932
2022/12/11-20:43:15,214932
2022/12/11-20:43:30,214932
2022/12/11-20:43:45,214932
2022/12/11-20:44:00,214932
2022/12/11-20:44:15,214785.33333
2022/12/11-20:44:30,213832
2022/12/11-20:44:45,212203.46667
2022/12/11-20:45:00,189404
2022/12/11-20:45:15,189404
2022/12/11-20:45:30,189411.73333
2022/12/11-20:45:45,189520
2022/12/11-20:46:00,189520
2022/12/11-20:46:15,189520
2022/12/11-20:46:30,189520
2022/12/11-20:46:45,190386.4
2022/12/11-20:47:00,202516
2022/12/11-20:47:15,202516
2022/12/11-20:47:30,203926.66667
2022/12/11-20:47:45,213096
2022/12/11-20:48:00,213096
2022/12/11-20:48:15,213164.26667
2022/12/11-20:48:30,213608
2022/12/11-20:48:45,213657.6
2022/12/11-20:49:00,213980
2022/12/11-20:49:15,213980
2022/12/11-20:49:30,213919.2
2022/12/11-20:49:45,213524
2022/12/11-20:50:00,213524
2022/12/11-20:50:15,213483.2
2022/12/11-20:50:30,212912
2022/12/11-20:50:45,213010.13333
2022/12/11-20:51:00,213010.13333
2022/12/11-20:51:15,213096
2022/12/11-20:51:30,213096
2022/12/11-20:51:45,213096
2022/12/11-20:52:00,213096
2022/12/11-20:52:15,211740
2022/12/11-20:52:30,211740
2022/12/11-20:52:45,211740
2022/12/11-20:53:00,212316
2022/12/11-20:53:15,212316
2022/12/11-20:53:30,212316
2022/12/11-20:53:45,210596
2022/12/11-20:54:00,210596
2022/12/11-20:54:15,210532
2022/12/11-20:54:30,209636
2022/12/11-20:54:45,209623.2
2022/12/11-20:55:00,209540
2022/12/11-20:55:15,209540
2022/12/11-20:55:30,209442.93333
2022/12/11-20:55:45,208812
2022/12/11-20:56:00,208812
2022/12/11-20:56:15,208719.2
2022/12/11-20:56:30,208116
2022/12/11-20:56:45,207419.73333
2022/12/11-20:57:00,197672
2022/12/11-20:57:15,197672
2022/12/11-20:57:30,198791.46667
2022/12/11-20:57:45,206068
2022/12/11-20:58:00,206068
2022/12/11-20:58:15,206221.06667
2022/12/11-20:58:30,207216
2022/12/11-20:58:45,207241.86667
2022/12/11-20:59:00,207604
2022/12/11-20:59:15,207604
2022/12/11-20:59:30,207604
2022/12/11-20:59:45,207604
2022/12/11-21:00:00,207604
2022/12/11-21:00:15,206744.8
2022/12/11-21:00:30,203308
2022/12/11-21:00:45,203235.2
2022/12/11-21:01:00,202944
2022/12/11-21:01:15,202944
2022/12/11-21:01:30,201753.6
2022/12/11-21:01:45,198480
2022/12/11-21:02:00,198480
2022/12/11-21:02:15,198456.53333
2022/12/11-21:02:30,198392
2022/12/11-21:02:45,198392
2022/12/11-21:03:00,199341.33333
2022/12/11-21:03:15,201240
2022/12/11-21:03:30,200334.66667
2022/12/11-21:03:45,198524
2022/12/11-21:04:00,198524
2022/12/11-21:04:15,198340
2022/12/11-21:04:30,198064
2022/12/11-21:04:45,198064
2022/12/11-21:05:00,197944.53333
2022/12/11-21:05:15,197808
2022/12/11-21:05:30,197808
2022/12/11-21:05:45,197808
2022/12/11-21:06:00,197808
2022/12/11-21:06:15,196288.53333
2022/12/11-21:06:30,194552
2022/12/11-21:06:45,194552
2022/12/11-21:07:00,201070.4
2022/12/11-21:07:15,208520
2022/12/11-21:07:30,213627.2
2022/12/11-21:07:45,219464
2022/12/11-21:08:00,219464
2022/12/11-21:08:15,219594.66667
2022/12/11-21:08:30,219744
2022/12/11-21:08:45,219744
2022/12/11-21:09:00,208226.13333
2022/12/11-21:09:15,198148
2022/12/11-21:09:30,198015.73333
2022/12/11-21:09:45,197900
2022/12/11-21:10:00,197900
2022/12/11-21:10:15,194770.4
2022/12/11-21:10:30,192032
2022/12/11-21:10:45,192032
2022/12/11-21:11:00,192891.2
2022/12/11-21:11:15,193464
2022/12/11-21:11:30,190301.33333
2022/12/11-21:11:45,188720
2022/12/11-21:12:00,188720
2022/12/11-21:12:15,188596.26667
2022/12/11-21:12:30,188488
2022/12/11-21:12:45,188488
2022/12/11-21:13:00,189279.46667
2022/12/11-21:13:15,189972
2022/12/11-21:13:30,189972
2022/12/11-21:13:45,189972
2022/12/11-21:14:00,189972
2022/12/11-21:14:15,189972
2022/12/11-21:14:30,189972
2022/12/11-21:14:45,189972
2022/12/11-21:15:00,189567.2
2022/12/11-21:15:15,188960
2022/12/11-21:15:30,186352
2022/12/11-21:15:45,182440
2022/12/11-21:16:00,182440
2022/12/11-21:16:15,182440
2022/12/11-21:16:30,182440
2022/12/11-21:16:45,182440
2022/12/11-21:17:00,191670.4
2022/12/11-21:17:15,205516
2022/12/11-21:17:30,208910.66667
2022/12/11-21:17:45,215700
2022/12/11-21:18:00,215700
2022/12/11-21:18:15,214472.26667
2022/12/11-21:18:30,211096
2022/12/11-21:18:45,211217.6
2022/12/11-21:19:00,211552
2022/12/11-21:19:15,211552
2022/12/11-21:19:30,211491.2
2022/12/11-21:19:45,211248
2022/12/11-21:20:00,211248
2022/12/11-21:20:15,209413.6
2022/12/11-21:20:30,202076
2022/12/11-21:20:45,202174.13333
2022/12/11-21:21:00,202812
2022/12/11-21:21:15,202812
2022/12/11-21:21:30,202812
2022/12/11-21:21:45,202812
2022/12/11-21:22:00,202812
2022/12/11-21:22:15,203144
2022/12/11-21:22:30,204472
2022/12/11-21:22:45,204822.93333
2022/12/11-21:23:00,205788
2022/12/11-21:23:15,205788
2022/12/11-21:23:30,205641.86667
2022/12/11-21:23:45,205240
2022/12/11-21:24:00,205240
2022/12/11-21:24:15,203804.26667
2022/12/11-21:24:30,199856
2022/12/11-21:24:45,199361.06667
2022/12/11-21:25:00,198000
2022/12/11-21:25:15,198000
2022/12/11-21:25:30,195700
2022/12/11-21:25:45,186500
2022/12/11-21:26:00,186500
2022/12/11-21:26:15,186367.73333
2022/12/11-21:26:30,185508
