date,value
2022/12/11-20:35:15,856
2022/12/11-20:35:30,856
2022/12/11-20:35:45,856
2022/12/11-20:36:00,856
2022/12/11-20:36:15,856
2022/12/11-20:36:30,856
2022/12/11-20:36:45,856
2022/12/11-20:37:00,856
2022/12/11-20:37:15,856
2022/12/11-20:37:30,856
2022/12/11-20:37:45,856
2022/12/11-20:38:00,856
2022/12/11-20:38:15,856
2022/12/11-20:38:30,856
2022/12/11-20:38:45,856
2022/12/11-20:39:00,856
2022/12/11-20:39:15,856
2022/12/11-20:39:30,856
2022/12/11-20:39:45,856
2022/12/11-20:40:00,856
2022/12/11-20:40:15,856
2022/12/11-20:40:30,856
2022/12/11-20:40:45,856
2022/12/11-20:41:00,856
2022/12/11-20:41:15,856
2022/12/11-20:41:30,856
2022/12/11-20:41:45,856
2022/12/11-20:42:00,856
2022/12/11-20:42:15,856
2022/12/11-20:42:30,856
2022/12/11-20:42:45,856
2022/12/11-20:43:00,856
2022/12/11-20:43:15,856
2022/12/11-20:43:30,856
2022/12/11-20:43:45,856
2022/12/11-20:44:00,856
2022/12/11-20:44:15,856
2022/12/11-20:44:30,856
2022/12/11-20:44:45,856
2022/12/11-20:45:00,856
2022/12/11-20:45:15,856
2022/12/11-20:45:30,856
2022/12/11-20:45:45,856
2022/12/11-20:46:00,856
2022/12/11-20:46:15,856
2022/12/11-20:46:30,856
2022/12/11-20:46:45,856
2022/12/11-20:47:00,856
2022/12/11-20:47:15,856
2022/12/11-20:47:30,856
2022/12/11-20:47:45,856
2022/12/11-20:48:00,856
2022/12/11-20:48:15,856
2022/12/11-20:48:30,856
2022/12/11-20:48:45,856
2022/12/11-20:49:00,856
2022/12/11-20:49:15,856
2022/12/11-20:49:30,856
2022/12/11-20:49:45,856
2022/12/11-20:50:00,856
2022/12/11-20:50:15,856
2022/12/11-20:50:30,856
2022/12/11-20:50:45,856
2022/12/11-20:51:00,856
2022/12/11-20:51:15,856
2022/12/11-20:51:30,856
2022/12/11-20:51:45,856
2022/12/11-20:52:00,856
2022/12/11-20:52:15,856
2022/12/11-20:52:30,856
2022/12/11-20:52:45,856
2022/12/11-20:53:00,856
2022/12/11-20:53:15,856
2022/12/11-20:53:30,856
2022/12/11-20:53:45,856
2022/12/11-20:54:00,856
2022/12/11-20:54:15,856
2022/12/11-20:54:30,856
2022/12/11-20:54:45,856
2022/12/11-20:55:00,856
2022/12/11-20:55:15,856
2022/12/11-20:55:30,856
2022/12/11-20:55:45,856
2022/12/11-20:56:00,856
2022/12/11-20:56:15,856
2022/12/11-20:56:30,856
2022/12/11-20:56:45,856
2022/12/11-20:57:00,856
2022/12/11-20:57:15,856
2022/12/11-20:57:30,856
2022/12/11-20:57:45,856
2022/12/11-20:58:00,856
