date,value
2022/12/11-20:35:15,73832
2022/12/11-20:35:30,73864
2022/12/11-20:35:45,73864
2022/12/11-20:36:00,73864
2022/12/11-20:36:15,73864
2022/12/11-20:36:30,73864
2022/12/11-20:36:45,73728.8
2022/12/11-20:37:00,73708
2022/12/11-20:37:15,73708
2022/12/11-20:37:30,73278.133333
2022/12/11-20:37:45,73212
2022/12/11-20:38:00,73212
2022/12/11-20:38:15,73225.866667
2022/12/11-20:38:30,73228
2022/12/11-20:38:45,73214.133333
2022/12/11-20:39:00,73212
2022/12/11-20:39:15,73212
2022/12/11-20:39:30,73212
2022/12/11-20:39:45,73212
2022/12/11-20:40:00,73212
2022/12/11-20:40:15,72917.066667
2022/12/11-20:40:30,72896
2022/12/11-20:40:45,72840
2022/12/11-20:41:00,72840
2022/12/11-20:41:15,72840
2022/12/11-20:41:30,72840
2022/12/11-20:41:45,72840
2022/12/11-20:42:00,72840
2022/12/11-20:42:15,72616
2022/12/11-20:42:30,72616
2022/12/11-20:42:45,72716
2022/12/11-20:43:00,72716
2022/12/11-20:43:15,72716
2022/12/11-20:43:30,72716
2022/12/11-20:43:45,72716
2022/12/11-20:44:00,72716
2022/12/11-20:44:15,72716
2022/12/11-20:44:30,72697.333333
2022/12/11-20:44:45,72576
2022/12/11-20:45:00,72576
2022/12/11-20:45:15,72576
2022/12/11-20:45:30,72576
2022/12/11-20:45:45,72576
2022/12/11-20:46:00,72576
2022/12/11-20:46:15,72576
2022/12/11-20:46:30,72576
2022/12/11-20:46:45,72576
2022/12/11-20:47:00,72576
2022/12/11-20:47:15,72496.533333
2022/12/11-20:47:30,71980
2022/12/11-20:47:45,71980
2022/12/11-20:48:00,71976.8
2022/12/11-20:48:15,71956
2022/12/11-20:48:30,71958.133333
2022/12/11-20:48:45,71972
2022/12/11-20:49:00,71972
2022/12/11-20:49:15,71969.866667
2022/12/11-20:49:30,71956
2022/12/11-20:49:45,71956
2022/12/11-20:50:00,71922.933333
2022/12/11-20:50:15,71708
2022/12/11-20:50:30,71711.733333
2022/12/11-20:50:45,71764
2022/12/11-20:51:00,71764
2022/12/11-20:51:15,71764
2022/12/11-20:51:30,71708
2022/12/11-20:51:45,71708
2022/12/11-20:52:00,71708
2022/12/11-20:52:15,71460
2022/12/11-20:52:30,71460
2022/12/11-20:52:45,71484
2022/12/11-20:53:00,71484
2022/12/11-20:53:15,71484
2022/12/11-20:53:30,71461.6
2022/12/11-20:53:45,71460
2022/12/11-20:54:00,71460
2022/12/11-20:54:15,71460
2022/12/11-20:54:30,71470.666667
2022/12/11-20:54:45,71540
2022/12/11-20:55:00,71540
2022/12/11-20:55:15,71534.666667
2022/12/11-20:55:30,71500
2022/12/11-20:55:45,71500
2022/12/11-20:56:00,71496.8
2022/12/11-20:56:15,71476
2022/12/11-20:56:30,71467.733333
2022/12/11-20:56:45,71352
2022/12/11-20:57:00,71352
2022/12/11-20:57:15,71320.533333
2022/12/11-20:57:30,70880
2022/12/11-20:57:45,70880
2022/12/11-20:58:00,70878.4
2022/12/11-20:58:15,70856
2022/12/11-20:58:30,70858.133333
2022/12/11-20:58:45,70872
2022/12/11-20:59:00,70872
2022/12/11-20:59:15,70869.866667
2022/12/11-20:59:30,70856
2022/12/11-20:59:45,70856
2022/12/11-21:00:00,70856
2022/12/11-21:00:15,70856
2022/12/11-21:00:30,70856
2022/12/11-21:00:45,70792.8
2022/12/11-21:01:00,70540
2022/12/11-21:01:15,70492
2022/12/11-21:01:30,70360
2022/12/11-21:01:45,70360
2022/12/11-21:02:00,70326.933333
2022/12/11-21:02:15,70236
2022/12/11-21:02:30,70236
2022/12/11-21:02:45,70202.666667
2022/12/11-21:03:00,70136
2022/12/11-21:03:15,70126.4
2022/12/11-21:03:30,70112
2022/12/11-21:03:45,70112
2022/12/11-21:04:00,70112
2022/12/11-21:04:15,70112
2022/12/11-21:04:30,70112
2022/12/11-21:04:45,70112
2022/12/11-21:05:00,70112
2022/12/11-21:05:15,70123.2
2022/12/11-21:05:30,70136
2022/12/11-21:05:45,70136
2022/12/11-21:06:00,70136
2022/12/11-21:06:15,70136
2022/12/11-21:06:30,70136
2022/12/11-21:06:45,70066.933333
2022/12/11-21:07:00,69988
2022/12/11-21:07:15,69988
2022/12/11-21:07:30,69825.6
2022/12/11-21:07:45,69640
2022/12/11-21:08:00,69628.8
2022/12/11-21:08:15,69616
2022/12/11-21:08:30,69616
2022/12/11-21:08:45,69623.466667
2022/12/11-21:09:00,69632
2022/12/11-21:09:15,69632
2022/12/11-21:09:30,69632
2022/12/11-21:09:45,69632
2022/12/11-21:10:00,69011.2
2022/12/11-21:10:15,68468
2022/12/11-21:10:30,68468
2022/12/11-21:10:45,68986.4
2022/12/11-21:11:00,69332
2022/12/11-21:11:15,69332
2022/12/11-21:11:30,69273.333333
2022/12/11-21:11:45,69244
2022/12/11-21:12:00,69020.8
2022/12/11-21:12:15,68872
2022/12/11-21:12:30,68872
2022/12/11-21:12:45,68941.066667
2022/12/11-21:13:00,69020
2022/12/11-21:13:15,68950.933333
2022/12/11-21:13:30,68872
2022/12/11-21:13:45,68872
2022/12/11-21:14:00,68872
2022/12/11-21:14:15,68872
2022/12/11-21:14:30,68872
2022/12/11-21:14:45,68872
2022/12/11-21:15:00,68872
2022/12/11-21:15:15,68881.6
2022/12/11-21:15:30,68896
2022/12/11-21:15:45,68896
2022/12/11-21:16:00,68886.4
2022/12/11-21:16:15,68872
2022/12/11-21:16:30,68872
2022/12/11-21:16:45,68872
2022/12/11-21:17:00,68872
2022/12/11-21:17:15,68673.333333
2022/12/11-21:17:30,68276
2022/12/11-21:17:45,68276
2022/12/11-21:18:00,68268
2022/12/11-21:18:15,68252
2022/12/11-21:18:30,68252
2022/12/11-21:18:45,68256.266667
2022/12/11-21:19:00,68268
2022/12/11-21:19:15,68264.8
2022/12/11-21:19:30,68252
2022/12/11-21:19:45,68252
2022/12/11-21:20:00,70136.8
2022/12/11-21:20:15,77676
2022/12/11-21:20:30,77687.2
2022/12/11-21:20:45,77732
2022/12/11-21:21:00,77732
2022/12/11-21:21:15,77720.8
2022/12/11-21:21:30,77676
2022/12/11-21:21:45,77676
2022/12/11-21:22:00,77676
2022/12/11-21:22:15,77676
2022/12/11-21:22:30,77676
2022/12/11-21:22:45,77616.266667
2022/12/11-21:23:00,77452
2022/12/11-21:23:15,77412.533333
2022/12/11-21:23:30,77304
2022/12/11-21:23:45,77304
2022/12/11-21:24:00,77304
2022/12/11-21:24:15,77304
2022/12/11-21:24:30,77304
2022/12/11-21:24:45,77304
2022/12/11-21:25:00,77304
2022/12/11-21:25:15,77310.4
2022/12/11-21:25:30,77328
2022/12/11-21:25:45,77328
2022/12/11-21:26:00,77323.2
2022/12/11-21:26:15,77304
2022/12/11-21:26:30,77304
2022/12/11-21:26:45,77279.2
2022/12/11-21:27:00,77180
2022/12/11-21:27:15,77110.4
2022/12/11-21:27:30,76832
2022/12/11-21:27:45,76832
2022/12/11-21:28:00,76812.266667
2022/12/11-21:28:15,76684
2022/12/11-21:28:30,76684
2022/12/11-21:28:45,76686.133333
2022/12/11-21:29:00,76700
2022/12/11-21:29:15,76697.866667
2022/12/11-21:29:30,76684
2022/12/11-21:29:45,76684
2022/12/11-21:30:00,76684
2022/12/11-21:30:15,76684
2022/12/11-21:30:30,76684
2022/12/11-21:30:45,76492
2022/12/11-21:31:00,76492
2022/12/11-21:31:15,76492
2022/12/11-21:31:30,76439.733333
2022/12/11-21:31:45,76436
2022/12/11-21:32:00,76436
2022/12/11-21:32:15,76204.533333
2022/12/11-21:32:30,76188
2022/12/11-21:32:45,76212
2022/12/11-21:33:00,76212
2022/12/11-21:33:15,76212
2022/12/11-21:33:30,76551.733333
2022/12/11-21:33:45,76604
2022/12/11-21:34:00,76604
2022/12/11-21:34:15,76656.266667
2022/12/11-21:34:30,76660
2022/12/11-21:34:45,76660
2022/12/11-21:35:00,76660
