date,value
2022/12/11-20:35:15,1.2
2022/12/11-20:35:30,1.2
2022/12/11-20:35:45,1.2
2022/12/11-20:36:00,1.2
2022/12/11-20:36:15,1.2
2022/12/11-20:36:30,0.68
2022/12/11-20:36:45,0.6
2022/12/11-20:37:00,0.6
2022/12/11-20:37:15,0.6
2022/12/11-20:37:30,0.6
2022/12/11-20:37:45,0.6
2022/12/11-20:38:00,0.76
2022/12/11-20:38:15,0.8
2022/12/11-20:38:30,0.8
2022/12/11-20:38:45,0.8
2022/12/11-20:39:00,0.8
2022/12/11-20:39:15,0.8
2022/12/11-20:39:30,0.70666666667
2022/12/11-20:39:45,0.7
2022/12/11-20:40:00,0.7
2022/12/11-20:40:15,0.7
2022/12/11-20:40:30,0.7
2022/12/11-20:40:45,0.7
2022/12/11-20:41:00,2.3
2022/12/11-20:41:15,2.3
2022/12/11-20:41:30,0.9
2022/12/11-20:41:45,0.9
2022/12/11-20:42:00,0.9
2022/12/11-20:42:15,0.9
2022/12/11-20:42:30,0.9
2022/12/11-20:42:45,0.9
2022/12/11-20:43:00,0.7
2022/12/11-20:43:15,0.7
2022/12/11-20:43:30,0.7
2022/12/11-20:43:45,0.7
2022/12/11-20:44:00,0.7
2022/12/11-20:44:15,0.7
2022/12/11-20:44:30,0.75333333333
2022/12/11-20:44:45,1.1
2022/12/11-20:45:00,1.1
2022/12/11-20:45:15,1.1
2022/12/11-20:45:30,1.1
2022/12/11-20:45:45,1.1
2022/12/11-20:46:00,1.1
2022/12/11-20:46:15,1.1
2022/12/11-20:46:30,1.1
2022/12/11-20:46:45,1.1466666667
2022/12/11-20:47:00,1.8
2022/12/11-20:47:15,1.8
2022/12/11-20:47:30,1.8
2022/12/11-20:47:45,1.8
2022/12/11-20:48:00,1.8
2022/12/11-20:48:15,1.7466666667
2022/12/11-20:48:30,1.4
2022/12/11-20:48:45,1.4
2022/12/11-20:49:00,1.4
2022/12/11-20:49:15,1.4
2022/12/11-20:49:30,1.4
2022/12/11-20:49:45,1.3066666667
2022/12/11-20:50:00,0.7
2022/12/11-20:50:15,0.7
2022/12/11-20:50:30,0.7
2022/12/11-20:50:45,0.7
2022/12/11-20:51:00,0.7
2022/12/11-20:51:15,0.7
2022/12/11-20:51:30,1.9
2022/12/11-20:51:45,1.9
2022/12/11-20:52:00,0.96666666667
2022/12/11-20:52:15,0.9
2022/12/11-20:52:30,0.9
2022/12/11-20:52:45,0.9
2022/12/11-20:53:00,0.9
2022/12/11-20:53:15,0.9
2022/12/11-20:53:30,0.71333333333
2022/12/11-20:53:45,0.7
2022/12/11-20:54:00,0.7
2022/12/11-20:54:15,0.7
2022/12/11-20:54:30,0.7
2022/12/11-20:54:45,0.71333333333
2022/12/11-20:55:00,0.8
2022/12/11-20:55:15,0.8
2022/12/11-20:55:30,0.8
2022/12/11-20:55:45,0.8
2022/12/11-20:56:00,0.8
2022/12/11-20:56:15,0.82666666667
2022/12/11-20:56:30,1
2022/12/11-20:56:45,1
2022/12/11-20:57:00,1
2022/12/11-20:57:15,1
2022/12/11-20:57:30,1
2022/12/11-20:57:45,1.0333333333
2022/12/11-20:58:00,1.5
2022/12/11-20:58:15,1.5
2022/12/11-20:58:30,1.5
2022/12/11-20:58:45,1.5
2022/12/11-20:59:00,1.5
2022/12/11-20:59:15,1.4733333333
2022/12/11-20:59:30,1.3
2022/12/11-20:59:45,1.3
2022/12/11-21:00:00,1.3
2022/12/11-21:00:15,1.3
2022/12/11-21:00:30,1.3
2022/12/11-21:00:45,1.34
2022/12/11-21:01:00,1.5
2022/12/11-21:01:15,1.5
2022/12/11-21:01:30,1.5
2022/12/11-21:01:45,1.5
2022/12/11-21:02:00,1.5
2022/12/11-21:02:15,1.3933333333
2022/12/11-21:02:30,1.1
2022/12/11-21:02:45,1.1
2022/12/11-21:03:00,1.1
2022/12/11-21:03:15,1.1
2022/12/11-21:03:30,1.1
2022/12/11-21:03:45,1.02
2022/12/11-21:04:00,0.9
2022/12/11-21:04:15,0.9
2022/12/11-21:04:30,2.2533333333
2022/12/11-21:04:45,2.6333333333
2022/12/11-21:05:00,1.3
2022/12/11-21:05:15,1.3
2022/12/11-21:05:30,1.3
2022/12/11-21:05:45,1.3
2022/12/11-21:06:00,1.3
2022/12/11-21:06:15,1.2533333333
2022/12/11-21:06:30,1.2
2022/12/11-21:06:45,1.2
