date,value
2022/12/11-20:35:15,563
2022/12/11-20:35:30,563
2022/12/11-20:35:45,563
2022/12/11-20:36:00,563
2022/12/11-20:36:15,564.73333333
2022/12/11-20:36:30,565
2022/12/11-20:36:45,565
2022/12/11-20:37:00,565
2022/12/11-20:37:15,565
2022/12/11-20:37:30,564.13333333
2022/12/11-20:37:45,564
2022/12/11-20:38:00,564
2022/12/11-20:38:15,564
2022/12/11-20:38:30,564
2022/12/11-20:38:45,564
2022/12/11-20:39:00,563.13333333
2022/12/11-20:39:15,563
2022/12/11-20:39:30,563
2022/12/11-20:39:45,563
2022/12/11-20:40:00,563
2022/12/11-20:40:15,565.8
2022/12/11-20:40:30,566
2022/12/11-20:40:45,566
2022/12/11-20:41:00,566
2022/12/11-20:41:15,566
2022/12/11-20:41:30,563
2022/12/11-20:41:45,563
2022/12/11-20:42:00,563
2022/12/11-20:42:15,563
2022/12/11-20:42:30,563
2022/12/11-20:42:45,563
2022/12/11-20:43:00,565
2022/12/11-20:43:15,565
2022/12/11-20:43:30,565
2022/12/11-20:43:45,565
2022/12/11-20:44:00,564.86666667
2022/12/11-20:44:15,563
2022/12/11-20:44:30,563
2022/12/11-20:44:45,563
2022/12/11-20:45:00,563
2022/12/11-20:45:15,563.2
2022/12/11-20:45:30,566
2022/12/11-20:45:45,566
2022/12/11-20:46:00,566
2022/12/11-20:46:15,566
2022/12/11-20:46:30,566
2022/12/11-20:46:45,565.8
2022/12/11-20:47:00,563
2022/12/11-20:47:15,563
2022/12/11-20:47:30,563
2022/12/11-20:47:45,563
2022/12/11-20:48:00,563.26666667
2022/12/11-20:48:15,565
2022/12/11-20:48:30,565
2022/12/11-20:48:45,565
2022/12/11-20:49:00,565
2022/12/11-20:49:15,565
2022/12/11-20:49:30,564.73333333
2022/12/11-20:49:45,563
2022/12/11-20:50:00,563
2022/12/11-20:50:15,563
2022/12/11-20:50:30,563
2022/12/11-20:50:45,564.06666667
2022/12/11-20:51:00,564.06666667
2022/12/11-20:51:15,565
2022/12/11-20:51:30,565
2022/12/11-20:51:45,565
2022/12/11-20:52:00,565
2022/12/11-20:52:15,563
2022/12/11-20:52:30,563
2022/12/11-20:52:45,563
2022/12/11-20:53:00,563
2022/12/11-20:53:15,563
2022/12/11-20:53:30,563
2022/12/11-20:53:45,563
2022/12/11-20:54:00,563
2022/12/11-20:54:15,563
2022/12/11-20:54:30,563
2022/12/11-20:54:45,563.26666667
2022/12/11-20:55:00,565
2022/12/11-20:55:15,565
2022/12/11-20:55:30,565
2022/12/11-20:55:45,565
2022/12/11-20:56:00,564.73333333
2022/12/11-20:56:15,563
2022/12/11-20:56:30,563
2022/12/11-20:56:45,563
2022/12/11-20:57:00,563
2022/12/11-20:57:15,563
2022/12/11-20:57:30,563.4
2022/12/11-20:57:45,566
2022/12/11-20:58:00,566
2022/12/11-20:58:15,566
2022/12/11-20:58:30,566
2022/12/11-20:58:45,565.8
2022/12/11-20:59:00,563
2022/12/11-20:59:15,563
2022/12/11-20:59:30,563
2022/12/11-20:59:45,563
2022/12/11-21:00:00,564
2022/12/11-21:00:15,568
2022/12/11-21:00:30,568
2022/12/11-21:00:45,568
2022/12/11-21:01:00,568
2022/12/11-21:01:15,568
2022/12/11-21:01:30,568
2022/12/11-21:01:45,568
2022/12/11-21:02:00,568
2022/12/11-21:02:15,568
2022/12/11-21:02:30,568
2022/12/11-21:02:45,567
2022/12/11-21:03:00,565
2022/12/11-21:03:15,565
2022/12/11-21:03:30,565
2022/12/11-21:03:45,565
2022/12/11-21:04:00,565
2022/12/11-21:04:15,565
2022/12/11-21:04:30,565
2022/12/11-21:04:45,565
2022/12/11-21:05:00,565
2022/12/11-21:05:15,565
2022/12/11-21:05:30,565.46666667
2022/12/11-21:05:45,566
2022/12/11-21:06:00,566
2022/12/11-21:06:15,566
2022/12/11-21:06:30,566
2022/12/11-21:06:45,566
2022/12/11-21:07:00,566
2022/12/11-21:07:15,566
2022/12/11-21:07:30,566
2022/12/11-21:07:45,566
2022/12/11-21:08:00,566
2022/12/11-21:08:15,565.06666667
2022/12/11-21:08:30,564
2022/12/11-21:08:45,564
2022/12/11-21:09:00,564
2022/12/11-21:09:15,564
2022/12/11-21:09:30,565.06666667
2022/12/11-21:09:45,566
2022/12/11-21:10:00,566
2022/12/11-21:10:15,566
2022/12/11-21:10:30,566
2022/12/11-21:10:45,566
2022/12/11-21:11:00,566
2022/12/11-21:11:15,566
2022/12/11-21:11:30,566
2022/12/11-21:11:45,566
2022/12/11-21:12:00,566
2022/12/11-21:12:15,567.06666667
2022/12/11-21:12:30,568
2022/12/11-21:12:45,568
2022/12/11-21:13:00,568
2022/12/11-21:13:15,568
2022/12/11-21:13:30,567.06666667
2022/12/11-21:13:45,566
2022/12/11-21:14:00,566
2022/12/11-21:14:15,566
2022/12/11-21:14:30,566
2022/12/11-21:14:45,565.6
2022/12/11-21:15:00,565
2022/12/11-21:15:15,565
2022/12/11-21:15:30,565
2022/12/11-21:15:45,565
2022/12/11-21:16:00,565
2022/12/11-21:16:15,565
2022/12/11-21:16:30,565
2022/12/11-21:16:45,565
2022/12/11-21:17:00,565
2022/12/11-21:17:15,565
2022/12/11-21:17:30,565.33333333
2022/12/11-21:17:45,566
2022/12/11-21:18:00,566
2022/12/11-21:18:15,566
2022/12/11-21:18:30,566
2022/12/11-21:18:45,566.26666667
2022/12/11-21:19:00,567
2022/12/11-21:19:15,567
2022/12/11-21:19:30,567
2022/12/11-21:19:45,567
2022/12/11-21:20:00,567.2
2022/12/11-21:20:15,568
2022/12/11-21:20:30,568
2022/12/11-21:20:45,568
2022/12/11-21:21:00,568
2022/12/11-21:21:15,568
2022/12/11-21:21:30,568
2022/12/11-21:21:45,568
2022/12/11-21:22:00,568
2022/12/11-21:22:15,568
2022/12/11-21:22:30,568
2022/12/11-21:22:45,566.93333333
2022/12/11-21:23:00,564
2022/12/11-21:23:15,564
2022/12/11-21:23:30,564
2022/12/11-21:23:45,564
2022/12/11-21:24:00,564.53333333
2022/12/11-21:24:15,566
2022/12/11-21:24:30,566
2022/12/11-21:24:45,566
2022/12/11-21:25:00,566
2022/12/11-21:25:15,566
2022/12/11-21:25:30,565.8
2022/12/11-21:25:45,565
2022/12/11-21:26:00,565
2022/12/11-21:26:15,565
2022/12/11-21:26:30,565
2022/12/11-21:26:45,564.8
2022/12/11-21:27:00,564
2022/12/11-21:27:15,564
2022/12/11-21:27:30,564
2022/12/11-21:27:45,564
2022/12/11-21:28:00,564
2022/12/11-21:28:15,564
2022/12/11-21:28:30,564
2022/12/11-21:28:45,564
2022/12/11-21:29:00,564
2022/12/11-21:29:15,564
2022/12/11-21:29:30,564
2022/12/11-21:29:45,564
2022/12/11-21:30:00,564
2022/12/11-21:30:15,564
2022/12/11-21:30:30,564
2022/12/11-21:30:45,564
2022/12/11-21:31:00,568
2022/12/11-21:31:15,568
2022/12/11-21:31:30,568
2022/12/11-21:31:45,568
2022/12/11-21:32:00,568
2022/12/11-21:32:15,565.2
2022/12/11-21:32:30,565
2022/12/11-21:32:45,565
2022/12/11-21:33:00,565
2022/12/11-21:33:15,565
2022/12/11-21:33:30,565.86666667
2022/12/11-21:33:45,566
2022/12/11-21:34:00,566
2022/12/11-21:34:15,566
2022/12/11-21:34:30,566
2022/12/11-21:34:45,566
2022/12/11-21:35:00,563.2
