date,value
2022/12/11-20:35:15,14.14
2022/12/11-20:35:30,14.14
2022/12/11-20:35:45,14.14
2022/12/11-20:36:00,14.14
2022/12/11-20:36:15,14.14
2022/12/11-20:36:30,14.14
2022/12/11-20:36:45,14.14
2022/12/11-20:37:00,14.14
2022/12/11-20:37:15,14.14
2022/12/11-20:37:30,14.14
2022/12/11-20:37:45,14.14
2022/12/11-20:38:00,14.14
2022/12/11-20:38:15,14.14
2022/12/11-20:38:30,14.14
2022/12/11-20:38:45,14.14
2022/12/11-20:39:00,14.14
2022/12/11-20:39:15,14.14
2022/12/11-20:39:30,14.14
2022/12/11-20:39:45,14.14
2022/12/11-20:40:00,14.14
2022/12/11-20:40:15,14.14
2022/12/11-20:40:30,14.14
2022/12/11-20:40:45,14.14
2022/12/11-20:41:00,14.14
2022/12/11-20:41:15,14.14
2022/12/11-20:41:30,14.14
2022/12/11-20:41:45,14.14
2022/12/11-20:42:00,14.14
2022/12/11-20:42:15,14.14
2022/12/11-20:42:30,14.14
2022/12/11-20:42:45,14.14
2022/12/11-20:43:00,14.14
2022/12/11-20:43:15,14.14
2022/12/11-20:43:30,14.14
2022/12/11-20:43:45,14.14
2022/12/11-20:44:00,14.14
2022/12/11-20:44:15,14.14
2022/12/11-20:44:30,14.14
2022/12/11-20:44:45,14.14
2022/12/11-20:45:00,14.14
2022/12/11-20:45:15,14.14
2022/12/11-20:45:30,14.14
2022/12/11-20:45:45,14.14
2022/12/11-20:46:00,14.14
2022/12/11-20:46:15,14.14
2022/12/11-20:46:30,14.14
2022/12/11-20:46:45,14.14
2022/12/11-20:47:00,14.14
2022/12/11-20:47:15,14.14
2022/12/11-20:47:30,14.14
2022/12/11-20:47:45,14.14
2022/12/11-20:48:00,14.14
2022/12/11-20:48:15,14.14
2022/12/11-20:48:30,14.14
2022/12/11-20:48:45,14.14
2022/12/11-20:49:00,14.14
2022/12/11-20:49:15,14.14
2022/12/11-20:49:30,14.14
2022/12/11-20:49:45,14.14
2022/12/11-20:50:00,14.14
2022/12/11-20:50:15,14.14
2022/12/11-20:50:30,14.14
2022/12/11-20:50:45,14.14
2022/12/11-20:51:00,14.14
2022/12/11-20:51:15,14.14
2022/12/11-20:51:30,14.14
2022/12/11-20:51:45,14.14
2022/12/11-20:52:00,14.14
2022/12/11-20:52:15,14.14
2022/12/11-20:52:30,14.14
2022/12/11-20:52:45,14.14
2022/12/11-20:53:00,14.14
2022/12/11-20:53:15,14.14
2022/12/11-20:53:30,14.14
2022/12/11-20:53:45,14.14
2022/12/11-20:54:00,14.14
2022/12/11-20:54:15,14.14
2022/12/11-20:54:30,14.14
2022/12/11-20:54:45,14.14
2022/12/11-20:55:00,14.14
2022/12/11-20:55:15,14.14
2022/12/11-20:55:30,14.14
2022/12/11-20:55:45,14.14
2022/12/11-20:56:00,14.14
2022/12/11-20:56:15,14.14
2022/12/11-20:56:30,14.14
2022/12/11-20:56:45,14.14
2022/12/11-20:57:00,14.14
2022/12/11-20:57:15,14.14
2022/12/11-20:57:30,14.14
2022/12/11-20:57:45,14.14
2022/12/11-20:58:00,14.14
2022/12/11-20:58:15,14.14
2022/12/11-20:58:30,14.14
2022/12/11-20:58:45,14.14
2022/12/11-20:59:00,14.14
2022/12/11-20:59:15,14.14
2022/12/11-20:59:30,14.14
2022/12/11-20:59:45,14.14
2022/12/11-21:00:00,14.14
2022/12/11-21:00:15,14.14
2022/12/11-21:00:30,14.14
2022/12/11-21:00:45,14.14
2022/12/11-21:01:00,14.14
2022/12/11-21:01:15,14.14
2022/12/11-21:01:30,14.14
2022/12/11-21:01:45,14.14
2022/12/11-21:02:00,14.14
2022/12/11-21:02:15,14.14
2022/12/11-21:02:30,14.14
2022/12/11-21:02:45,14.14
2022/12/11-21:03:00,14.14
2022/12/11-21:03:15,14.14
2022/12/11-21:03:30,14.14
2022/12/11-21:03:45,14.14
2022/12/11-21:04:00,14.14
2022/12/11-21:04:15,14.14
2022/12/11-21:04:30,14.14
2022/12/11-21:04:45,14.14
2022/12/11-21:05:00,14.14
2022/12/11-21:05:15,14.14
2022/12/11-21:05:30,14.14
2022/12/11-21:05:45,14.14
2022/12/11-21:06:00,14.14
2022/12/11-21:06:15,14.14
2022/12/11-21:06:30,14.14
2022/12/11-21:06:45,14.14
2022/12/11-21:07:00,14.14
2022/12/11-21:07:15,14.14
2022/12/11-21:07:30,14.14
2022/12/11-21:07:45,14.14
2022/12/11-21:08:00,14.14
2022/12/11-21:08:15,14.14
2022/12/11-21:08:30,14.14
2022/12/11-21:08:45,14.14
2022/12/11-21:09:00,14.14
2022/12/11-21:09:15,14.14
2022/12/11-21:09:30,14.14
2022/12/11-21:09:45,14.14
2022/12/11-21:10:00,14.14
2022/12/11-21:10:15,14.14
2022/12/11-21:10:30,14.14
2022/12/11-21:10:45,14.14
2022/12/11-21:11:00,14.14
2022/12/11-21:11:15,14.14
2022/12/11-21:11:30,14.14
2022/12/11-21:11:45,14.14
2022/12/11-21:12:00,14.14
2022/12/11-21:12:15,14.14
2022/12/11-21:12:30,14.14
2022/12/11-21:12:45,14.14
2022/12/11-21:13:00,14.14
2022/12/11-21:13:15,14.14
2022/12/11-21:13:30,14.14
2022/12/11-21:13:45,14.14
2022/12/11-21:14:00,14.14
2022/12/11-21:14:15,14.14
2022/12/11-21:14:30,14.14
2022/12/11-21:14:45,14.14
2022/12/11-21:15:00,14.14
2022/12/11-21:15:15,14.14
2022/12/11-21:15:30,14.14
2022/12/11-21:15:45,14.14
2022/12/11-21:16:00,14.14
2022/12/11-21:16:15,14.14
2022/12/11-21:16:30,14.14
2022/12/11-21:16:45,14.14
2022/12/11-21:17:00,14.14
2022/12/11-21:17:15,14.14
2022/12/11-21:17:30,14.14
2022/12/11-21:17:45,14.14
2022/12/11-21:18:00,14.14
2022/12/11-21:18:15,14.14
2022/12/11-21:18:30,14.14
2022/12/11-21:18:45,14.14
2022/12/11-21:19:00,14.14
2022/12/11-21:19:15,14.14
2022/12/11-21:19:30,14.14
2022/12/11-21:19:45,14.14
2022/12/11-21:20:00,14.14
2022/12/11-21:20:15,14.14
2022/12/11-21:20:30,14.14
2022/12/11-21:20:45,14.14
2022/12/11-21:21:00,14.14
2022/12/11-21:21:15,14.14
2022/12/11-21:21:30,14.14
2022/12/11-21:21:45,14.14
2022/12/11-21:22:00,14.14
2022/12/11-21:22:15,14.14
2022/12/11-21:22:30,14.14
2022/12/11-21:22:45,14.14
2022/12/11-21:23:00,14.14
2022/12/11-21:23:15,14.14
2022/12/11-21:23:30,14.14
2022/12/11-21:23:45,14.14
2022/12/11-21:24:00,14.14
2022/12/11-21:24:15,14.14
2022/12/11-21:24:30,14.14
2022/12/11-21:24:45,14.14
2022/12/11-21:25:00,14.14
2022/12/11-21:25:15,14.14
2022/12/11-21:25:30,14.14
2022/12/11-21:25:45,14.14
2022/12/11-21:26:00,14.14
2022/12/11-21:26:15,14.14
2022/12/11-21:26:30,14.14
2022/12/11-21:26:45,14.14
2022/12/11-21:27:00,14.14
2022/12/11-21:27:15,14.14
2022/12/11-21:27:30,14.14
2022/12/11-21:27:45,14.14
2022/12/11-21:28:00,14.14
2022/12/11-21:28:15,14.14
2022/12/11-21:28:30,14.14
2022/12/11-21:28:45,14.14
2022/12/11-21:29:00,14.14
2022/12/11-21:29:15,14.14
2022/12/11-21:29:30,14.14
2022/12/11-21:29:45,14.14
2022/12/11-21:30:00,14.14
2022/12/11-21:30:15,14.14
2022/12/11-21:30:30,14.14
2022/12/11-21:30:45,14.14
2022/12/11-21:31:00,14.14
2022/12/11-21:31:15,14.14
2022/12/11-21:31:30,14.14
2022/12/11-21:31:45,14.14
2022/12/11-21:32:00,14.14
2022/12/11-21:32:15,14.14
2022/12/11-21:32:30,14.14
2022/12/11-21:32:45,14.14
2022/12/11-21:33:00,14.14
2022/12/11-21:33:15,14.14
2022/12/11-21:33:30,14.14
2022/12/11-21:33:45,14.14
2022/12/11-21:34:00,14.14
2022/12/11-21:34:15,14.14
2022/12/11-21:34:30,14.14
2022/12/11-21:34:45,14.14
2022/12/11-21:35:00,14.14
