date,value
2022/12/11-20:35:15,36.202
2022/12/11-20:35:30,36.202
2022/12/11-20:35:45,36.202
2022/12/11-20:36:00,36.202
2022/12/11-20:36:15,36.202
2022/12/11-20:36:30,36.202
2022/12/11-20:36:45,36.202
2022/12/11-20:37:00,36.202
2022/12/11-20:37:15,36.202
2022/12/11-20:37:30,36.202
2022/12/11-20:37:45,36.202
2022/12/11-20:38:00,36.202
2022/12/11-20:38:15,36.202
2022/12/11-20:38:30,36.202
2022/12/11-20:38:45,36.202
2022/12/11-20:39:00,36.202
2022/12/11-20:39:15,36.202
2022/12/11-20:39:30,36.202
2022/12/11-20:39:45,36.202
2022/12/11-20:40:00,36.202
2022/12/11-20:40:15,36.202
2022/12/11-20:40:30,36.202
2022/12/11-20:40:45,36.202
2022/12/11-20:41:00,36.202
2022/12/11-20:41:15,36.202
2022/12/11-20:41:30,36.202
2022/12/11-20:41:45,36.202
2022/12/11-20:42:00,36.202
2022/12/11-20:42:15,36.202
2022/12/11-20:42:30,36.202
2022/12/11-20:42:45,36.202
2022/12/11-20:43:00,36.202
2022/12/11-20:43:15,36.202
2022/12/11-20:43:30,36.202
2022/12/11-20:43:45,36.202
2022/12/11-20:44:00,36.202
2022/12/11-20:44:15,36.202
2022/12/11-20:44:30,36.202
2022/12/11-20:44:45,36.202
2022/12/11-20:45:00,36.202
2022/12/11-20:45:15,36.202
2022/12/11-20:45:30,36.202
2022/12/11-20:45:45,36.202
2022/12/11-20:46:00,36.202
2022/12/11-20:46:15,36.202
2022/12/11-20:46:30,36.202
2022/12/11-20:46:45,36.202
2022/12/11-20:47:00,36.202
2022/12/11-20:47:15,36.202
2022/12/11-20:47:30,36.202
2022/12/11-20:47:45,36.202
2022/12/11-20:48:00,36.202
2022/12/11-20:48:15,36.202
2022/12/11-20:48:30,36.202
2022/12/11-20:48:45,36.202
2022/12/11-20:49:00,36.202
2022/12/11-20:49:15,36.202
2022/12/11-20:49:30,36.202
2022/12/11-20:49:45,36.202
2022/12/11-20:50:00,36.202
2022/12/11-20:50:15,36.202
2022/12/11-20:50:30,36.202
2022/12/11-20:50:45,36.202
2022/12/11-20:51:00,36.202
2022/12/11-20:51:15,36.202
2022/12/11-20:51:30,36.202
2022/12/11-20:51:45,36.202
2022/12/11-20:52:00,36.202
2022/12/11-20:52:15,36.202
2022/12/11-20:52:30,36.202
2022/12/11-20:52:45,36.202
2022/12/11-20:53:00,36.202
2022/12/11-20:53:15,36.202
2022/12/11-20:53:30,36.202
2022/12/11-20:53:45,36.202
2022/12/11-20:54:00,36.202
2022/12/11-20:54:15,36.202
2022/12/11-20:54:30,36.202
2022/12/11-20:54:45,36.202
2022/12/11-20:55:00,36.202
2022/12/11-20:55:15,36.202
2022/12/11-20:55:30,36.202
2022/12/11-20:55:45,36.202
2022/12/11-20:56:00,36.202
2022/12/11-20:56:15,36.202
2022/12/11-20:56:30,36.202
2022/12/11-20:56:45,36.202
2022/12/11-20:57:00,36.202
2022/12/11-20:57:15,36.202
2022/12/11-20:57:30,36.202
2022/12/11-20:57:45,36.202
2022/12/11-20:58:00,36.202
2022/12/11-20:58:15,36.202
2022/12/11-20:58:30,36.202
2022/12/11-20:58:45,36.202
2022/12/11-20:59:00,36.202
2022/12/11-20:59:15,36.202
2022/12/11-20:59:30,36.202
2022/12/11-20:59:45,36.202
2022/12/11-21:00:00,36.202
2022/12/11-21:00:15,36.202
2022/12/11-21:00:30,36.202
2022/12/11-21:00:45,36.202
2022/12/11-21:01:00,36.202
2022/12/11-21:01:15,36.202
2022/12/11-21:01:30,36.202
2022/12/11-21:01:45,36.202
2022/12/11-21:02:00,36.202
2022/12/11-21:02:15,36.202
2022/12/11-21:02:30,36.202
2022/12/11-21:02:45,36.202
2022/12/11-21:03:00,36.202
2022/12/11-21:03:15,36.202
2022/12/11-21:03:30,36.202
2022/12/11-21:03:45,36.202
2022/12/11-21:04:00,36.202
2022/12/11-21:04:15,36.202
2022/12/11-21:04:30,36.202
2022/12/11-21:04:45,36.202
2022/12/11-21:05:00,36.202
2022/12/11-21:05:15,36.202
2022/12/11-21:05:30,36.202
2022/12/11-21:05:45,36.202
2022/12/11-21:06:00,36.202
2022/12/11-21:06:15,36.202
2022/12/11-21:06:30,36.202
2022/12/11-21:06:45,36.202
2022/12/11-21:07:00,36.202
2022/12/11-21:07:15,36.202
2022/12/11-21:07:30,36.202
2022/12/11-21:07:45,36.202
2022/12/11-21:08:00,36.202
2022/12/11-21:08:15,36.202
2022/12/11-21:08:30,36.202
2022/12/11-21:08:45,36.202
2022/12/11-21:09:00,36.202
2022/12/11-21:09:15,36.202
2022/12/11-21:09:30,36.202
2022/12/11-21:09:45,36.202
2022/12/11-21:10:00,36.202
2022/12/11-21:10:15,36.202
2022/12/11-21:10:30,36.202
2022/12/11-21:10:45,36.202
2022/12/11-21:11:00,36.202
2022/12/11-21:11:15,36.202
2022/12/11-21:11:30,36.202
2022/12/11-21:11:45,36.202
2022/12/11-21:12:00,36.202
2022/12/11-21:12:15,36.202
2022/12/11-21:12:30,36.202
2022/12/11-21:12:45,36.202
2022/12/11-21:13:00,36.202
2022/12/11-21:13:15,36.202
2022/12/11-21:13:30,36.202
2022/12/11-21:13:45,36.202
2022/12/11-21:14:00,36.202
2022/12/11-21:14:15,36.202
2022/12/11-21:14:30,36.202
2022/12/11-21:14:45,36.202
2022/12/11-21:15:00,36.202
2022/12/11-21:15:15,36.202
2022/12/11-21:15:30,36.202
2022/12/11-21:15:45,36.202
2022/12/11-21:16:00,36.202
2022/12/11-21:16:15,36.202
2022/12/11-21:16:30,36.202
2022/12/11-21:16:45,36.202
2022/12/11-21:17:00,36.202
2022/12/11-21:17:15,36.202
2022/12/11-21:17:30,36.202
2022/12/11-21:17:45,36.202
2022/12/11-21:18:00,36.202
2022/12/11-21:18:15,36.202
2022/12/11-21:18:30,36.202
2022/12/11-21:18:45,36.202
2022/12/11-21:19:00,36.202
2022/12/11-21:19:15,36.202
2022/12/11-21:19:30,36.202
2022/12/11-21:19:45,36.202
2022/12/11-21:20:00,36.202
2022/12/11-21:20:15,36.202
2022/12/11-21:20:30,36.202
2022/12/11-21:20:45,36.202
2022/12/11-21:21:00,36.202
2022/12/11-21:21:15,36.202
2022/12/11-21:21:30,36.202
2022/12/11-21:21:45,36.202
2022/12/11-21:22:00,36.202
2022/12/11-21:22:15,36.202
2022/12/11-21:22:30,36.202
2022/12/11-21:22:45,36.202
2022/12/11-21:23:00,36.202
2022/12/11-21:23:15,36.202
2022/12/11-21:23:30,36.202
2022/12/11-21:23:45,36.202
2022/12/11-21:24:00,36.202
2022/12/11-21:24:15,36.202
2022/12/11-21:24:30,36.202
2022/12/11-21:24:45,36.202
2022/12/11-21:25:00,36.202
2022/12/11-21:25:15,36.202
2022/12/11-21:25:30,36.202
2022/12/11-21:25:45,36.202
2022/12/11-21:26:00,36.202
2022/12/11-21:26:15,36.202
2022/12/11-21:26:30,36.202
2022/12/11-21:26:45,36.202
2022/12/11-21:27:00,36.202
2022/12/11-21:27:15,36.202
2022/12/11-21:27:30,36.202
2022/12/11-21:27:45,36.202
2022/12/11-21:28:00,36.202
2022/12/11-21:28:15,36.202
2022/12/11-21:28:30,36.202
2022/12/11-21:28:45,36.202
2022/12/11-21:29:00,36.202
2022/12/11-21:29:15,36.202
2022/12/11-21:29:30,36.202
2022/12/11-21:29:45,36.202
2022/12/11-21:30:00,36.202
2022/12/11-21:30:15,36.202
2022/12/11-21:30:30,36.202
2022/12/11-21:30:45,36.202
2022/12/11-21:31:00,36.202
2022/12/11-21:31:15,36.202
2022/12/11-21:31:30,36.202
2022/12/11-21:31:45,36.202
2022/12/11-21:32:00,36.202
2022/12/11-21:32:15,36.202
2022/12/11-21:32:30,36.202
2022/12/11-21:32:45,36.202
2022/12/11-21:33:00,36.202
2022/12/11-21:33:15,36.202
2022/12/11-21:33:30,36.202
2022/12/11-21:33:45,36.202
2022/12/11-21:34:00,36.202
2022/12/11-21:34:15,36.202
2022/12/11-21:34:30,36.202
2022/12/11-21:34:45,36.202
2022/12/11-21:35:00,36.202
