date,value
2022/12/11-20:35:15,315392
2022/12/11-20:35:30,315392
2022/12/11-20:35:45,315392
2022/12/11-20:36:00,315392
2022/12/11-20:36:15,315392
2022/12/11-20:36:30,315392
2022/12/11-20:36:45,315284.53333
2022/12/11-20:37:00,315268
2022/12/11-20:37:15,315268
2022/12/11-20:37:30,315375.46667
2022/12/11-20:37:45,315392
2022/12/11-20:38:00,315292.8
2022/12/11-20:38:15,315268
2022/12/11-20:38:30,315268
2022/12/11-20:38:45,315375.46667
2022/12/11-20:39:00,315392
2022/12/11-20:39:15,315392
2022/12/11-20:39:30,315276.26667
2022/12/11-20:39:45,315268
2022/12/11-20:40:00,315383.73333
2022/12/11-20:40:15,315392
2022/12/11-20:40:30,315392
2022/12/11-20:40:45,315268
2022/12/11-20:41:00,315268
2022/12/11-20:41:15,315268
2022/12/11-20:41:30,315392
2022/12/11-20:41:45,315392
2022/12/11-20:42:00,315268
2022/12/11-20:42:15,315268
2022/12/11-20:42:30,315268
2022/12/11-20:42:45,315392
2022/12/11-20:43:00,315392
2022/12/11-20:43:15,315392
2022/12/11-20:43:30,315268
2022/12/11-20:43:45,315268
2022/12/11-20:44:00,315268
2022/12/11-20:44:15,315268
2022/12/11-20:44:30,315251.46667
2022/12/11-20:44:45,315144
2022/12/11-20:45:00,315144
2022/12/11-20:45:15,315144
2022/12/11-20:45:30,315144
2022/12/11-20:45:45,315152.26667
2022/12/11-20:46:00,315268
2022/12/11-20:46:15,315268
2022/12/11-20:46:30,315268
2022/12/11-20:46:45,315268
2022/12/11-20:47:00,315268
2022/12/11-20:47:15,315268
2022/12/11-20:47:30,315268
2022/12/11-20:47:45,315268
2022/12/11-20:48:00,315284.53333
2022/12/11-20:48:15,315392
2022/12/11-20:48:30,315375.46667
2022/12/11-20:48:45,315268
2022/12/11-20:49:00,315268
2022/12/11-20:49:15,315268
2022/12/11-20:49:30,315268
2022/12/11-20:49:45,315268
2022/12/11-20:50:00,315268
2022/12/11-20:50:15,315268
2022/12/11-20:50:30,315268
2022/12/11-20:50:45,315268
2022/12/11-20:51:00,315268
2022/12/11-20:51:15,315268
2022/12/11-20:51:30,315268
2022/12/11-20:51:45,315268
2022/12/11-20:52:00,315268
2022/12/11-20:52:15,315268
2022/12/11-20:52:30,315268
2022/12/11-20:52:45,315392
2022/12/11-20:53:00,315392
2022/12/11-20:53:15,315392
2022/12/11-20:53:30,315392
2022/12/11-20:53:45,315375.46667
2022/12/11-20:54:00,315144
2022/12/11-20:54:15,315144
2022/12/11-20:54:30,315160.53333
2022/12/11-20:54:45,315268
2022/12/11-20:55:00,315268
2022/12/11-20:55:15,315268
2022/12/11-20:55:30,315268
2022/12/11-20:55:45,315251.46667
2022/12/11-20:56:00,315144
2022/12/11-20:56:15,315144
2022/12/11-20:56:30,315152.26667
2022/12/11-20:56:45,315268
2022/12/11-20:57:00,315268
2022/12/11-20:57:15,315259.73333
2022/12/11-20:57:30,315144
2022/12/11-20:57:45,315152.26667
2022/12/11-20:58:00,315268
2022/12/11-20:58:15,315268
2022/12/11-20:58:30,315268
2022/12/11-20:58:45,315268
2022/12/11-20:59:00,315268
2022/12/11-20:59:15,315284.53333
2022/12/11-20:59:30,315392
2022/12/11-20:59:45,315392
2022/12/11-21:00:00,315392
2022/12/11-21:00:15,315392
2022/12/11-21:00:30,315358.93333
2022/12/11-21:00:45,315268
2022/12/11-21:01:00,315268
2022/12/11-21:01:15,315135.73333
2022/12/11-21:01:30,314772
2022/12/11-21:01:45,314772
