date,value
2022/12/11-20:35:15,4.8
2022/12/11-20:35:30,6.5
2022/12/11-20:35:45,6.5
2022/12/11-20:36:00,4.3533333333
2022/12/11-20:36:15,4.2
2022/12/11-20:36:30,6.1933333333
2022/12/11-20:36:45,6.5
2022/12/11-20:37:00,7.02
2022/12/11-20:37:15,5.1066666667
2022/12/11-20:37:30,6.1866666667
2022/12/11-20:37:45,6.4
2022/12/11-20:38:00,5.44
2022/12/11-20:38:15,5.2
2022/12/11-20:38:30,5.2
2022/12/11-20:38:45,5.2
2022/12/11-20:39:00,5.2
2022/12/11-20:39:15,5.2
2022/12/11-20:39:30,5.76
2022/12/11-20:39:45,5.8
2022/12/11-20:40:00,4.3066666667
2022/12/11-20:40:15,4.2
2022/12/11-20:40:30,4.2
2022/12/11-20:40:45,4.2
2022/12/11-20:41:00,7.4
2022/12/11-20:41:15,5.4
2022/12/11-20:41:30,6.2
2022/12/11-20:41:45,6.2
2022/12/11-20:42:00,6.4
2022/12/11-20:42:15,5.9
2022/12/11-20:42:30,5.6
2022/12/11-20:42:45,5.6
2022/12/11-20:43:00,5.2
2022/12/11-20:43:15,5.2
2022/12/11-20:43:30,5.2
2022/12/11-20:43:45,5.2
2022/12/11-20:44:00,5.2
2022/12/11-20:44:15,5.2
2022/12/11-20:44:30,5.2
2022/12/11-20:44:45,5.2
2022/12/11-20:45:00,5.2
2022/12/11-20:45:15,5.2
2022/12/11-20:45:30,5.2
2022/12/11-20:45:45,5.2
2022/12/11-20:46:00,5.2
2022/12/11-20:46:15,5.2
2022/12/11-20:46:30,5.2
2022/12/11-20:46:45,5.2
2022/12/11-20:47:00,5.2
2022/12/11-20:47:15,5.2
2022/12/11-20:47:30,5.2
2022/12/11-20:47:45,5.2533333333
2022/12/11-20:48:00,5.6
2022/12/11-20:48:15,5.6
2022/12/11-20:48:30,5.5866666667
2022/12/11-20:48:45,5.46
2022/12/11-20:49:00,5.2
2022/12/11-20:49:15,5.2
2022/12/11-20:49:30,5.2
2022/12/11-20:49:45,5.2
2022/12/11-20:50:00,5.2
2022/12/11-20:50:15,5.2
2022/12/11-20:50:30,5.22
2022/12/11-20:50:45,7.1533333333
2022/12/11-20:51:00,7.1533333333
2022/12/11-20:51:15,3.8
2022/12/11-20:51:30,5.9
2022/12/11-20:51:45,5.9
2022/12/11-20:52:00,6.74
2022/12/11-20:52:15,5.8
2022/12/11-20:52:30,5.5
2022/12/11-20:52:45,5.5
2022/12/11-20:53:00,5.5
2022/12/11-20:53:15,5.1
2022/12/11-20:53:30,6.8733333333
2022/12/11-20:53:45,6.8666666667
2022/12/11-20:54:00,4.9466666667
2022/12/11-20:54:15,4.2
2022/12/11-20:54:30,4.2
2022/12/11-20:54:45,4.2
2022/12/11-20:55:00,4.2733333333
2022/12/11-20:55:15,5.3
2022/12/11-20:55:30,5.2733333333
2022/12/11-20:55:45,5.22
2022/12/11-20:56:00,5.7866666667
2022/12/11-20:56:15,4.4
2022/12/11-20:56:30,4.4133333333
2022/12/11-20:56:45,4.7066666667
2022/12/11-20:57:00,6.1666666667
2022/12/11-20:57:15,5.7
2022/12/11-20:57:30,5.94
2022/12/11-20:57:45,7.2933333333
2022/12/11-20:58:00,4.36
2022/12/11-20:58:15,3.8
2022/12/11-20:58:30,4.1866666667
2022/12/11-20:58:45,6.6666666667
2022/12/11-20:59:00,5.7733333333
2022/12/11-20:59:15,3
2022/12/11-20:59:30,3.3466666667
2022/12/11-20:59:45,5.66
2022/12/11-21:00:00,5.76
2022/12/11-21:00:15,5.2
2022/12/11-21:00:30,5.4133333333
2022/12/11-21:00:45,6.54
2022/12/11-21:01:00,8.04
2022/12/11-21:01:15,5.4
2022/12/11-21:01:30,5.4
2022/12/11-21:01:45,5.4
2022/12/11-21:02:00,5.4
2022/12/11-21:02:15,5.4
2022/12/11-21:02:30,6.04
2022/12/11-21:02:45,6.5333333333
2022/12/11-21:03:00,4.3666666667
2022/12/11-21:03:15,5.1
2022/12/11-21:03:30,5.5
2022/12/11-21:03:45,6.22
2022/12/11-21:04:00,6.1
2022/12/11-21:04:15,5.14
2022/12/11-21:04:30,4.7733333333
2022/12/11-21:04:45,6.3266666667
2022/12/11-21:05:00,6.7
2022/12/11-21:05:15,6.7
2022/12/11-21:05:30,6.7
2022/12/11-21:05:45,5.7666666667
2022/12/11-21:06:00,4.7
2022/12/11-21:06:15,4.7
2022/12/11-21:06:30,4.7
2022/12/11-21:06:45,4.9333333333
2022/12/11-21:07:00,5.2
2022/12/11-21:07:15,5.4133333333
2022/12/11-21:07:30,6.3
2022/12/11-21:07:45,6.7266666667
2022/12/11-21:08:00,6.3
2022/12/11-21:08:15,6.3
2022/12/11-21:08:30,6.3
2022/12/11-21:08:45,6.3
2022/12/11-21:09:00,6.3
2022/12/11-21:09:15,5.6
2022/12/11-21:09:30,4.8
2022/12/11-21:09:45,4.8
2022/12/11-21:10:00,4.8
2022/12/11-21:10:15,4.8
2022/12/11-21:10:30,4.8
2022/12/11-21:10:45,5.4
2022/12/11-21:11:00,5.8
2022/12/11-21:11:15,5.8
2022/12/11-21:11:30,5.4666666667
2022/12/11-21:11:45,5.48
2022/12/11-21:12:00,5.6
2022/12/11-21:12:15,6.1866666667
2022/12/11-21:12:30,6.0066666667
2022/12/11-21:12:45,5.4
2022/12/11-21:13:00,5.4
2022/12/11-21:13:15,5.4
2022/12/11-21:13:30,5.3533333333
2022/12/11-21:13:45,4.88
2022/12/11-21:14:00,4.4
2022/12/11-21:14:15,4.4933333333
2022/12/11-21:14:30,5.16
2022/12/11-21:14:45,5.96
2022/12/11-21:15:00,5.9
2022/12/11-21:15:15,4.82
2022/12/11-21:15:30,4.12
2022/12/11-21:15:45,5.5
2022/12/11-21:16:00,5.14
2022/12/11-21:16:15,4.6
2022/12/11-21:16:30,4.7
2022/12/11-21:16:45,5.34
2022/12/11-21:17:00,6.04
2022/12/11-21:17:15,6.1
2022/12/11-21:17:30,6.3
2022/12/11-21:17:45,5.8
2022/12/11-21:18:00,4
2022/12/11-21:18:15,4
2022/12/11-21:18:30,4.4533333333
2022/12/11-21:18:45,5.7
2022/12/11-21:19:00,5.7
2022/12/11-21:19:15,5.7
2022/12/11-21:19:30,5.58
2022/12/11-21:19:45,5.22
2022/12/11-21:20:00,5.54
2022/12/11-21:20:15,4.9
2022/12/11-21:20:30,5.22
2022/12/11-21:20:45,6.74
2022/12/11-21:21:00,7.8733333333
2022/12/11-21:21:15,5.1
2022/12/11-21:21:30,5.1133333333
2022/12/11-21:21:45,5.2
2022/12/11-21:22:00,5.2
2022/12/11-21:22:15,5.2
2022/12/11-21:22:30,5.7333333333
2022/12/11-21:22:45,6.4533333333
2022/12/11-21:23:00,4.4
2022/12/11-21:23:15,4.4
2022/12/11-21:23:30,4.72
2022/12/11-21:23:45,5.6
2022/12/11-21:24:00,5.3066666667
2022/12/11-21:24:15,4.5
2022/12/11-21:24:30,4.5
2022/12/11-21:24:45,4.7133333333
2022/12/11-21:25:00,5.16
2022/12/11-21:25:15,4.6
2022/12/11-21:25:30,4.6
2022/12/11-21:25:45,4.56
2022/12/11-21:26:00,4.4
2022/12/11-21:26:15,4.4
2022/12/11-21:26:30,4.36
2022/12/11-21:26:45,4.62
2022/12/11-21:27:00,6.1
2022/12/11-21:27:15,5.3
2022/12/11-21:27:30,5.5266666667
2022/12/11-21:27:45,6.8933333333
2022/12/11-21:28:00,5.3066666667
2022/12/11-21:28:15,4.7
2022/12/11-21:28:30,4.8733333333
2022/12/11-21:28:45,6
2022/12/11-21:29:00,5.9066666667
2022/12/11-21:29:15,5.3
2022/12/11-21:29:30,5.4066666667
2022/12/11-21:29:45,5.3533333333
2022/12/11-21:30:00,5.3533333333
2022/12/11-21:30:15,4.4
2022/12/11-21:30:30,4.4
2022/12/11-21:30:45,4.4
2022/12/11-21:31:00,6.7
2022/12/11-21:31:15,5.1133333333
2022/12/11-21:31:30,6.5866666667
2022/12/11-21:31:45,6.7
2022/12/11-21:32:00,6.2333333333
2022/12/11-21:32:15,4.8
2022/12/11-21:32:30,6.7533333333
2022/12/11-21:32:45,6.9
2022/12/11-21:33:00,5.5933333333
2022/12/11-21:33:15,4.94
2022/12/11-21:33:30,5.5066666667
2022/12/11-21:33:45,5.6
2022/12/11-21:34:00,6.5333333333
2022/12/11-21:34:15,4.5466666667
2022/12/11-21:34:30,5.52
2022/12/11-21:34:45,5.6
2022/12/11-21:35:00,5.04
