date,value
2022/12/11-20:35:15,94360
2022/12/11-20:35:30,110740
2022/12/11-20:35:45,110740
2022/12/11-20:36:00,110740
2022/12/11-20:36:15,114754.4
2022/12/11-20:36:30,115372
2022/12/11-20:36:45,114751.46667
2022/12/11-20:37:00,114656
2022/12/11-20:37:15,114656
2022/12/11-20:37:30,112482.4
2022/12/11-20:37:45,112148
2022/12/11-20:38:00,112148
2022/12/11-20:38:15,113503.46667
2022/12/11-20:38:30,113712
2022/12/11-20:38:45,111552.26667
2022/12/11-20:39:00,111220
2022/12/11-20:39:15,111220
2022/12/11-20:39:30,113713.86667
2022/12/11-20:39:45,113892
2022/12/11-20:40:00,113892
2022/12/11-20:40:15,112831.73333
2022/12/11-20:40:30,112756
2022/12/11-20:40:45,108076
2022/12/11-20:41:00,108076
2022/12/11-20:41:15,108076
2022/12/11-20:41:30,112736
2022/12/11-20:41:45,112736
2022/12/11-20:42:00,112736
2022/12/11-20:42:15,112356
2022/12/11-20:42:30,112356
2022/12/11-20:42:45,111636
2022/12/11-20:43:00,111636
2022/12/11-20:43:15,111636
2022/12/11-20:43:30,107948
2022/12/11-20:43:45,107948
2022/12/11-20:44:00,108260.53333
2022/12/11-20:44:15,112636
2022/12/11-20:44:30,110111.73333
2022/12/11-20:44:45,93704
2022/12/11-20:45:00,93704
2022/12/11-20:45:15,94872.533333
2022/12/11-20:45:30,111232
2022/12/11-20:45:45,111232
2022/12/11-20:46:00,111260.53333
2022/12/11-20:46:15,111660
2022/12/11-20:46:30,111841.86667
2022/12/11-20:46:45,114388
2022/12/11-20:47:00,114388
2022/12/11-20:47:15,113858.93333
2022/12/11-20:47:30,110420
2022/12/11-20:47:45,110420
2022/12/11-20:48:00,110706.93333
2022/12/11-20:48:15,112572
2022/12/11-20:48:30,112161.86667
2022/12/11-20:48:45,109496
2022/12/11-20:49:00,109496
2022/12/11-20:49:15,109883.73333
2022/12/11-20:49:30,112404
2022/12/11-20:49:45,112404
2022/12/11-20:50:00,112311.73333
2022/12/11-20:50:15,111712
2022/12/11-20:50:30,111285.33333
2022/12/11-20:50:45,105312
2022/12/11-20:51:00,105312
2022/12/11-20:51:15,105312
2022/12/11-20:51:30,111848
2022/12/11-20:51:45,111848
2022/12/11-20:52:00,111848
2022/12/11-20:52:15,112132
2022/12/11-20:52:30,112132
2022/12/11-20:52:45,110488
2022/12/11-20:53:00,110488
2022/12/11-20:53:15,110488
2022/12/11-20:53:30,106736
2022/12/11-20:53:45,106468
2022/12/11-20:54:00,106761.33333
2022/12/11-20:54:15,110868
2022/12/11-20:54:30,108512.26667
2022/12/11-20:54:45,93200
2022/12/11-20:55:00,93200
2022/12/11-20:55:15,95570.133333
2022/12/11-20:55:30,110976
2022/12/11-20:55:45,110976
2022/12/11-20:56:00,110990.4
2022/12/11-20:56:15,111084
2022/12/11-20:56:30,111088.8
2022/12/11-20:56:45,111156
2022/12/11-20:57:00,111156
2022/12/11-20:57:15,113421.86667
2022/12/11-20:57:30,145144
2022/12/11-20:57:45,145144
2022/12/11-20:58:00,145345.6
2022/12/11-20:58:15,148168
2022/12/11-20:58:30,147786.13333
2022/12/11-20:58:45,145304
2022/12/11-20:59:00,145304
2022/12/11-20:59:15,145644.8
2022/12/11-20:59:30,147860
2022/12/11-20:59:45,147860
2022/12/11-21:00:00,147860
2022/12/11-21:00:15,147860
2022/12/11-21:00:30,147860
2022/12/11-21:00:45,146708
2022/12/11-21:01:00,142100
2022/12/11-21:01:15,143222.13333
2022/12/11-21:01:30,146308
2022/12/11-21:01:45,146308
2022/12/11-21:02:00,146584.26667
2022/12/11-21:02:15,147344
2022/12/11-21:02:30,147344
2022/12/11-21:02:45,147453.33333
2022/12/11-21:03:00,147672
2022/12/11-21:03:15,145760
2022/12/11-21:03:30,142892
2022/12/11-21:03:45,142892
2022/12/11-21:04:00,144479.2
2022/12/11-21:04:15,146860
2022/12/11-21:04:30,146860
2022/12/11-21:04:45,138226.66667
2022/12/11-21:05:00,128360
2022/12/11-21:05:15,136804.8
2022/12/11-21:05:30,146456
2022/12/11-21:05:45,146456
2022/12/11-21:06:00,146456
2022/12/11-21:06:15,146456
2022/12/11-21:06:30,146456
2022/12/11-21:06:45,146590.4
2022/12/11-21:07:00,146744
2022/12/11-21:07:15,146744
2022/12/11-21:07:30,146169.06667
2022/12/11-21:07:45,145512
2022/12/11-21:08:00,146206.4
2022/12/11-21:08:15,147000
2022/12/11-21:08:30,147000
2022/12/11-21:08:45,145680.26667
2022/12/11-21:09:00,144172
2022/12/11-21:09:15,144172
2022/12/11-21:09:30,145146.93333
2022/12/11-21:09:45,146000
2022/12/11-21:10:00,145394.13333
2022/12/11-21:10:15,144864
2022/12/11-21:10:30,144864
2022/12/11-21:10:45,142629.6
2022/12/11-21:11:00,141140
2022/12/11-21:11:15,141140
2022/12/11-21:11:30,144134.66667
2022/12/11-21:11:45,145632
2022/12/11-21:12:00,145075.2
2022/12/11-21:12:15,144704
2022/12/11-21:12:30,144704
2022/12/11-21:12:45,144939.2
2022/12/11-21:13:00,145208
2022/12/11-21:13:15,142441.6
2022/12/11-21:13:30,139280
2022/12/11-21:13:45,139280
2022/12/11-21:14:00,141772
2022/12/11-21:14:15,144620
2022/12/11-21:14:30,144620
2022/12/11-21:14:45,137524
2022/12/11-21:15:00,126880
2022/12/11-21:15:15,134006.4
2022/12/11-21:15:30,144696
2022/12/11-21:15:45,144696
2022/12/11-21:16:00,144576
2022/12/11-21:16:15,144396
2022/12/11-21:16:30,144396
2022/12/11-21:16:45,144396
2022/12/11-21:17:00,144396
2022/12/11-21:17:15,144470.66667
2022/12/11-21:17:30,144620
2022/12/11-21:17:45,144620
2022/12/11-21:18:00,144981.33333
2022/12/11-21:18:15,145704
2022/12/11-21:18:30,145704
2022/12/11-21:18:45,144894.4
2022/12/11-21:19:00,142668
2022/12/11-21:19:15,143038.4
2022/12/11-21:19:30,144520
2022/12/11-21:19:45,144520
2022/12/11-21:20:00,144484
2022/12/11-21:20:15,144340
2022/12/11-21:20:30,143580.8
2022/12/11-21:20:45,140544
2022/12/11-21:21:00,140544
2022/12/11-21:21:15,140683.2
2022/12/11-21:21:30,141240
2022/12/11-21:21:45,141240
2022/12/11-21:22:00,141649.06667
2022/12/11-21:22:15,144308
2022/12/11-21:22:30,144308
2022/12/11-21:22:45,144314.4
2022/12/11-21:23:00,144332
2022/12/11-21:23:15,142960.26667
2022/12/11-21:23:30,139188
2022/12/11-21:23:45,139188
2022/12/11-21:24:00,140390.13333
2022/12/11-21:24:15,143696
2022/12/11-21:24:30,143696
2022/12/11-21:24:45,138711.46667
2022/12/11-21:25:00,125004
2022/12/11-21:25:15,129961.86667
2022/12/11-21:25:30,143596
2022/12/11-21:25:45,143596
2022/12/11-21:26:00,143458.4
2022/12/11-21:26:15,142908
2022/12/11-21:26:30,142908
2022/12/11-21:26:45,142951.2
2022/12/11-21:27:00,143124
2022/12/11-21:27:15,142565.6
2022/12/11-21:27:30,140332
2022/12/11-21:27:45,140332
2022/12/11-21:28:00,140885.06667
2022/12/11-21:28:15,144480
2022/12/11-21:28:30,144480
2022/12/11-21:28:45,144074.66667
2022/12/11-21:29:00,141440
2022/12/11-21:29:15,141768
2022/12/11-21:29:30,143900
2022/12/11-21:29:45,143900
2022/12/11-21:30:00,143900
2022/12/11-21:30:15,143900
2022/12/11-21:30:30,143900
2022/12/11-21:30:45,137452
2022/12/11-21:31:00,137452
2022/12/11-21:31:15,137452
2022/12/11-21:31:30,140061.6
2022/12/11-21:31:45,140248
2022/12/11-21:32:00,140248
2022/12/11-21:32:15,141920.53333
2022/12/11-21:32:30,142040
2022/12/11-21:32:45,142704
2022/12/11-21:33:00,142704
2022/12/11-21:33:15,142704
2022/12/11-21:33:30,137507.46667
2022/12/11-21:33:45,136708
2022/12/11-21:34:00,136708
2022/12/11-21:34:15,140710.13333
2022/12/11-21:34:30,140996
2022/12/11-21:34:45,124580.53333
2022/12/11-21:35:00,123408
