date,value
2022/12/11-20:35:15,188
2022/12/11-20:35:30,188
2022/12/11-20:35:45,188
2022/12/11-20:36:00,188
2022/12/11-20:36:15,177.6
2022/12/11-20:36:30,176
2022/12/11-20:36:45,176
2022/12/11-20:37:00,176
2022/12/11-20:37:15,176
2022/12/11-20:37:30,176
2022/12/11-20:37:45,176
2022/12/11-20:38:00,176
2022/12/11-20:38:15,176
2022/12/11-20:38:30,176
2022/12/11-20:38:45,176
2022/12/11-20:39:00,173.4
2022/12/11-20:39:15,173
2022/12/11-20:39:30,173
2022/12/11-20:39:45,173
2022/12/11-20:40:00,173
2022/12/11-20:40:15,203.8
2022/12/11-20:40:30,206
2022/12/11-20:40:45,206
2022/12/11-20:41:00,206
2022/12/11-20:41:15,206
2022/12/11-20:41:30,173
2022/12/11-20:41:45,173
2022/12/11-20:42:00,173
2022/12/11-20:42:15,173
2022/12/11-20:42:30,173
2022/12/11-20:42:45,173
2022/12/11-20:43:00,182
2022/12/11-20:43:15,182
2022/12/11-20:43:30,182
2022/12/11-20:43:45,182
2022/12/11-20:44:00,181.4
2022/12/11-20:44:15,173
2022/12/11-20:44:30,173
2022/12/11-20:44:45,173
2022/12/11-20:45:00,173
2022/12/11-20:45:15,176
2022/12/11-20:45:30,218
2022/12/11-20:45:45,218
2022/12/11-20:46:00,218
2022/12/11-20:46:15,218
2022/12/11-20:46:30,218
2022/12/11-20:46:45,215.4
2022/12/11-20:47:00,179
2022/12/11-20:47:15,179
2022/12/11-20:47:30,179
2022/12/11-20:47:45,179
2022/12/11-20:48:00,178.6
2022/12/11-20:48:15,176
2022/12/11-20:48:30,176
2022/12/11-20:48:45,176
2022/12/11-20:49:00,176
2022/12/11-20:49:15,176
2022/12/11-20:49:30,176.66666667
2022/12/11-20:49:45,181
2022/12/11-20:50:00,181
2022/12/11-20:50:15,181
2022/12/11-20:50:30,181
2022/12/11-20:50:45,184.73333333
2022/12/11-20:51:00,184.73333333
2022/12/11-20:51:15,188
2022/12/11-20:51:30,188
2022/12/11-20:51:45,188
2022/12/11-20:52:00,188
2022/12/11-20:52:15,242
2022/12/11-20:52:30,242
2022/12/11-20:52:45,242
2022/12/11-20:53:00,242
2022/12/11-20:53:15,242
2022/12/11-20:53:30,183.2
2022/12/11-20:53:45,179
2022/12/11-20:54:00,179
2022/12/11-20:54:15,179
2022/12/11-20:54:30,179
2022/12/11-20:54:45,178.2
2022/12/11-20:55:00,173
2022/12/11-20:55:15,173
2022/12/11-20:55:30,173
2022/12/11-20:55:45,173
2022/12/11-20:56:00,173
2022/12/11-20:56:15,173
2022/12/11-20:56:30,173
2022/12/11-20:56:45,173
2022/12/11-20:57:00,173
2022/12/11-20:57:15,173
2022/12/11-20:57:30,173
2022/12/11-20:57:45,173
2022/12/11-20:58:00,173
2022/12/11-20:58:15,173
2022/12/11-20:58:30,173
2022/12/11-20:58:45,173.2
2022/12/11-20:59:00,176
2022/12/11-20:59:15,176
2022/12/11-20:59:30,176
2022/12/11-20:59:45,176
2022/12/11-21:00:00,175.4
2022/12/11-21:00:15,173
2022/12/11-21:00:30,173
2022/12/11-21:00:45,173
2022/12/11-21:01:00,173
2022/12/11-21:01:15,173
2022/12/11-21:01:30,175.4
2022/12/11-21:01:45,182
2022/12/11-21:02:00,182
2022/12/11-21:02:15,182
2022/12/11-21:02:30,182
2022/12/11-21:02:45,181
2022/12/11-21:03:00,179
2022/12/11-21:03:15,179
2022/12/11-21:03:30,179
2022/12/11-21:03:45,179
2022/12/11-21:04:00,179
2022/12/11-21:04:15,182.6
2022/12/11-21:04:30,188
2022/12/11-21:04:45,188
2022/12/11-21:05:00,188
2022/12/11-21:05:15,188
2022/12/11-21:05:30,185.2
2022/12/11-21:05:45,182
2022/12/11-21:06:00,182
2022/12/11-21:06:15,182
2022/12/11-21:06:30,182
2022/12/11-21:06:45,187.6
2022/12/11-21:07:00,194
