date,value
2022/12/11-20:35:30,134968
2022/12/11-20:35:45,134968
2022/12/11-20:36:00,134968
2022/12/11-20:36:15,134968
2022/12/11-20:36:30,135075.46667
2022/12/11-20:36:45,135092
2022/12/11-20:37:00,134769.6
2022/12/11-20:37:15,134720
2022/12/11-20:37:30,134720
2022/12/11-20:37:45,134827.46667
2022/12/11-20:38:00,134844
2022/12/11-20:38:15,134844
2022/12/11-20:38:30,134951.46667
2022/12/11-20:38:45,134968
2022/12/11-20:39:00,134753.06667
2022/12/11-20:39:15,134720
2022/12/11-20:39:30,134720
2022/12/11-20:39:45,134968
2022/12/11-20:40:00,134968
2022/12/11-20:40:15,134968
2022/12/11-20:40:30,134720
2022/12/11-20:40:45,134720
2022/12/11-20:41:00,130256
2022/12/11-20:41:15,130256
2022/12/11-20:41:30,130256
2022/12/11-20:41:45,130132
2022/12/11-20:42:00,130132
2022/12/11-20:42:15,130132
2022/12/11-20:42:30,130008
2022/12/11-20:42:45,130008
2022/12/11-20:43:00,130132
2022/12/11-20:43:15,130132
2022/12/11-20:43:30,130132
2022/12/11-20:43:45,130132
2022/12/11-20:44:00,130132
2022/12/11-20:44:15,130115.46667
2022/12/11-20:44:30,130008
2022/12/11-20:44:45,130008
2022/12/11-20:45:00,130008
2022/12/11-20:45:15,130008
2022/12/11-20:45:30,129999.73333
2022/12/11-20:45:45,129884
2022/12/11-20:46:00,129884
2022/12/11-20:46:15,129884
2022/12/11-20:46:30,129884
2022/12/11-20:46:45,129908.8
2022/12/11-20:47:00,130256
2022/12/11-20:47:15,130256
2022/12/11-20:47:30,130256
2022/12/11-20:47:45,130256
2022/12/11-20:48:00,130256
2022/12/11-20:48:15,130421.33333
2022/12/11-20:48:30,131496
2022/12/11-20:48:45,131512.53333
2022/12/11-20:49:00,131620
2022/12/11-20:49:15,131620
2022/12/11-20:49:30,132049.86667
2022/12/11-20:49:45,134844
2022/12/11-20:50:00,134844
2022/12/11-20:50:15,134852.26667
2022/12/11-20:50:30,134968
2022/12/11-20:50:45,134968
2022/12/11-20:51:00,134968
2022/12/11-20:51:15,134968
2022/12/11-20:51:30,134968
2022/12/11-20:51:45,134968
2022/12/11-20:52:00,134968
2022/12/11-20:52:15,134968
2022/12/11-20:52:30,134844
2022/12/11-20:52:45,134844
2022/12/11-20:53:00,134720
2022/12/11-20:53:15,134720
2022/12/11-20:53:30,134720
2022/12/11-20:53:45,134844
2022/12/11-20:54:00,134844
2022/12/11-20:54:15,134860.53333
2022/12/11-20:54:30,135092
2022/12/11-20:54:45,135075.46667
2022/12/11-20:55:00,134968
2022/12/11-20:55:15,134968
2022/12/11-20:55:30,134984.53333
2022/12/11-20:55:45,135092
2022/12/11-20:56:00,135092
2022/12/11-20:56:15,135075.46667
2022/12/11-20:56:30,134968
2022/12/11-20:56:45,134968
2022/12/11-20:57:00,134968
2022/12/11-20:57:15,134968
2022/12/11-20:57:30,134968
2022/12/11-20:57:45,134968
2022/12/11-20:58:00,134968
2022/12/11-20:58:15,134968
2022/12/11-20:58:30,134968
2022/12/11-20:58:45,134968
2022/12/11-20:59:00,134968
2022/12/11-20:59:15,134968
2022/12/11-20:59:30,134968
2022/12/11-20:59:45,134968
2022/12/11-21:00:00,134968
2022/12/11-21:00:15,134968
2022/12/11-21:00:30,134968
2022/12/11-21:00:45,134968
2022/12/11-21:01:00,134968
2022/12/11-21:01:15,134968
2022/12/11-21:01:30,134968
2022/12/11-21:01:45,134968
2022/12/11-21:02:00,134968
2022/12/11-21:02:15,134934.93333
2022/12/11-21:02:30,134844
2022/12/11-21:02:45,134844
2022/12/11-21:03:00,134844
2022/12/11-21:03:15,134844
2022/12/11-21:03:30,134802.66667
2022/12/11-21:03:45,134720
2022/12/11-21:04:00,134720
2022/12/11-21:04:15,134769.6
2022/12/11-21:04:30,134844
2022/12/11-21:04:45,134844
2022/12/11-21:05:00,134844
2022/12/11-21:05:15,134844
2022/12/11-21:05:30,134844
2022/12/11-21:05:45,134844
2022/12/11-21:06:00,134844
2022/12/11-21:06:15,134786.13333
2022/12/11-21:06:30,134720
2022/12/11-21:06:45,134720
2022/12/11-21:07:00,134777.86667
2022/12/11-21:07:15,134844
2022/12/11-21:07:30,134844
2022/12/11-21:07:45,134844
2022/12/11-21:08:00,134844
2022/12/11-21:08:15,134786.13333
2022/12/11-21:08:30,134720
2022/12/11-21:08:45,134720
2022/12/11-21:09:00,134720
2022/12/11-21:09:15,134720
2022/12/11-21:09:30,134720
2022/12/11-21:09:45,134852.26667
2022/12/11-21:10:00,134968
2022/12/11-21:10:15,134968
2022/12/11-21:10:30,134968
2022/12/11-21:10:45,134968
2022/12/11-21:11:00,135191.2
2022/12/11-21:11:15,135340
2022/12/11-21:11:30,135340
2022/12/11-21:11:45,135340
2022/12/11-21:12:00,135340
2022/12/11-21:12:15,135406.13333
2022/12/11-21:12:30,135464
2022/12/11-21:12:45,135464
2022/12/11-21:13:00,135464
2022/12/11-21:13:15,135464
2022/12/11-21:13:30,135464
2022/12/11-21:13:45,135464
2022/12/11-21:14:00,135464
2022/12/11-21:14:15,135464
2022/12/11-21:14:30,135464
2022/12/11-21:14:45,135464
2022/12/11-21:15:00,135464
2022/12/11-21:15:15,135464
2022/12/11-21:15:30,135464
2022/12/11-21:15:45,135464
2022/12/11-21:16:00,135464
2022/12/11-21:16:15,135464
2022/12/11-21:16:30,135464
2022/12/11-21:16:45,135464
2022/12/11-21:17:00,135414.4
2022/12/11-21:17:15,135340
2022/12/11-21:17:30,135381.33333
2022/12/11-21:17:45,135464
2022/12/11-21:18:00,135464
2022/12/11-21:18:15,135430.93333
2022/12/11-21:18:30,135340
2022/12/11-21:18:45,135340
2022/12/11-21:19:00,135340
2022/12/11-21:19:15,135340
2022/12/11-21:19:30,135340
2022/12/11-21:19:45,135340
2022/12/11-21:20:00,135340
2022/12/11-21:20:15,135315.2
2022/12/11-21:20:30,135216
2022/12/11-21:20:45,135216
2022/12/11-21:21:00,135199.46667
2022/12/11-21:21:15,135092
2022/12/11-21:21:30,135092
2022/12/11-21:21:45,135092
2022/12/11-21:22:00,135092
2022/12/11-21:22:15,135166.4
2022/12/11-21:22:30,135464
2022/12/11-21:22:45,135464
2022/12/11-21:23:00,135464
2022/12/11-21:23:15,135464
2022/12/11-21:23:30,135464
2022/12/11-21:23:45,135464
2022/12/11-21:24:00,135464
2022/12/11-21:24:15,135464
2022/12/11-21:24:30,135464
2022/12/11-21:24:45,135464
2022/12/11-21:25:00,135439.2
2022/12/11-21:25:15,135340
2022/12/11-21:25:30,135340
2022/12/11-21:25:45,135340
2022/12/11-21:26:00,135340
2022/12/11-21:26:15,135356.53333
2022/12/11-21:26:30,135464
2022/12/11-21:26:45,135464
2022/12/11-21:27:00,135464
2022/12/11-21:27:15,135464
2022/12/11-21:27:30,135464
2022/12/11-21:27:45,135464
2022/12/11-21:28:00,135464
2022/12/11-21:28:15,135480.53333
2022/12/11-21:28:30,135588
2022/12/11-21:28:45,135604.53333
2022/12/11-21:29:00,135712
2022/12/11-21:29:15,135712
2022/12/11-21:29:30,135712
2022/12/11-21:29:45,135712
2022/12/11-21:30:00,135712
2022/12/11-21:30:15,135712
2022/12/11-21:30:30,135588
2022/12/11-21:30:45,135588
2022/12/11-21:31:00,135464
2022/12/11-21:31:15,135464
2022/12/11-21:31:30,135464
2022/12/11-21:31:45,135464
2022/12/11-21:32:00,135464
2022/12/11-21:32:15,135464
2022/12/11-21:32:30,135695.46667
2022/12/11-21:32:45,135712
2022/12/11-21:33:00,135480.53333
2022/12/11-21:33:15,135464
2022/12/11-21:33:30,135464
2022/12/11-21:33:45,135464
2022/12/11-21:34:00,135464
2022/12/11-21:34:15,135464
2022/12/11-21:34:30,135579.73333
2022/12/11-21:34:45,135588
2022/12/11-21:35:00,135588
2022/12/11-21:35:15,NaN
