date,value
2022/12/11-20:35:30,5.303
2022/12/11-20:35:45,5.303
2022/12/11-20:36:00,5.303
2022/12/11-20:36:15,5.303
2022/12/11-20:36:30,5.303
2022/12/11-20:36:45,5.303
2022/12/11-20:37:00,5.303
2022/12/11-20:37:15,5.303
2022/12/11-20:37:30,5.303
2022/12/11-20:37:45,5.303
2022/12/11-20:38:00,5.303
2022/12/11-20:38:15,5.303
2022/12/11-20:38:30,5.303
2022/12/11-20:38:45,5.303
2022/12/11-20:39:00,5.303
2022/12/11-20:39:15,5.303
2022/12/11-20:39:30,5.303
2022/12/11-20:39:45,5.303
2022/12/11-20:40:00,5.3020666667
2022/12/11-20:40:15,5.302
2022/12/11-20:40:30,5.302
2022/12/11-20:40:45,5.302
2022/12/11-20:41:00,5.302
2022/12/11-20:41:15,5.302
2022/12/11-20:41:30,5.302
2022/12/11-20:41:45,5.302
2022/12/11-20:42:00,5.302
2022/12/11-20:42:15,5.302
2022/12/11-20:42:30,5.302
2022/12/11-20:42:45,5.302
2022/12/11-20:43:00,5.303
2022/12/11-20:43:15,5.303
2022/12/11-20:43:30,5.303
2022/12/11-20:43:45,5.303
2022/12/11-20:44:00,5.303
2022/12/11-20:44:15,5.303
2022/12/11-20:44:30,5.303
2022/12/11-20:44:45,5.303
2022/12/11-20:45:00,5.303
2022/12/11-20:45:15,5.303
2022/12/11-20:45:30,5.303
2022/12/11-20:45:45,5.303
2022/12/11-20:46:00,5.303
2022/12/11-20:46:15,5.303
2022/12/11-20:46:30,5.303
2022/12/11-20:46:45,5.303
2022/12/11-20:47:00,5.303
2022/12/11-20:47:15,5.303
2022/12/11-20:47:30,5.303
2022/12/11-20:47:45,5.303
2022/12/11-20:48:00,5.303
2022/12/11-20:48:15,5.303
2022/12/11-20:48:30,5.303
2022/12/11-20:48:45,5.303
2022/12/11-20:49:00,5.303
2022/12/11-20:49:15,5.303
2022/12/11-20:49:30,5.303
2022/12/11-20:49:45,5.303
2022/12/11-20:50:00,5.303
2022/12/11-20:50:15,5.303
2022/12/11-20:50:30,5.303
2022/12/11-20:50:45,5.303
2022/12/11-20:51:00,5.303
2022/12/11-20:51:15,5.303
2022/12/11-20:51:30,5.303
2022/12/11-20:51:45,5.303
2022/12/11-20:52:00,5.303
2022/12/11-20:52:15,5.303
2022/12/11-20:52:30,5.303
2022/12/11-20:52:45,5.303
2022/12/11-20:53:00,5.303
2022/12/11-20:53:15,5.303
2022/12/11-20:53:30,5.303
2022/12/11-20:53:45,5.303
2022/12/11-20:54:00,5.303
2022/12/11-20:54:15,5.303
2022/12/11-20:54:30,5.303
2022/12/11-20:54:45,5.3028666667
2022/12/11-20:55:00,5.302
2022/12/11-20:55:15,5.302
2022/12/11-20:55:30,5.302
2022/12/11-20:55:45,5.302
2022/12/11-20:56:00,5.302
2022/12/11-20:56:15,5.302
2022/12/11-20:56:30,5.302
2022/12/11-20:56:45,5.302
2022/12/11-20:57:00,5.302
2022/12/11-20:57:15,5.302
2022/12/11-20:57:30,5.302
2022/12/11-20:57:45,5.3020666667
2022/12/11-20:58:00,5.303
2022/12/11-20:58:15,5.303
2022/12/11-20:58:30,5.303
2022/12/11-20:58:45,5.303
2022/12/11-20:59:00,5.303
2022/12/11-20:59:15,5.303
2022/12/11-20:59:30,5.303
2022/12/11-20:59:45,5.303
2022/12/11-21:00:00,5.303
2022/12/11-21:00:15,5.303
2022/12/11-21:00:30,5.303
2022/12/11-21:00:45,5.3028
2022/12/11-21:01:00,5.302
2022/12/11-21:01:15,5.302
2022/12/11-21:01:30,5.302
2022/12/11-21:01:45,5.302
2022/12/11-21:02:00,5.302
2022/12/11-21:02:15,5.302
2022/12/11-21:02:30,5.302
2022/12/11-21:02:45,5.302
2022/12/11-21:03:00,5.302
2022/12/11-21:03:15,5.302
2022/12/11-21:03:30,5.302
2022/12/11-21:03:45,5.302
2022/12/11-21:04:00,5.302
2022/12/11-21:04:15,5.302
2022/12/11-21:04:30,5.302
2022/12/11-21:04:45,5.302
2022/12/11-21:05:00,5.302
2022/12/11-21:05:15,5.302
2022/12/11-21:05:30,5.302
2022/12/11-21:05:45,5.302
2022/12/11-21:06:00,5.302
2022/12/11-21:06:15,5.302
2022/12/11-21:06:30,5.302
2022/12/11-21:06:45,5.302
2022/12/11-21:07:00,5.302
2022/12/11-21:07:15,5.302
2022/12/11-21:07:30,5.302
2022/12/11-21:07:45,5.302
2022/12/11-21:08:00,5.302
2022/12/11-21:08:15,5.302
2022/12/11-21:08:30,5.302
2022/12/11-21:08:45,5.302
2022/12/11-21:09:00,5.302
2022/12/11-21:09:15,5.302
2022/12/11-21:09:30,5.302
2022/12/11-21:09:45,5.3025333333
2022/12/11-21:10:00,5.303
2022/12/11-21:10:15,5.303
2022/12/11-21:10:30,5.303
2022/12/11-21:10:45,5.303
2022/12/11-21:11:00,5.303
2022/12/11-21:11:15,5.303
2022/12/11-21:11:30,5.303
2022/12/11-21:11:45,5.303
2022/12/11-21:12:00,5.303
2022/12/11-21:12:15,5.303
2022/12/11-21:12:30,5.303
2022/12/11-21:12:45,5.3025333333
2022/12/11-21:13:00,5.302
2022/12/11-21:13:15,5.302
2022/12/11-21:13:30,5.302
2022/12/11-21:13:45,5.302
2022/12/11-21:14:00,5.302
2022/12/11-21:14:15,5.302
2022/12/11-21:14:30,5.302
2022/12/11-21:14:45,5.302
2022/12/11-21:15:00,5.302
2022/12/11-21:15:15,5.302
2022/12/11-21:15:30,5.302
2022/12/11-21:15:45,5.302
2022/12/11-21:16:00,5.302
2022/12/11-21:16:15,5.302
2022/12/11-21:16:30,5.302
2022/12/11-21:16:45,5.302
2022/12/11-21:17:00,5.302
2022/12/11-21:17:15,5.302
2022/12/11-21:17:30,5.302
2022/12/11-21:17:45,5.302
2022/12/11-21:18:00,5.302
2022/12/11-21:18:15,5.302
2022/12/11-21:18:30,5.302
2022/12/11-21:18:45,5.302
2022/12/11-21:19:00,5.302
2022/12/11-21:19:15,5.302
2022/12/11-21:19:30,5.302
2022/12/11-21:19:45,5.302
2022/12/11-21:20:00,5.302
2022/12/11-21:20:15,5.302
2022/12/11-21:20:30,5.302
2022/12/11-21:20:45,5.302
2022/12/11-21:21:00,5.302
2022/12/11-21:21:15,5.302
2022/12/11-21:21:30,5.302
2022/12/11-21:21:45,5.3021333333
2022/12/11-21:22:00,5.303
2022/12/11-21:22:15,5.303
2022/12/11-21:22:30,5.303
2022/12/11-21:22:45,5.303
2022/12/11-21:23:00,5.303
2022/12/11-21:23:15,5.303
2022/12/11-21:23:30,5.303
2022/12/11-21:23:45,5.303
2022/12/11-21:24:00,5.303
2022/12/11-21:24:15,5.303
2022/12/11-21:24:30,5.303
2022/12/11-21:24:45,5.3027333333
2022/12/11-21:25:00,5.302
2022/12/11-21:25:15,5.302
2022/12/11-21:25:30,5.302
2022/12/11-21:25:45,5.302
2022/12/11-21:26:00,5.302
2022/12/11-21:26:15,5.302
