date,value
2022/12/11-20:35:30,1173656
2022/12/11-20:35:45,1173656
2022/12/11-20:36:00,1173656
2022/12/11-20:36:15,1173656
2022/12/11-20:36:30,1173260.8
2022/12/11-20:36:45,1173200
2022/12/11-20:37:00,1173200
2022/12/11-20:37:15,1173130.6667
2022/12/11-20:37:30,1173120
2022/12/11-20:37:45,1173120
2022/12/11-20:38:00,1172928
2022/12/11-20:38:15,1172880
2022/12/11-20:38:30,1173788.2667
2022/12/11-20:38:45,1173928
2022/12/11-20:39:00,1173928
2022/12/11-20:39:15,1172968.5333
2022/12/11-20:39:30,1172900
2022/12/11-20:39:45,1172900
2022/12/11-20:40:00,1173430.1333
2022/12/11-20:40:15,1173468
2022/12/11-20:40:30,1173196
2022/12/11-20:40:45,1173196
2022/12/11-20:41:00,1173196
2022/12/11-20:41:15,1173024
2022/12/11-20:41:30,1173024
2022/12/11-20:41:45,1173024
2022/12/11-20:42:00,1173404
2022/12/11-20:42:15,1173404
2022/12/11-20:42:30,1173928
2022/12/11-20:42:45,1173928
2022/12/11-20:43:00,1173928
2022/12/11-20:43:15,1174060
2022/12/11-20:43:30,1174060
2022/12/11-20:43:45,1174060
2022/12/11-20:44:00,1174060
2022/12/11-20:44:15,1174060
2022/12/11-20:44:30,1173864.8
2022/12/11-20:44:45,1172596
2022/12/11-20:45:00,1172596
2022/12/11-20:45:15,1172596
2022/12/11-20:45:30,1172596
2022/12/11-20:45:45,1172637.6
2022/12/11-20:46:00,1173220
2022/12/11-20:46:15,1173220
2022/12/11-20:46:30,1173220
2022/12/11-20:46:45,1173220
2022/12/11-20:47:00,1173271.7333
2022/12/11-20:47:15,1173996
2022/12/11-20:47:30,1173996
2022/12/11-20:47:45,1173904.8
2022/12/11-20:48:00,1173312
2022/12/11-20:48:15,1173312
2022/12/11-20:48:30,1173129.0667
2022/12/11-20:48:45,1171940
2022/12/11-20:49:00,1171949.0667
2022/12/11-20:49:15,1172008
2022/12/11-20:49:30,1172008
2022/12/11-20:49:45,1172028.2667
2022/12/11-20:50:00,1172160
2022/12/11-20:50:15,1172160
2022/12/11-20:50:30,1172173.3333
2022/12/11-20:50:45,1172360
2022/12/11-20:51:00,1172360
2022/12/11-20:51:15,1173052
2022/12/11-20:51:30,1173052
2022/12/11-20:51:45,1173052
2022/12/11-20:52:00,1172842.9333
2022/12/11-20:52:15,1172828
2022/12/11-20:52:30,1172704
2022/12/11-20:52:45,1172704
2022/12/11-20:53:00,1172704
2022/12/11-20:53:15,1172732
2022/12/11-20:53:30,1172732
2022/12/11-20:53:45,1172697.0667
2022/12/11-20:54:00,1172208
2022/12/11-20:54:15,1172208
2022/12/11-20:54:30,1172228.8
2022/12/11-20:54:45,1172364
2022/12/11-20:55:00,1172376.8
2022/12/11-20:55:15,1172556
2022/12/11-20:55:30,1172556
2022/12/11-20:55:45,1172512.2667
2022/12/11-20:56:00,1172228
2022/12/11-20:56:15,1172228
2022/12/11-20:56:30,1172220.8
2022/12/11-20:56:45,1172120
2022/12/11-20:57:00,1172135.7333
2022/12/11-20:57:15,1172356
2022/12/11-20:57:30,1172356
2022/12/11-20:57:45,1172389.0667
2022/12/11-20:58:00,1172852
2022/12/11-20:58:15,1172852
2022/12/11-20:58:30,1172748.5333
2022/12/11-20:58:45,1172076
2022/12/11-20:59:00,1172069.0667
2022/12/11-20:59:15,1172024
2022/12/11-20:59:30,1172024
2022/12/11-20:59:45,1172024
2022/12/11-21:00:00,1172024
2022/12/11-21:00:15,1172024
2022/12/11-21:00:30,1172016.5333
2022/12/11-21:00:45,1171996
2022/12/11-21:01:00,1171098.4
2022/12/11-21:01:15,1167508
2022/12/11-21:01:30,1167508
2022/12/11-21:01:45,1167865.3333
