date,value
2022/12/11-20:35:30,219
2022/12/11-20:35:45,219
2022/12/11-20:36:00,219
2022/12/11-20:36:15,219
2022/12/11-20:36:30,219
2022/12/11-20:36:45,219
2022/12/11-20:37:00,219
2022/12/11-20:37:15,220.73333333
2022/12/11-20:37:30,221
2022/12/11-20:37:45,221
2022/12/11-20:38:00,221
2022/12/11-20:38:15,221
2022/12/11-20:38:30,219.26666667
2022/12/11-20:38:45,219
2022/12/11-20:39:00,219
2022/12/11-20:39:15,219
2022/12/11-20:39:30,219
2022/12/11-20:39:45,219
2022/12/11-20:40:00,220.86666667
2022/12/11-20:40:15,221
2022/12/11-20:40:30,221
2022/12/11-20:40:45,221
2022/12/11-20:41:00,221
2022/12/11-20:41:15,220
2022/12/11-20:41:30,220
2022/12/11-20:41:45,220
2022/12/11-20:42:00,220
2022/12/11-20:42:15,220
2022/12/11-20:42:30,219
2022/12/11-20:42:45,219
2022/12/11-20:43:00,219
2022/12/11-20:43:15,219
2022/12/11-20:43:30,219
2022/12/11-20:43:45,219
2022/12/11-20:44:00,219
2022/12/11-20:44:15,219
2022/12/11-20:44:30,219
2022/12/11-20:44:45,219
2022/12/11-20:45:00,219
2022/12/11-20:45:15,219
2022/12/11-20:45:30,219
2022/12/11-20:45:45,219
2022/12/11-20:46:00,219
2022/12/11-20:46:15,219
2022/12/11-20:46:30,219
2022/12/11-20:46:45,219
2022/12/11-20:47:00,219
2022/12/11-20:47:15,219
2022/12/11-20:47:30,219
2022/12/11-20:47:45,219
2022/12/11-20:48:00,219
2022/12/11-20:48:15,219
2022/12/11-20:48:30,219
2022/12/11-20:48:45,219
2022/12/11-20:49:00,218.86666667
2022/12/11-20:49:15,218
2022/12/11-20:49:30,218
2022/12/11-20:49:45,218
2022/12/11-20:50:00,218
2022/12/11-20:50:15,218
2022/12/11-20:50:30,218.06666667
2022/12/11-20:50:45,219
2022/12/11-20:51:00,219
2022/12/11-20:51:15,219
2022/12/11-20:51:30,219
2022/12/11-20:51:45,219
2022/12/11-20:52:00,219
2022/12/11-20:52:15,219
2022/12/11-20:52:30,219
2022/12/11-20:52:45,219
2022/12/11-20:53:00,219
2022/12/11-20:53:15,219
2022/12/11-20:53:30,219
2022/12/11-20:53:45,219
2022/12/11-20:54:00,219
2022/12/11-20:54:15,219
2022/12/11-20:54:30,218.86666667
2022/12/11-20:54:45,218
2022/12/11-20:55:00,218
2022/12/11-20:55:15,218
2022/12/11-20:55:30,218
2022/12/11-20:55:45,218.13333333
2022/12/11-20:56:00,219
2022/12/11-20:56:15,219
2022/12/11-20:56:30,219
2022/12/11-20:56:45,219
2022/12/11-20:57:00,219
2022/12/11-20:57:15,219
2022/12/11-20:57:30,219
2022/12/11-20:57:45,219
2022/12/11-20:58:00,219
2022/12/11-20:58:15,219
2022/12/11-20:58:30,219
2022/12/11-20:58:45,219
2022/12/11-20:59:00,219
2022/12/11-20:59:15,219
2022/12/11-20:59:30,219
2022/12/11-20:59:45,219
2022/12/11-21:00:00,219
2022/12/11-21:00:15,219
2022/12/11-21:00:30,219
2022/12/11-21:00:45,219
2022/12/11-21:01:00,219.8
2022/12/11-21:01:15,223
2022/12/11-21:01:30,223
2022/12/11-21:01:45,223
2022/12/11-21:02:00,223
2022/12/11-21:02:15,223
2022/12/11-21:02:30,223
2022/12/11-21:02:45,223
2022/12/11-21:03:00,223
2022/12/11-21:03:15,223
2022/12/11-21:03:30,223
2022/12/11-21:03:45,221.4
2022/12/11-21:04:00,219
2022/12/11-21:04:15,219
2022/12/11-21:04:30,219
2022/12/11-21:04:45,219
2022/12/11-21:05:00,219
2022/12/11-21:05:15,218.53333333
2022/12/11-21:05:30,218
2022/12/11-21:05:45,218
2022/12/11-21:06:00,218
2022/12/11-21:06:15,218
2022/12/11-21:06:30,218.46666667
2022/12/11-21:06:45,219
2022/12/11-21:07:00,219
2022/12/11-21:07:15,219
2022/12/11-21:07:30,219
2022/12/11-21:07:45,219.46666667
2022/12/11-21:08:00,220
2022/12/11-21:08:15,220
2022/12/11-21:08:30,220
2022/12/11-21:08:45,220
2022/12/11-21:09:00,220
2022/12/11-21:09:15,220
2022/12/11-21:09:30,220
2022/12/11-21:09:45,220
2022/12/11-21:10:00,220
2022/12/11-21:10:15,220
2022/12/11-21:10:30,219.46666667
2022/12/11-21:10:45,219
2022/12/11-21:11:00,219
2022/12/11-21:11:15,219
2022/12/11-21:11:30,219
2022/12/11-21:11:45,219.6
2022/12/11-21:12:00,220
2022/12/11-21:12:15,220
2022/12/11-21:12:30,220
2022/12/11-21:12:45,220
2022/12/11-21:13:00,220
2022/12/11-21:13:15,219.53333333
2022/12/11-21:13:30,219
2022/12/11-21:13:45,219
2022/12/11-21:14:00,219
2022/12/11-21:14:15,219
2022/12/11-21:14:30,219
2022/12/11-21:14:45,219
2022/12/11-21:15:00,219
2022/12/11-21:15:15,219
2022/12/11-21:15:30,219
2022/12/11-21:15:45,219
2022/12/11-21:16:00,219
2022/12/11-21:16:15,219
2022/12/11-21:16:30,219
2022/12/11-21:16:45,219
2022/12/11-21:17:00,219
2022/12/11-21:17:15,219
2022/12/11-21:17:30,219
2022/12/11-21:17:45,219
2022/12/11-21:18:00,219
2022/12/11-21:18:15,219
2022/12/11-21:18:30,219.26666667
2022/12/11-21:18:45,220
2022/12/11-21:19:00,220
2022/12/11-21:19:15,220
2022/12/11-21:19:30,220
2022/12/11-21:19:45,220
2022/12/11-21:20:00,220
2022/12/11-21:20:15,220
2022/12/11-21:20:30,220
2022/12/11-21:20:45,220
2022/12/11-21:21:00,219.86666667
2022/12/11-21:21:15,219
2022/12/11-21:21:30,219
2022/12/11-21:21:45,219
2022/12/11-21:22:00,219
2022/12/11-21:22:15,219
2022/12/11-21:22:30,219
2022/12/11-21:22:45,219
2022/12/11-21:23:00,219
2022/12/11-21:23:15,219
2022/12/11-21:23:30,219
2022/12/11-21:23:45,219
2022/12/11-21:24:00,219
2022/12/11-21:24:15,219
2022/12/11-21:24:30,219
2022/12/11-21:24:45,219
2022/12/11-21:25:00,219
2022/12/11-21:25:15,219
2022/12/11-21:25:30,219
2022/12/11-21:25:45,219
2022/12/11-21:26:00,219
2022/12/11-21:26:15,219
2022/12/11-21:26:30,218.8
2022/12/11-21:26:45,218
2022/12/11-21:27:00,218
2022/12/11-21:27:15,218
2022/12/11-21:27:30,218
2022/12/11-21:27:45,218.13333333
2022/12/11-21:28:00,220
2022/12/11-21:28:15,220
2022/12/11-21:28:30,220
2022/12/11-21:28:45,220
2022/12/11-21:29:00,220
2022/12/11-21:29:15,220
2022/12/11-21:29:30,220
2022/12/11-21:29:45,220
2022/12/11-21:30:00,220
2022/12/11-21:30:15,220
2022/12/11-21:30:30,220
2022/12/11-21:30:45,220
2022/12/11-21:31:00,220
2022/12/11-21:31:15,220
2022/12/11-21:31:30,220
2022/12/11-21:31:45,220
2022/12/11-21:32:00,220
2022/12/11-21:32:15,220
2022/12/11-21:32:30,220
2022/12/11-21:32:45,220
2022/12/11-21:33:00,220
2022/12/11-21:33:15,219.06666667
2022/12/11-21:33:30,219
2022/12/11-21:33:45,219
2022/12/11-21:34:00,219
2022/12/11-21:34:15,219
2022/12/11-21:34:30,219
2022/12/11-21:34:45,219
2022/12/11-21:35:00,219
2022/12/11-21:35:15,NaN
