date,1-min,Nodes,CPUs,Procs
2022/12/11-19:13:00,2.578,8,65,3
2022/12/11-19:13:15,2.3913333333,8,65,3
2022/12/11-19:13:30,2.5446666667,8,65,4.7333333333
2022/12/11-19:13:45,2.644,8,65,16
2022/12/11-19:14:00,2.67,8,65,16
2022/12/11-19:14:15,2.67,8,65,16.133333333
2022/12/11-19:14:30,2.6673333333,8,65,17
2022/12/11-19:14:45,2.6593333333,8,65,15.8
2022/12/11-19:15:00,2.8286666667,8,65,8
2022/12/11-19:15:15,2.69,8,65,8
2022/12/11-19:15:30,2.69,8,65,7.8666666667
2022/12/11-19:15:45,2.69,8,65,7
2022/12/11-19:16:00,2.674,8,65,7.8
2022/12/11-19:16:15,2.662,8,65,11
2022/12/11-19:16:30,2.846,8,65,11
2022/12/11-19:16:45,2.664,8,65,11
2022/12/11-19:17:00,2.56,8,65,11
2022/12/11-19:17:15,2.56,8,65,10.733333333
2022/12/11-19:17:30,2.5546666667,8,65,10.533333333
2022/12/11-19:17:45,2.5906666667,8,65,12
2022/12/11-19:18:00,2.706,8,65,12
2022/12/11-19:18:15,2.62,8,65,12
2022/12/11-19:18:30,2.54,8,65,12
2022/12/11-19:18:45,2.54,8,65,12
2022/12/11-19:19:00,2.5586666667,8,65,12
2022/12/11-19:19:15,2.5806666667,8,65,12
2022/12/11-19:19:30,2.4893333333,8,65,12
2022/12/11-19:19:45,2.428,8,65,12
2022/12/11-19:20:00,2.34,8,65,11.2
2022/12/11-19:20:15,2.34,8,65,9
2022/12/11-19:20:30,2.3166666667,8,65,9
2022/12/11-19:20:45,2.3433333333,8,65,9
2022/12/11-19:21:00,2.4713333333,8,65,9.2666666667
2022/12/11-19:21:15,2.428,8,65,10.266666667
2022/12/11-19:21:30,2.45,8,65,12.066666667
2022/12/11-19:21:45,2.45,8,65,15
2022/12/11-19:22:00,2.424,8,65,15
2022/12/11-19:22:15,2.384,8,65,14.8
2022/12/11-19:22:30,2.638,8,65,14.2
2022/12/11-19:22:45,2.64,8,65,13
2022/12/11-19:23:00,2.68,8,65,5
2022/12/11-19:23:15,2.68,8,65,5
2022/12/11-19:23:30,2.6426666667,8,65,5
2022/12/11-19:23:45,2.564,8,65,4.8
2022/12/11-19:24:00,2.68,8,65,3.8
2022/12/11-19:24:15,2.796,8,65,3
2022/12/11-19:24:30,2.94,8,65,3
