date,1-min,Nodes,CPUs,Procs
2022/12/11-19:13:00,6.68,38,355,9.2666666667
2022/12/11-19:13:15,6.632,38,355,9
2022/12/11-19:13:30,6.4826666667,38,355,8.7333333333
2022/12/11-19:13:45,6.6293333333,38,355,10.6
2022/12/11-19:14:00,6.718,38,355,25.4
2022/12/11-19:14:15,6.74,38,355,27.733333333
2022/12/11-19:14:30,6.74,38,355,28.266666667
2022/12/11-19:14:45,6.7293333333,38,355,29
2022/12/11-19:15:00,6.7953333333,38,355,26.6
2022/12/11-19:15:15,6.9273333333,38,355,20.266666667
2022/12/11-19:15:30,6.81,38,355,15.4
2022/12/11-19:15:45,6.81,38,355,14.533333333
2022/12/11-19:16:00,6.81,38,355,14
2022/12/11-19:16:15,6.7886666667,38,355,15.066666667
2022/12/11-19:16:30,6.7273333333,38,355,18
2022/12/11-19:16:45,6.852,38,355,17.733333333
2022/12/11-19:17:00,6.6853333333,38,355,17.8
2022/12/11-19:17:15,6.59,38,355,18.733333333
2022/12/11-19:17:30,6.59,38,355,18.266666667
2022/12/11-19:17:45,6.592,38,355,18.533333333
2022/12/11-19:18:00,6.6306666667,38,355,19.2
2022/12/11-19:18:15,6.746,38,355,17.533333333
2022/12/11-19:18:30,6.6066666667,38,355,16.266666667
2022/12/11-19:18:45,6.58,38,355,16
2022/12/11-19:19:00,6.58,38,355,16
2022/12/11-19:19:15,6.69,38,355,16.733333333
2022/12/11-19:19:30,6.6786666667,38,355,17
2022/12/11-19:19:45,6.6306666667,38,355,17
2022/12/11-19:20:00,6.54,38,355,19
2022/12/11-19:20:15,6.5,38,355,18.533333333
2022/12/11-19:20:30,6.5,38,355,17.333333333
2022/12/11-19:20:45,6.434,38,355,17
2022/12/11-19:21:00,6.586,38,355,17
2022/12/11-19:21:15,6.5986666667,38,355,17.733333333
2022/12/11-19:21:30,6.602,38,355,16.533333333
2022/12/11-19:21:45,6.61,38,355,16.8
2022/12/11-19:22:00,6.61,38,355,20
2022/12/11-19:22:15,6.5146666667,38,355,20
2022/12/11-19:22:30,6.478,38,355,20.533333333
2022/12/11-19:22:45,6.7026666667,38,355,20.733333333
2022/12/11-19:23:00,6.7333333333,38,355,13.8
2022/12/11-19:23:15,6.75,38,355,11
2022/12/11-19:23:30,6.75,38,355,11
2022/12/11-19:23:45,6.6566666667,38,355,11.666666667
2022/12/11-19:24:00,6.75,38,355,10.666666667
2022/12/11-19:24:15,6.84,38,355,9.8
2022/12/11-19:24:30,6.956,38,355,8.8
2022/12/11-19:24:45,7.1,38,355,9.4666666667
2022/12/11-19:25:00,7.1,38,355,9.3333333333
2022/12/11-19:25:15,6.9533333333,38,355,9
2022/12/11-19:25:30,6.754,38,355,9.6
2022/12/11-19:25:45,6.6766666667,38,355,12.933333333
2022/12/11-19:26:00,6.6733333333,38,355,16
2022/12/11-19:26:15,6.63,38,355,16
2022/12/11-19:26:30,6.63,38,355,16
2022/12/11-19:26:45,6.6473333333,38,355,16.133333333
2022/12/11-19:27:00,6.784,38,355,16.466666667
2022/12/11-19:27:15,6.93,38,355,12.733333333
2022/12/11-19:27:30,6.766,38,355,9
2022/12/11-19:27:45,6.75,38,355,9
2022/12/11-19:28:00,6.75,38,355,9.6
2022/12/11-19:28:15,6.8,38,355,14.6
2022/12/11-19:28:30,6.8673333333,38,355,17
2022/12/11-19:28:45,6.958,38,355,17
2022/12/11-19:29:00,6.822,38,355,17.133333333
2022/12/11-19:29:15,6.71,38,355,18.466666667
2022/12/11-19:29:30,6.71,38,355,18.466666667
