Timestamp,In,Out
1670785980,2913489.864,3211904.88
1670785995,2832187.158,3204107.338
1670786010,2750029.8793,3032934.6593
1670786025,2559493.104,2573998.1587
1670786040,2705608.4933,2590075.5493
1670786055,2748178.818,2675103.8667
1670786070,2788340.8133,2885871.326
1670786085,2596271.0933,2881426.4147
1670786100,2665045.2367,2897946.8273
1670786115,2845525.5507,2898674.974
1670786130,2852291.9827,2901359.124
1670786145,3019456.108,2909672.9947
1670786160,3429249.9,2913847.7233
1670786175,3376384.8067,2820344.5953
1670786190,3045534.5133,2561867.808
1670786205,2527698.3753,2555627.484
1670786220,2593945.0453,2694788.992
1670786235,2787543.4733,3088787.7047
1670786250,2548500.6787,2655079.916
1670786265,2509324.3633,2502870.6413
1670786280,2635851.8653,2517124.2107
1670786295,2709626.7633,2653566.0807
1670786310,2712461.664,3004649.9353
1670786325,2639338.97,2995048.122
1670786340,2798706.5253,2887342.1473
1670786355,2856441.2647,2844553.6253
1670786370,2852858.762,2847045.4047
1670786385,2724954.8413,2850210.2693
1670786400,2678944.8667,2857281.4933
1670786415,2616092.3807,2735911.7547
1670786430,2662409.73,2686819.6367
1670786445,2698984.7067,2682241.662
1670786460,3284217.478,3444902.2893
1670786475,3497841.584,3718305.0967
1670786490,3107349.788,2997154.514
1670786505,2897801.118,2733635.146
1670786520,2628243.7,2729091.57
1670786535,2707036.4813,2861686.2553
1670786550,2737011.0753,2909168.0633
1670786565,2745838.2627,2907063.6873
1670786580,2715742.0613,2907031.2113
1670786595,2700356.9033,2901517.18
1670786610,2677967.1767,2840716.74
1670786625,3186968.4793,2817752.4927
1670786640,3447988.2,2829571.0333
1670786655,3429884.498,2794561.3313
1670786670,3181546.8347,2633525.7227
1670786685,2486588.2167,2616481.9513
1670786700,2802207.0553,2982365.1313
1670786715,2960567.2467,3161030.7
1670786730,2792908.824,2810870.458
1670786745,2593923.2813,2567407.866
1670786760,2551556.068,2570406.976
1670786775,2662656.5,2789584.74
1670786790,2719720.3773,2894833.3713
1670786805,2738477.2307,2890629.758
1670786820,2721770.4913,2871237.3093
1670786835,2697473.7193,2863234.436
1670786850,2741298.484,2947672.9947
1670786865,2868645.3853,3010757.2147
1670786880,2948662.574,3021195.3147
1670786895,2934710.854,2873693.238
1670786910,2803398.9873,4680617.1567
1670786925,2697470.0793,6346341.822
1670786940,3134009.9413,4602607.408
1670786955,3516107.876,3064735.7433
1670786970,3471672.4747,2843462.224
1670786985,3382556.1247,3258009.5907
1670787000,3329881.524,3755845.438
1670787015,3332574.2907,3800290.874
1670787030,3257227.0213,4311291.4633
1670787045,2814846.8267,7569202.8407
1670787060,3240402.008,7647726.5387
1670787075,3375651.576,3596314.784
1670787090,3287017.746,3414613.462
1670787105,2915076.256,2685016.732
1670787120,2847564.892,2679699.342
1670787135,2840298.696,2700836.846
1670787150,2903778.274,3992957.49
1670787165,3275898.39,8779330.742
1670787180,3281833.454,7761724.168
1670787195,2857890.18,3019383.434
1670787210,2846502.862,2990364.604
1670787225,2738020.32,2871630.8627
1670787240,2714457.2727,2870146.0153
1670787255,2633922.0167,2691065.1933
1670787270,2606422.7607,2598275.088
1670787285,2609697.1553,2593619.3947
1670787300,2706427.7767,2913585.6633
1670787315,2755631.088,3078141.502
1670787330,2619562.876,2774380.288
1670787345,2619754.2633,2576665.1927
1670787360,2680553.1273,2580271.5087
1670787375,2740751.7653,2709266.9133
1670787390,2617870.14,2783265.29
1670787405,2509643.0387,2777273.5127
1670787420,2778841.496,8848560.9867
1670787435,3012675.2607,14163110.962
1670787450,2996857.1087,14138315.385
1670787465,2852945.9727,8129698.2047
1670787480,2739955.112,2890711.418
1670787495,2652013.9247,2750436.8033
1670787510,2578434.5227,2625054.526
1670787525,2583586.32,2627347.3553
1670787540,2762642.144,2946881.7887
1670787555,2917653.6693,3224977.0933
1670787570,2734464.4133,2851618.9633
1670787585,2660694.5473,2546598.2573
1670787600,2758118.4033,2570310.3967
1670787615,2814812.4987,2731480.7827
1670787630,2812118.4967,5589909.342
1670787645,2710528.642,8648019.0987
1670787660,3062503.5607,6291995.0127
1670787675,3462293.976,3597939.7173
1670787690,3306164.6033,3288629.45
1670787705,2931071.558,2932444.7407
1670787720,2759104.394,2925136.8187
