date,value
2022/12/11-19:13:00,8121.938
2022/12/11-19:13:15,8121.938
2022/12/11-19:13:30,8121.938
2022/12/11-19:13:45,8121.938
2022/12/11-19:14:00,8121.938
2022/12/11-19:14:15,8121.938
2022/12/11-19:14:30,8121.938
2022/12/11-19:14:45,8121.938
2022/12/11-19:15:00,8121.938
2022/12/11-19:15:15,8121.938
2022/12/11-19:15:30,8121.938
2022/12/11-19:15:45,8121.9394
2022/12/11-19:16:00,8121.945
2022/12/11-19:16:15,8121.945
2022/12/11-19:16:30,8121.945
2022/12/11-19:16:45,8121.945
2022/12/11-19:17:00,8121.945
2022/12/11-19:17:15,8121.945
2022/12/11-19:17:30,8121.945
2022/12/11-19:17:45,8121.945
2022/12/11-19:18:00,8121.945
2022/12/11-19:18:15,8121.945
2022/12/11-19:18:30,8121.945
2022/12/11-19:18:45,8121.9428667
2022/12/11-19:19:00,8121.937
2022/12/11-19:19:15,8121.937
2022/12/11-19:19:30,8121.937
2022/12/11-19:19:45,8121.937
2022/12/11-19:20:00,8121.937
2022/12/11-19:20:15,8121.937
2022/12/11-19:20:30,8121.937
2022/12/11-19:20:45,8121.937
2022/12/11-19:21:00,8121.937
2022/12/11-19:21:15,8121.937
2022/12/11-19:21:30,8121.937
2022/12/11-19:21:45,8121.9374
2022/12/11-19:22:00,8121.939
2022/12/11-19:22:15,8121.939
2022/12/11-19:22:30,8121.939
2022/12/11-19:22:45,8121.939
2022/12/11-19:23:00,8121.939
2022/12/11-19:23:15,8121.939
2022/12/11-19:23:30,8121.939
2022/12/11-19:23:45,8121.939
2022/12/11-19:24:00,8121.939
2022/12/11-19:24:15,8121.939
2022/12/11-19:24:30,8121.939
2022/12/11-19:24:45,8121.9386
2022/12/11-19:25:00,8121.937
2022/12/11-19:25:15,8121.937
2022/12/11-19:25:30,8121.937
2022/12/11-19:25:45,8121.937
2022/12/11-19:26:00,8121.937
2022/12/11-19:26:15,8121.937
2022/12/11-19:26:30,8121.937
2022/12/11-19:26:45,8121.937
2022/12/11-19:27:00,8121.937
2022/12/11-19:27:15,8121.937
2022/12/11-19:27:30,8121.937
2022/12/11-19:27:45,8121.9371333
2022/12/11-19:28:00,8121.938
2022/12/11-19:28:15,8121.938
2022/12/11-19:28:30,8121.938
2022/12/11-19:28:45,8121.938
2022/12/11-19:29:00,8121.938
2022/12/11-19:29:15,8121.938
2022/12/11-19:29:30,8121.938
2022/12/11-19:29:45,8121.938
2022/12/11-19:30:00,8121.938
2022/12/11-19:30:15,8121.938
2022/12/11-19:30:30,8121.938
2022/12/11-19:30:45,8121.9380667
2022/12/11-19:31:00,8121.939
2022/12/11-19:31:15,8121.939
2022/12/11-19:31:30,8121.939
2022/12/11-19:31:45,8121.939
2022/12/11-19:32:00,8121.939
2022/12/11-19:32:15,8121.939
2022/12/11-19:32:30,8121.939
2022/12/11-19:32:45,8121.939
2022/12/11-19:33:00,8121.939
2022/12/11-19:33:15,8121.939
2022/12/11-19:33:30,8121.939
2022/12/11-19:33:45,8121.9386
2022/12/11-19:34:00,8121.937
2022/12/11-19:34:15,8121.937
2022/12/11-19:34:30,8121.937
2022/12/11-19:34:45,8121.937
2022/12/11-19:35:00,8121.937
2022/12/11-19:35:15,8121.937
2022/12/11-19:35:30,8121.937
2022/12/11-19:35:45,8121.937
2022/12/11-19:36:00,8121.937
2022/12/11-19:36:15,8121.937
2022/12/11-19:36:30,8121.937
2022/12/11-19:36:45,8121.937
2022/12/11-19:37:00,8121.937
2022/12/11-19:37:15,8121.937
2022/12/11-19:37:30,8121.937
2022/12/11-19:37:45,8121.937
2022/12/11-19:38:00,8121.937
2022/12/11-19:38:15,8121.937
2022/12/11-19:38:30,8121.937
2022/12/11-19:38:45,8121.937
2022/12/11-19:39:00,8121.937
2022/12/11-19:39:15,8121.937
2022/12/11-19:39:30,8121.937
2022/12/11-19:39:45,8121.937
2022/12/11-19:40:00,8121.937
2022/12/11-19:40:15,8121.937
2022/12/11-19:40:30,8121.937
2022/12/11-19:40:45,8121.937
2022/12/11-19:41:00,8121.937
2022/12/11-19:41:15,8121.937
2022/12/11-19:41:30,8121.937
2022/12/11-19:41:45,8121.937
2022/12/11-19:42:00,8121.937
2022/12/11-19:42:15,8121.937
2022/12/11-19:42:30,8121.937
2022/12/11-19:42:45,8121.9372
2022/12/11-19:43:00,8121.94
2022/12/11-19:43:15,8121.94
2022/12/11-19:43:30,8121.94
2022/12/11-19:43:45,8121.94
2022/12/11-19:44:00,8121.94
2022/12/11-19:44:15,8121.94
2022/12/11-19:44:30,8121.94
2022/12/11-19:44:45,8121.94
2022/12/11-19:45:00,8121.94
2022/12/11-19:45:15,8121.94
2022/12/11-19:45:30,8121.94
2022/12/11-19:45:45,8121.94
2022/12/11-19:46:00,8121.937
2022/12/11-19:46:15,8121.937
2022/12/11-19:46:30,8121.937
2022/12/11-19:46:45,8121.937
2022/12/11-19:47:00,8121.937
2022/12/11-19:47:15,8121.937
2022/12/11-19:47:30,8121.937
2022/12/11-19:47:45,8121.937
2022/12/11-19:48:00,8121.937
2022/12/11-19:48:15,8121.937
2022/12/11-19:48:30,8121.937
2022/12/11-19:48:45,8121.937
2022/12/11-19:49:00,8121.937
2022/12/11-19:49:15,8121.937
2022/12/11-19:49:30,8121.937
2022/12/11-19:49:45,8121.937
2022/12/11-19:50:00,8121.937
2022/12/11-19:50:15,8121.937
2022/12/11-19:50:30,8121.937
2022/12/11-19:50:45,8121.937
2022/12/11-19:51:00,8121.937
2022/12/11-19:51:15,8121.937
2022/12/11-19:51:30,8121.937
2022/12/11-19:51:45,8121.937
2022/12/11-19:52:00,8121.937
2022/12/11-19:52:15,8121.937
2022/12/11-19:52:30,8121.937
2022/12/11-19:52:45,8121.937
2022/12/11-19:53:00,8121.937
2022/12/11-19:53:15,8121.937
2022/12/11-19:53:30,8121.937
2022/12/11-19:53:45,8121.937
2022/12/11-19:54:00,8121.937
2022/12/11-19:54:15,8121.937
2022/12/11-19:54:30,8121.937
2022/12/11-19:54:45,8121.937
2022/12/11-19:55:00,8121.937
2022/12/11-19:55:15,8121.937
2022/12/11-19:55:30,8121.937
2022/12/11-19:55:45,8121.937
2022/12/11-19:56:00,8121.937
2022/12/11-19:56:15,8121.937
2022/12/11-19:56:30,8121.937
