date,value
2022/12/11-19:13:00,223968
2022/12/11-19:13:15,223968
2022/12/11-19:13:30,223968
2022/12/11-19:13:45,223968
2022/12/11-19:14:00,223968
2022/12/11-19:14:15,223554.66667
2022/12/11-19:14:30,220868
2022/12/11-19:14:45,220868
2022/12/11-19:15:00,220868
2022/12/11-19:15:15,220868
2022/12/11-19:15:30,217682.4
2022/12/11-19:15:45,196976
2022/12/11-19:16:00,196976
2022/12/11-19:16:15,196679.2
2022/12/11-19:16:30,195492
2022/12/11-19:16:45,197756
2022/12/11-19:17:00,206812
2022/12/11-19:17:15,206812
2022/12/11-19:17:30,209795.46667
2022/12/11-19:17:45,218000
2022/12/11-19:18:00,218000
2022/12/11-19:18:15,218126.4
2022/12/11-19:18:30,218632
2022/12/11-19:18:45,218650.13333
2022/12/11-19:19:00,218700
2022/12/11-19:19:15,218700
2022/12/11-19:19:30,218870.66667
2022/12/11-19:19:45,219340
2022/12/11-19:20:00,219340
2022/12/11-19:20:15,218922.66667
2022/12/11-19:20:30,218088
2022/12/11-19:20:45,218129.33333
2022/12/11-19:21:00,218212
2022/12/11-19:21:15,218212
2022/12/11-19:21:30,217973.06667
2022/12/11-19:21:45,217316
2022/12/11-19:22:00,217316
2022/12/11-19:22:15,217217.6
2022/12/11-19:22:30,216824
2022/12/11-19:22:45,216724.8
2022/12/11-19:23:00,216328
2022/12/11-19:23:15,216328
2022/12/11-19:23:30,216336.53333
2022/12/11-19:23:45,216360
2022/12/11-19:24:00,216360
2022/12/11-19:24:15,215892.8
2022/12/11-19:24:30,214024
2022/12/11-19:24:45,213949.6
2022/12/11-19:25:00,213652
2022/12/11-19:25:15,213652
2022/12/11-19:25:30,213461.06667
2022/12/11-19:25:45,212220
2022/12/11-19:26:00,212220
2022/12/11-19:26:15,211893.6
2022/12/11-19:26:30,209772
2022/12/11-19:26:45,208269.6
2022/12/11-19:27:00,198504
2022/12/11-19:27:15,198504
2022/12/11-19:27:30,200555.2
2022/12/11-19:27:45,229272
2022/12/11-19:28:00,229272
2022/12/11-19:28:15,225437.6
2022/12/11-19:28:30,210100
2022/12/11-19:28:45,207024.8
2022/12/11-19:29:00,187036
2022/12/11-19:29:15,187036
2022/12/11-19:29:30,189933.06667
2022/12/11-19:29:45,208764
2022/12/11-19:30:00,208764
2022/12/11-19:30:15,207341.33333
2022/12/11-19:30:30,187424
2022/12/11-19:30:45,187511.46667
2022/12/11-19:31:00,188736
2022/12/11-19:31:15,188736
2022/12/11-19:31:30,188592.8
2022/12/11-19:31:45,186588
2022/12/11-19:32:00,186588
2022/12/11-19:32:15,188813.06667
