date,value
2022/12/11-19:13:00,63040
2022/12/11-19:13:15,63047.466667
2022/12/11-19:13:30,63096
2022/12/11-19:13:45,63096
2022/12/11-19:14:00,63096
2022/12/11-19:14:15,63096
2022/12/11-19:14:30,63092.266667
2022/12/11-19:14:45,63040
2022/12/11-19:15:00,63040
2022/12/11-19:15:15,63040
2022/12/11-19:15:30,63040
2022/12/11-19:15:45,63040
2022/12/11-19:16:00,63015.2
2022/12/11-19:16:15,62916
2022/12/11-19:16:30,62916
2022/12/11-19:16:45,62916
2022/12/11-19:17:00,62916
2022/12/11-19:17:15,62790.133333
2022/12/11-19:17:30,62444
2022/12/11-19:17:45,62444
2022/12/11-19:18:00,62437.6
2022/12/11-19:18:15,62420
2022/12/11-19:18:30,62420
2022/12/11-19:18:45,62424.266667
2022/12/11-19:19:00,62436
2022/12/11-19:19:15,62431.733333
2022/12/11-19:19:30,62420
2022/12/11-19:19:45,62420
2022/12/11-19:20:00,62327.2
2022/12/11-19:20:15,62072
2022/12/11-19:20:30,62072
2022/12/11-19:20:45,62022.666667
2022/12/11-19:21:00,61924
2022/12/11-19:21:15,61928.266667
2022/12/11-19:21:30,61940
2022/12/11-19:21:45,61940
2022/12/11-19:22:00,61924.8
2022/12/11-19:22:15,61864
2022/12/11-19:22:30,61864
2022/12/11-19:22:45,61851.2
2022/12/11-19:23:00,61800
2022/12/11-19:23:15,61811.2
2022/12/11-19:23:30,61856
2022/12/11-19:23:45,61856
2022/12/11-19:24:00,61844.8
2022/12/11-19:24:15,61800
2022/12/11-19:24:30,61800
2022/12/11-19:24:45,61800
2022/12/11-19:25:00,61800
2022/12/11-19:25:15,61804.8
2022/12/11-19:25:30,61824
2022/12/11-19:25:45,61824
2022/12/11-19:26:00,61820.8
2022/12/11-19:26:15,61800
2022/12/11-19:26:30,61800
2022/12/11-19:26:45,61800
2022/12/11-19:27:00,61800
2022/12/11-19:27:15,61800
2022/12/11-19:27:30,61800
2022/12/11-19:27:45,61800
2022/12/11-19:28:00,63352.533333
2022/12/11-19:28:15,73444
2022/12/11-19:28:30,73444
2022/12/11-19:28:45,73425.333333
2022/12/11-19:29:00,73304
2022/12/11-19:29:15,73309.333333
2022/12/11-19:29:30,73344
2022/12/11-19:29:45,73344
2022/12/11-19:30:00,73344
2022/12/11-19:30:15,73344
2022/12/11-19:30:30,73322.133333
2022/12/11-19:30:45,73016
2022/12/11-19:31:00,73016
2022/12/11-19:31:15,73016
2022/12/11-19:31:30,73056
2022/12/11-19:31:45,73056
2022/12/11-19:32:00,73025.066667
2022/12/11-19:32:15,72824
2022/12/11-19:32:30,72824
2022/12/11-19:32:45,72824
2022/12/11-19:33:00,72824
2022/12/11-19:33:15,72824
2022/12/11-19:33:30,72824
2022/12/11-19:33:45,72824
2022/12/11-19:34:00,72824
2022/12/11-19:34:15,72824
2022/12/11-19:34:30,72824
2022/12/11-19:34:45,74725.6
2022/12/11-19:35:00,82332
2022/12/11-19:35:15,82338.4
2022/12/11-19:35:30,82364
2022/12/11-19:35:45,82364
2022/12/11-19:36:00,82364
2022/12/11-19:36:15,82364
2022/12/11-19:36:30,82364
2022/12/11-19:36:45,82302.4
2022/12/11-19:37:00,82056
2022/12/11-19:37:15,82046.4
2022/12/11-19:37:30,82008
2022/12/11-19:37:45,82008
2022/12/11-19:38:00,82001.6
2022/12/11-19:38:15,81984
2022/12/11-19:38:30,81984
2022/12/11-19:38:45,81994.666667
2022/12/11-19:39:00,82024
2022/12/11-19:39:15,82024
2022/12/11-19:39:30,82024
2022/12/11-19:39:45,82024
2022/12/11-19:40:00,81811.2
2022/12/11-19:40:15,81492
2022/12/11-19:40:30,81492
2022/12/11-19:40:45,81515.466667
2022/12/11-19:41:00,81580
2022/12/11-19:41:15,81529.866667
2022/12/11-19:41:30,81392
2022/12/11-19:41:45,81392
2022/12/11-19:42:00,81345.6
2022/12/11-19:42:15,81160
2022/12/11-19:42:30,81154.666667
2022/12/11-19:42:45,81120
2022/12/11-19:43:00,81120
2022/12/11-19:43:15,81120
2022/12/11-19:43:30,81120
2022/12/11-19:43:45,81120
2022/12/11-19:44:00,81120
2022/12/11-19:44:15,81120
2022/12/11-19:44:30,81111.733333
2022/12/11-19:44:45,80996
2022/12/11-19:45:00,80996
2022/12/11-19:45:15,80996
2022/12/11-19:45:30,80996
2022/12/11-19:45:45,80996
2022/12/11-19:46:00,80996
2022/12/11-19:46:15,80772
2022/12/11-19:46:30,80772
2022/12/11-19:46:45,80748
2022/12/11-19:47:00,80748
2022/12/11-19:47:15,80748
2022/12/11-19:47:30,80572
2022/12/11-19:47:45,80572
2022/12/11-19:48:00,80569.866667
2022/12/11-19:48:15,80540
2022/12/11-19:48:30,80536.8
2022/12/11-19:48:45,80516
2022/12/11-19:49:00,80516
2022/12/11-19:49:15,80524
2022/12/11-19:49:30,80556
2022/12/11-19:49:45,80556
2022/12/11-19:50:00,80501.066667
2022/12/11-19:50:15,80144
2022/12/11-19:50:30,80169.066667
2022/12/11-19:50:45,80332
2022/12/11-19:51:00,80332
2022/12/11-19:51:15,80322.133333
2022/12/11-19:51:30,80184
2022/12/11-19:51:45,80184
2022/12/11-19:52:00,80169.6
2022/12/11-19:52:15,79968
2022/12/11-19:52:30,79962.133333
2022/12/11-19:52:45,79880
2022/12/11-19:53:00,79880
2022/12/11-19:53:15,79863.466667
2022/12/11-19:53:30,79756
2022/12/11-19:53:45,79756
2022/12/11-19:54:00,79744.8
2022/12/11-19:54:15,79672
2022/12/11-19:54:30,79665.333333
2022/12/11-19:54:45,79572
2022/12/11-19:55:00,79572
2022/12/11-19:55:15,79561.6
2022/12/11-19:55:30,79416
2022/12/11-19:55:45,79416
2022/12/11-19:56:00,79415.466667
2022/12/11-19:56:15,79408
2022/12/11-19:56:30,79408
2022/12/11-19:56:45,79408
2022/12/11-19:57:00,79408
2022/12/11-19:57:15,79408
2022/12/11-19:57:30,79408
2022/12/11-19:57:45,79408
2022/12/11-19:58:00,79272.533333
2022/12/11-19:58:15,78392
2022/12/11-19:58:30,78394.666667
2022/12/11-19:58:45,78432
2022/12/11-19:59:00,78432
2022/12/11-19:59:15,78432
2022/12/11-19:59:30,78268
2022/12/11-19:59:45,78268
2022/12/11-20:00:00,78268
2022/12/11-20:00:15,78268
2022/12/11-20:00:30,78268
2022/12/11-20:00:45,78268
2022/12/11-20:01:00,78268
2022/12/11-20:01:15,78268
2022/12/11-20:01:30,78036.533333
2022/12/11-20:01:45,78020
2022/12/11-20:02:00,78020
2022/12/11-20:02:15,77947.2
2022/12/11-20:02:30,77936
2022/12/11-20:02:45,77936
2022/12/11-20:03:00,77936
2022/12/11-20:03:15,77936
2022/12/11-20:03:30,77439.466667
2022/12/11-20:03:45,77404
2022/12/11-20:04:00,77404
2022/12/11-20:04:15,77441.333333
2022/12/11-20:04:30,77444
2022/12/11-20:04:45,77406.666667
2022/12/11-20:05:00,77404
2022/12/11-20:05:15,77404
2022/12/11-20:05:30,77325.6
2022/12/11-20:05:45,77320
2022/12/11-20:06:00,77320
2022/12/11-20:06:15,77320
2022/12/11-20:06:30,77320
2022/12/11-20:06:45,77051.2
2022/12/11-20:07:00,77032
2022/12/11-20:07:15,77032
2022/12/11-20:07:30,76932
2022/12/11-20:07:45,76932
2022/12/11-20:08:00,76932
2022/12/11-20:08:15,76909.6
2022/12/11-20:08:30,76908
2022/12/11-20:08:45,76945.333333
2022/12/11-20:09:00,76948
2022/12/11-20:09:15,76948
2022/12/11-20:09:30,76948
2022/12/11-20:09:45,76948
2022/12/11-20:10:00,76948
2022/12/11-20:10:15,76622.133333
2022/12/11-20:10:30,76572
2022/12/11-20:10:45,76565.6
2022/12/11-20:11:00,76564
2022/12/11-20:11:15,76564
2022/12/11-20:11:30,76544.8
2022/12/11-20:11:45,76540
2022/12/11-20:12:00,76399.2
2022/12/11-20:12:15,76364
2022/12/11-20:12:30,76364
2022/12/11-20:12:45,76325.6
