date,value
2022/12/11-19:13:00,1.1
2022/12/11-19:13:15,1.1
2022/12/11-19:13:30,1.1
2022/12/11-19:13:45,1.1
2022/12/11-19:14:00,1.06
2022/12/11-19:14:15,0.8
2022/12/11-19:14:30,0.8
2022/12/11-19:14:45,0.8
2022/12/11-19:15:00,0.96
2022/12/11-19:15:15,2
2022/12/11-19:15:30,1.8266666667
2022/12/11-19:15:45,0.7
2022/12/11-19:16:00,0.7
2022/12/11-19:16:15,0.7
2022/12/11-19:16:30,0.7
2022/12/11-19:16:45,0.7
2022/12/11-19:17:00,0.7
2022/12/11-19:17:15,0.7
2022/12/11-19:17:30,1.0733333333
2022/12/11-19:17:45,2.1
2022/12/11-19:18:00,2.1
2022/12/11-19:18:15,2.1
2022/12/11-19:18:30,2.1
2022/12/11-19:18:45,2.1
2022/12/11-19:19:00,1.78
2022/12/11-19:19:15,0.9
2022/12/11-19:19:30,0.9
2022/12/11-19:19:45,0.9
2022/12/11-19:20:00,0.9
2022/12/11-19:20:15,0.9
2022/12/11-19:20:30,1
2022/12/11-19:20:45,1.2
2022/12/11-19:21:00,1.2
2022/12/11-19:21:15,1.2
2022/12/11-19:21:30,1.2
2022/12/11-19:21:45,1.2
2022/12/11-19:22:00,1.16
2022/12/11-19:22:15,1
2022/12/11-19:22:30,0.92
2022/12/11-19:22:45,0.6
2022/12/11-19:23:00,0.6
2022/12/11-19:23:15,0.6
2022/12/11-19:23:30,0.6
2022/12/11-19:23:45,0.6
2022/12/11-19:24:00,0.84
2022/12/11-19:24:15,1.8
2022/12/11-19:24:30,1.8
2022/12/11-19:24:45,1.8
2022/12/11-19:25:00,1.8
2022/12/11-19:25:15,1.8
2022/12/11-19:25:30,1.6666666667
2022/12/11-19:25:45,0.8
2022/12/11-19:26:00,0.94666666667
2022/12/11-19:26:15,1.9
2022/12/11-19:26:30,1.9
2022/12/11-19:26:45,1.9
2022/12/11-19:27:00,1.9
2022/12/11-19:27:15,1.9
2022/12/11-19:27:30,1.86
2022/12/11-19:27:45,1.3
2022/12/11-19:28:00,1.3
2022/12/11-19:28:15,1.3
2022/12/11-19:28:30,1.4333333333
2022/12/11-19:28:45,2.1266666667
2022/12/11-19:29:00,1
2022/12/11-19:29:15,1
2022/12/11-19:29:30,1
2022/12/11-19:29:45,1
2022/12/11-19:30:00,1
2022/12/11-19:30:15,1.02
2022/12/11-19:30:30,1.3
2022/12/11-19:30:45,1.3
2022/12/11-19:31:00,1.3
2022/12/11-19:31:15,1.3
2022/12/11-19:31:30,1.3
2022/12/11-19:31:45,1.2733333333
2022/12/11-19:32:00,0.9
2022/12/11-19:32:15,0.9
2022/12/11-19:32:30,0.9
2022/12/11-19:32:45,0.9
2022/12/11-19:33:00,0.9
2022/12/11-19:33:15,0.96
2022/12/11-19:33:30,1.2
2022/12/11-19:33:45,1.2
2022/12/11-19:34:00,1.2
2022/12/11-19:34:15,1.2
2022/12/11-19:34:30,1.2
2022/12/11-19:34:45,1.26
2022/12/11-19:35:00,1.5
2022/12/11-19:35:15,1.5
2022/12/11-19:35:30,1.5
2022/12/11-19:35:45,1.2333333333
2022/12/11-19:36:00,0.5
2022/12/11-19:36:15,0.5
2022/12/11-19:36:30,0.5
2022/12/11-19:36:45,0.5
