date,value
2022/12/11-19:13:00,14935396
2022/12/11-19:13:15,14935396
2022/12/11-19:13:30,14935396
2022/12/11-19:13:45,14935396
2022/12/11-19:14:00,14935550.667
2022/12/11-19:14:15,14936556
2022/12/11-19:14:30,14936556
2022/12/11-19:14:45,14936556
2022/12/11-19:15:00,14936556
2022/12/11-19:15:15,14936247.2
2022/12/11-19:15:30,14935012
2022/12/11-19:15:45,14935012
2022/12/11-19:16:00,14935012
2022/12/11-19:16:15,14935012
2022/12/11-19:16:30,14935012
2022/12/11-19:16:45,14935528
2022/12/11-19:17:00,14937592
2022/12/11-19:17:15,14937592
2022/12/11-19:17:30,14937592
2022/12/11-19:17:45,14937592
2022/12/11-19:18:00,14936832.533
2022/12/11-19:18:15,14934744
2022/12/11-19:18:30,14934744
2022/12/11-19:18:45,14934744
2022/12/11-19:19:00,14934744
2022/12/11-19:19:15,14935386.133
2022/12/11-19:19:30,14937152
2022/12/11-19:19:45,14937152
2022/12/11-19:20:00,14936373.333
2022/12/11-19:20:15,14934232
2022/12/11-19:20:30,14934232
2022/12/11-19:20:45,14934606.667
2022/12/11-19:21:00,14935356
2022/12/11-19:21:15,14935356
2022/12/11-19:21:30,14935356
2022/12/11-19:21:45,14935356
2022/12/11-19:22:00,14935048
2022/12/11-19:22:15,14933816
2022/12/11-19:22:30,14933816
2022/12/11-19:22:45,14934526.4
2022/12/11-19:23:00,14937368
2022/12/11-19:23:15,14936860
2022/12/11-19:23:30,14934828
2022/12/11-19:23:45,14934828
2022/12/11-19:24:00,14934584
2022/12/11-19:24:15,14933608
2022/12/11-19:24:30,14933608
2022/12/11-19:24:45,14933837.6
2022/12/11-19:25:00,14934756
2022/12/11-19:25:15,14935152.8
2022/12/11-19:25:30,14936740
2022/12/11-19:25:45,14936740
2022/12/11-19:26:00,14936740
2022/12/11-19:26:15,14936740
2022/12/11-19:26:30,14936740
2022/12/11-19:26:45,14936740
2022/12/11-19:27:00,14936740
2022/12/11-19:27:15,14936613.067
2022/12/11-19:27:30,14934836
2022/12/11-19:27:45,14934836
2022/12/11-19:28:00,14934836
2022/12/11-19:28:15,14934836
2022/12/11-19:28:30,14934836
2022/12/11-19:28:45,14935167.733
2022/12/11-19:29:00,14937324
2022/12/11-19:29:15,14937324
2022/12/11-19:29:30,14937324
2022/12/11-19:29:45,14937324
2022/12/11-19:30:00,14936528.267
2022/12/11-19:30:15,14931356
2022/12/11-19:30:30,14931438.667
2022/12/11-19:30:45,14932596
2022/12/11-19:31:00,14932596
2022/12/11-19:31:15,14932596
2022/12/11-19:31:30,14936288
2022/12/11-19:31:45,14936288
2022/12/11-19:32:00,14936288
2022/12/11-19:32:15,14936288
2022/12/11-19:32:30,14936288
2022/12/11-19:32:45,14936288
2022/12/11-19:33:00,14936288
2022/12/11-19:33:15,14935333.6
2022/12/11-19:33:30,14931516
2022/12/11-19:33:45,14931516
2022/12/11-19:34:00,14931949.6
2022/12/11-19:34:15,14933684
2022/12/11-19:34:30,14933684
2022/12/11-19:34:45,14934205.6
2022/12/11-19:35:00,14936292
2022/12/11-19:35:15,14936292
2022/12/11-19:35:30,14936292
2022/12/11-19:35:45,14936292
2022/12/11-19:36:00,14935357.6
2022/12/11-19:36:15,14932788
2022/12/11-19:36:30,14932788
2022/12/11-19:36:45,14933169.6
2022/12/11-19:37:00,14934696
2022/12/11-19:37:15,14934939.2
2022/12/11-19:37:30,14935912
2022/12/11-19:37:45,14935912
2022/12/11-19:38:00,14935912
2022/12/11-19:38:15,14935912
2022/12/11-19:38:30,14935912
2022/12/11-19:38:45,14935912
2022/12/11-19:39:00,14935912
2022/12/11-19:39:15,14935446.667
2022/12/11-19:39:30,14934516
2022/12/11-19:39:45,14934516
2022/12/11-19:40:00,14933172
2022/12/11-19:40:15,14931156
2022/12/11-19:40:30,14931156
2022/12/11-19:40:45,14932006.133
2022/12/11-19:41:00,14934344
2022/12/11-19:41:15,14935068.267
2022/12/11-19:41:30,14937060
2022/12/11-19:41:45,14937060
2022/12/11-19:42:00,14936329.6
2022/12/11-19:42:15,14933408
2022/12/11-19:42:30,14933408
2022/12/11-19:42:45,14933408
2022/12/11-19:43:00,14933408
2022/12/11-19:43:15,14933408
2022/12/11-19:43:30,14933408
2022/12/11-19:43:45,14933408
2022/12/11-19:44:00,14933632.267
2022/12/11-19:44:15,14936772
2022/12/11-19:44:30,14936772
2022/12/11-19:44:45,14936772
2022/12/11-19:45:00,14936772
2022/12/11-19:45:15,14936636.8
2022/12/11-19:45:30,14934744
2022/12/11-19:45:45,14934744
2022/12/11-19:46:00,14934744
2022/12/11-19:46:15,14934744
2022/12/11-19:46:30,14934744
2022/12/11-19:46:45,14936936
2022/12/11-19:47:00,14936936
2022/12/11-19:47:15,14936936
2022/12/11-19:47:30,14936936
2022/12/11-19:47:45,14936936
2022/12/11-19:48:00,14936716
2022/12/11-19:48:15,14933636
2022/12/11-19:48:30,14933813.6
2022/12/11-19:48:45,14934968
2022/12/11-19:49:00,14934968
2022/12/11-19:49:15,14935309.6
2022/12/11-19:49:30,14936676
2022/12/11-19:49:45,14936676
2022/12/11-19:50:00,14936143.2
2022/12/11-19:50:15,14932680
2022/12/11-19:50:30,14932928.533
2022/12/11-19:50:45,14934544
2022/12/11-19:51:00,14934544
2022/12/11-19:51:15,14934544
2022/12/11-19:51:30,14934544
2022/12/11-19:51:45,14934544
2022/12/11-19:52:00,14934480
2022/12/11-19:52:15,14933584
2022/12/11-19:52:30,14933816.8
2022/12/11-19:52:45,14937076
2022/12/11-19:53:00,14937076
2022/12/11-19:53:15,14936722.933
2022/12/11-19:53:30,14934428
2022/12/11-19:53:45,14934428
2022/12/11-19:54:00,14934284.533
2022/12/11-19:54:15,14933352
2022/12/11-19:54:30,14933479.2
2022/12/11-19:54:45,14935260
2022/12/11-19:55:00,14935260
2022/12/11-19:55:15,14935422.133
2022/12/11-19:55:30,14937692
2022/12/11-19:55:45,14937692
2022/12/11-19:56:00,14937692
2022/12/11-19:56:15,14937692
2022/12/11-19:56:30,14937692
2022/12/11-19:56:45,14937692
2022/12/11-19:57:00,14937692
2022/12/11-19:57:15,14937493.067
2022/12/11-19:57:30,14934708
2022/12/11-19:57:45,14934708
2022/12/11-19:58:00,14934708
2022/12/11-19:58:15,14934708
2022/12/11-19:58:30,14934871.467
2022/12/11-19:58:45,14937160
2022/12/11-19:59:00,14937160
2022/12/11-19:59:15,14937160
2022/12/11-19:59:30,14937160
2022/12/11-19:59:45,14937160
2022/12/11-20:00:00,14937160
2022/12/11-20:00:15,14931044
2022/12/11-20:00:30,14931044
2022/12/11-20:00:45,14933140
2022/12/11-20:01:00,14933140
2022/12/11-20:01:15,14933140
2022/12/11-20:01:30,14933140
2022/12/11-20:01:45,14933140
2022/12/11-20:02:00,14933140
2022/12/11-20:02:15,14933140
2022/12/11-20:02:30,14933140
2022/12/11-20:02:45,14935882.4
2022/12/11-20:03:00,14936568
2022/12/11-20:03:15,14936568
2022/12/11-20:03:30,14932715.2
2022/12/11-20:03:45,14932440
2022/12/11-20:04:00,14932440
2022/12/11-20:04:15,14933433.067
2022/12/11-20:04:30,14933504
2022/12/11-20:04:45,14936763.2
2022/12/11-20:05:00,14936996
2022/12/11-20:05:15,14936996
2022/12/11-20:05:30,14936996
2022/12/11-20:05:45,14936996
2022/12/11-20:06:00,14936996
2022/12/11-20:06:15,14934087.733
2022/12/11-20:06:30,14933880
2022/12/11-20:06:45,14935123.2
2022/12/11-20:07:00,14935212
2022/12/11-20:07:15,14935212
2022/12/11-20:07:30,14936744
2022/12/11-20:07:45,14936744
2022/12/11-20:08:00,14936744
2022/12/11-20:08:15,14936744
2022/12/11-20:08:30,14936744
2022/12/11-20:08:45,14936744
2022/12/11-20:09:00,14936744
2022/12/11-20:09:15,14936744
2022/12/11-20:09:30,14935291.733
2022/12/11-20:09:45,14935188
2022/12/11-20:10:00,14935188
2022/12/11-20:10:15,14932040.267
2022/12/11-20:10:30,14931556
2022/12/11-20:10:45,14934096.8
2022/12/11-20:11:00,14934732
2022/12/11-20:11:15,14934732
2022/12/11-20:11:30,14936818.4
2022/12/11-20:11:45,14937340
2022/12/11-20:12:00,14933736.8
2022/12/11-20:12:15,14932836
2022/12/11-20:12:30,14932836
2022/12/11-20:12:45,14934308
