date,value
2022/12/11-19:13:00,568
2022/12/11-19:13:15,568
2022/12/11-19:13:30,567.6
2022/12/11-19:13:45,565
2022/12/11-19:14:00,565
2022/12/11-19:14:15,565
2022/12/11-19:14:30,565
2022/12/11-19:14:45,565
2022/12/11-19:15:00,565
2022/12/11-19:15:15,565
2022/12/11-19:15:30,565
2022/12/11-19:15:45,565
2022/12/11-19:16:00,565
2022/12/11-19:16:15,565
2022/12/11-19:16:30,565
2022/12/11-19:16:45,565
2022/12/11-19:17:00,565
2022/12/11-19:17:15,565
2022/12/11-19:17:30,565.26666667
2022/12/11-19:17:45,566
2022/12/11-19:18:00,566
2022/12/11-19:18:15,566
2022/12/11-19:18:30,566
2022/12/11-19:18:45,566.26666667
2022/12/11-19:19:00,567
2022/12/11-19:19:15,567
2022/12/11-19:19:30,567
2022/12/11-19:19:45,567
2022/12/11-19:20:00,567.26666667
2022/12/11-19:20:15,568
2022/12/11-19:20:30,568
2022/12/11-19:20:45,568
2022/12/11-19:21:00,568
2022/12/11-19:21:15,568
2022/12/11-19:21:30,567.73333333
2022/12/11-19:21:45,567
2022/12/11-19:22:00,567
2022/12/11-19:22:15,567
2022/12/11-19:22:30,567
2022/12/11-19:22:45,566.6
2022/12/11-19:23:00,565
2022/12/11-19:23:15,565
2022/12/11-19:23:30,565
2022/12/11-19:23:45,565
2022/12/11-19:24:00,565.4
2022/12/11-19:24:15,567
2022/12/11-19:24:30,567
2022/12/11-19:24:45,567
2022/12/11-19:25:00,567
2022/12/11-19:25:15,567
2022/12/11-19:25:30,566.73333333
2022/12/11-19:25:45,565
2022/12/11-19:26:00,565
2022/12/11-19:26:15,565
2022/12/11-19:26:30,565
2022/12/11-19:26:45,565.13333333
2022/12/11-19:27:00,566
2022/12/11-19:27:15,566
2022/12/11-19:27:30,566
2022/12/11-19:27:45,566
2022/12/11-19:28:00,565.73333333
2022/12/11-19:28:15,564
2022/12/11-19:28:30,564
2022/12/11-19:28:45,564
2022/12/11-19:29:00,564
2022/12/11-19:29:15,564
2022/12/11-19:29:30,564
2022/12/11-19:29:45,564
2022/12/11-19:30:00,564
2022/12/11-19:30:15,564
2022/12/11-19:30:30,564
