date,value
2022/12/11-19:13:00,315640
2022/12/11-19:13:15,315606.93333
2022/12/11-19:13:30,315392
2022/12/11-19:13:45,315392
2022/12/11-19:14:00,315392
2022/12/11-19:14:15,315392
2022/12/11-19:14:30,315392
2022/12/11-19:14:45,315392
2022/12/11-19:15:00,315392
2022/12/11-19:15:15,315392
2022/12/11-19:15:30,315392
2022/12/11-19:15:45,315392
2022/12/11-19:16:00,315392
2022/12/11-19:16:15,315392
2022/12/11-19:16:30,315392
2022/12/11-19:16:45,315392
2022/12/11-19:17:00,315392
2022/12/11-19:17:15,315392
2022/12/11-19:17:30,315392
2022/12/11-19:17:45,315392
2022/12/11-19:18:00,315358.93333
2022/12/11-19:18:15,315268
2022/12/11-19:18:30,315301.06667
2022/12/11-19:18:45,315392
2022/12/11-19:19:00,315392
2022/12/11-19:19:15,315392
2022/12/11-19:19:30,315392
2022/12/11-19:19:45,315392
2022/12/11-19:20:00,315358.93333
2022/12/11-19:20:15,315268
2022/12/11-19:20:30,315350.66667
2022/12/11-19:20:45,315516
2022/12/11-19:21:00,315516
2022/12/11-19:21:15,315516
2022/12/11-19:21:30,315516
2022/12/11-19:21:45,315516
2022/12/11-19:22:00,315491.2
2022/12/11-19:22:15,315392
2022/12/11-19:22:30,315367.2
2022/12/11-19:22:45,315268
2022/12/11-19:23:00,315268
2022/12/11-19:23:15,315268
2022/12/11-19:23:30,315268
2022/12/11-19:23:45,315268
2022/12/11-19:24:00,315268
2022/12/11-19:24:15,315268
2022/12/11-19:24:30,315268
2022/12/11-19:24:45,315268
2022/12/11-19:25:00,315268
2022/12/11-19:25:15,315268
2022/12/11-19:25:30,315268
2022/12/11-19:25:45,315268
2022/12/11-19:26:00,315268
2022/12/11-19:26:15,315268
2022/12/11-19:26:30,315268
2022/12/11-19:26:45,315268
2022/12/11-19:27:00,315268
2022/12/11-19:27:15,315268
2022/12/11-19:27:30,315268
2022/12/11-19:27:45,315268
2022/12/11-19:28:00,315284.53333
2022/12/11-19:28:15,315392
2022/12/11-19:28:30,315392
2022/12/11-19:28:45,315392
2022/12/11-19:29:00,315392
2022/12/11-19:29:15,315375.46667
2022/12/11-19:29:30,315268
2022/12/11-19:29:45,315268
2022/12/11-19:30:00,315268
2022/12/11-19:30:15,315268
2022/12/11-19:30:30,315259.73333
2022/12/11-19:30:45,315144
2022/12/11-19:31:00,315144
2022/12/11-19:31:15,315144
2022/12/11-19:31:30,315516
2022/12/11-19:31:45,315516
2022/12/11-19:32:00,315516
2022/12/11-19:32:15,315516
2022/12/11-19:32:30,315516
2022/12/11-19:32:45,315516
2022/12/11-19:33:00,315516
2022/12/11-19:33:15,315516
2022/12/11-19:33:30,315516
2022/12/11-19:33:45,315516
2022/12/11-19:34:00,315441.6
2022/12/11-19:34:15,315144
2022/12/11-19:34:30,315168.8
2022/12/11-19:34:45,315268
2022/12/11-19:35:00,315268
2022/12/11-19:35:15,315243.2
2022/12/11-19:35:30,315144
2022/12/11-19:35:45,315144
2022/12/11-19:36:00,315144
2022/12/11-19:36:15,315144
2022/12/11-19:36:30,315168.8
2022/12/11-19:36:45,315268
2022/12/11-19:37:00,315268
2022/12/11-19:37:15,315268
2022/12/11-19:37:30,315268
2022/12/11-19:37:45,315268
2022/12/11-19:38:00,315234.93333
2022/12/11-19:38:15,315144
2022/12/11-19:38:30,315210.13333
2022/12/11-19:38:45,315392
2022/12/11-19:39:00,315392
2022/12/11-19:39:15,315392
2022/12/11-19:39:30,315392
2022/12/11-19:39:45,315392
2022/12/11-19:40:00,315342.4
2022/12/11-19:40:15,315268
2022/12/11-19:40:30,315268
2022/12/11-19:40:45,315268
2022/12/11-19:41:00,315268
2022/12/11-19:41:15,315234.93333
2022/12/11-19:41:30,315144
2022/12/11-19:41:45,315144
2022/12/11-19:42:00,315168.8
2022/12/11-19:42:15,315268
2022/12/11-19:42:30,315284.53333
2022/12/11-19:42:45,315392
2022/12/11-19:43:00,315392
2022/12/11-19:43:15,315392
2022/12/11-19:43:30,315392
2022/12/11-19:43:45,315392
2022/12/11-19:44:00,315392
2022/12/11-19:44:15,315392
2022/12/11-19:44:30,315392
2022/12/11-19:44:45,315392
2022/12/11-19:45:00,315392
2022/12/11-19:45:15,315392
2022/12/11-19:45:30,315392
2022/12/11-19:45:45,315392
2022/12/11-19:46:00,315392
2022/12/11-19:46:15,315392
2022/12/11-19:46:30,315392
2022/12/11-19:46:45,315268
2022/12/11-19:47:00,315268
2022/12/11-19:47:15,315268
2022/12/11-19:47:30,315144
2022/12/11-19:47:45,315135.73333
2022/12/11-19:48:00,315020
2022/12/11-19:48:15,315020
2022/12/11-19:48:30,315020
2022/12/11-19:48:45,315020
2022/12/11-19:49:00,315020
2022/12/11-19:49:15,314995.2
2022/12/11-19:49:30,314896
2022/12/11-19:49:45,314978.66667
2022/12/11-19:50:00,315516
2022/12/11-19:50:15,315516
2022/12/11-19:50:30,315466.4
2022/12/11-19:50:45,315144
2022/12/11-19:51:00,315144
2022/12/11-19:51:15,315168.8
2022/12/11-19:51:30,315516
2022/12/11-19:51:45,315499.46667
2022/12/11-19:52:00,315268
2022/12/11-19:52:15,315268
2022/12/11-19:52:30,315268
2022/12/11-19:52:45,315268
2022/12/11-19:53:00,315268
2022/12/11-19:53:15,315284.53333
2022/12/11-19:53:30,315392
2022/12/11-19:53:45,315392
2022/12/11-19:54:00,315392
2022/12/11-19:54:15,315392
2022/12/11-19:54:30,315392
2022/12/11-19:54:45,315392
2022/12/11-19:55:00,315392
2022/12/11-19:55:15,315383.73333
2022/12/11-19:55:30,315268
2022/12/11-19:55:45,315268
2022/12/11-19:56:00,315268
2022/12/11-19:56:15,315268
2022/12/11-19:56:30,315268
2022/12/11-19:56:45,315268
2022/12/11-19:57:00,315268
2022/12/11-19:57:15,315268
2022/12/11-19:57:30,315268
2022/12/11-19:57:45,315276.26667
2022/12/11-19:58:00,315392
2022/12/11-19:58:15,315392
2022/12/11-19:58:30,315392
2022/12/11-19:58:45,315392
2022/12/11-19:59:00,315392
2022/12/11-19:59:15,315392
2022/12/11-19:59:30,315268
2022/12/11-19:59:45,315268
2022/12/11-20:00:00,315268
2022/12/11-20:00:15,315268
2022/12/11-20:00:30,315268
2022/12/11-20:00:45,315392
2022/12/11-20:01:00,315392
2022/12/11-20:01:15,315392
2022/12/11-20:01:30,314929.06667
2022/12/11-20:01:45,314896
2022/12/11-20:02:00,315325.86667
2022/12/11-20:02:15,315392
2022/12/11-20:02:30,315392
2022/12/11-20:02:45,315392
2022/12/11-20:03:00,315392
2022/12/11-20:03:15,315392
2022/12/11-20:03:30,315276.26667
2022/12/11-20:03:45,315268
2022/12/11-20:04:00,315268
2022/12/11-20:04:15,315268
2022/12/11-20:04:30,315268
2022/12/11-20:04:45,315268
2022/12/11-20:05:00,315268
2022/12/11-20:05:15,315268
2022/12/11-20:05:30,315383.73333
2022/12/11-20:05:45,315392
2022/12/11-20:06:00,315392
2022/12/11-20:06:15,315392
2022/12/11-20:06:30,315392
2022/12/11-20:06:45,315276.26667
2022/12/11-20:07:00,315268
2022/12/11-20:07:15,315268
2022/12/11-20:07:30,315392
2022/12/11-20:07:45,315392
2022/12/11-20:08:00,315392
2022/12/11-20:08:15,315392
2022/12/11-20:08:30,315392
2022/12/11-20:08:45,315392
2022/12/11-20:09:00,315392
2022/12/11-20:09:15,315392
2022/12/11-20:09:30,315392
2022/12/11-20:09:45,315392
2022/12/11-20:10:00,315392
2022/12/11-20:10:15,315392
2022/12/11-20:10:30,315392
2022/12/11-20:10:45,315392
2022/12/11-20:11:00,315392
2022/12/11-20:11:15,315392
2022/12/11-20:11:30,315392
2022/12/11-20:11:45,315392
2022/12/11-20:12:00,315392
2022/12/11-20:12:15,315392
2022/12/11-20:12:30,315392
2022/12/11-20:12:45,315292.8
