date,value
2022/12/11-19:13:00,5
2022/12/11-19:13:15,5
2022/12/11-19:13:30,5
2022/12/11-19:13:45,5.12
2022/12/11-19:14:00,5.9
2022/12/11-19:14:15,5.9
2022/12/11-19:14:30,5.8533333333
2022/12/11-19:14:45,5.36
2022/12/11-19:15:00,6.4
2022/12/11-19:15:15,6.4
2022/12/11-19:15:30,6.12
2022/12/11-19:15:45,4.4
2022/12/11-19:16:00,4.8
2022/12/11-19:16:15,4.8
2022/12/11-19:16:30,4.8
2022/12/11-19:16:45,4.86
2022/12/11-19:17:00,5.24
2022/12/11-19:17:15,5.8
2022/12/11-19:17:30,6.0666666667
2022/12/11-19:17:45,6.8
2022/12/11-19:18:00,6.8
2022/12/11-19:18:15,6.8
2022/12/11-19:18:30,6.8
2022/12/11-19:18:45,6.8
2022/12/11-19:19:00,6.8
2022/12/11-19:19:15,6.8
2022/12/11-19:19:30,6.4
2022/12/11-19:19:45,5.62
2022/12/11-19:20:00,6.5
2022/12/11-19:20:15,6.5
2022/12/11-19:20:30,6.5
2022/12/11-19:20:45,6.4666666667
2022/12/11-19:21:00,6.0266666667
2022/12/11-19:21:15,5
2022/12/11-19:21:30,4.8933333333
2022/12/11-19:21:45,4.6
2022/12/11-19:22:00,4.88
2022/12/11-19:22:15,6
2022/12/11-19:22:30,6.26
2022/12/11-19:22:45,7.3
2022/12/11-19:23:00,7.3
2022/12/11-19:23:15,7.3
2022/12/11-19:23:30,6.74
2022/12/11-19:23:45,5.5
2022/12/11-19:24:00,6
2022/12/11-19:24:15,3.2
2022/12/11-19:24:30,3.76
2022/12/11-19:24:45,6
2022/12/11-19:25:00,6
2022/12/11-19:25:15,6
2022/12/11-19:25:30,6
2022/12/11-19:25:45,5.9466666667
2022/12/11-19:26:00,5.6
2022/12/11-19:26:15,5.6
2022/12/11-19:26:30,5.6
2022/12/11-19:26:45,5.6
2022/12/11-19:27:00,5.6
2022/12/11-19:27:15,5.6
2022/12/11-19:27:30,5.6866666667
2022/12/11-19:27:45,6.7666666667
2022/12/11-19:28:00,5.5666666667
2022/12/11-19:28:15,3.4
2022/12/11-19:28:30,3.4
2022/12/11-19:28:45,3.8
2022/12/11-19:29:00,6.1733333333
2022/12/11-19:29:15,4.7
2022/12/11-19:29:30,4.7
2022/12/11-19:29:45,4.7
2022/12/11-19:30:00,4.7
2022/12/11-19:30:15,4.7
2022/12/11-19:30:30,4.76
2022/12/11-19:30:45,5.6866666667
2022/12/11-19:31:00,5.9933333333
2022/12/11-19:31:15,5.9933333333
2022/12/11-19:31:30,6.2
2022/12/11-19:31:45,6.12
2022/12/11-19:32:00,5.16
2022/12/11-19:32:15,6.2
2022/12/11-19:32:30,6.24
2022/12/11-19:32:45,6.3266666667
2022/12/11-19:33:00,5.08
2022/12/11-19:33:15,4.3
2022/12/11-19:33:30,4.66
2022/12/11-19:33:45,6.1
2022/12/11-19:34:00,6.1
2022/12/11-19:34:15,6.1
2022/12/11-19:34:30,6.1
2022/12/11-19:34:45,5.96
2022/12/11-19:35:00,5.18
2022/12/11-19:35:15,4.3
2022/12/11-19:35:30,4.56
2022/12/11-19:35:45,5.2266666667
2022/12/11-19:36:00,4.2
2022/12/11-19:36:15,4.2
2022/12/11-19:36:30,4.36
2022/12/11-19:36:45,5.22
2022/12/11-19:37:00,5.82
2022/12/11-19:37:15,4.7
2022/12/11-19:37:30,5.26
2022/12/11-19:37:45,6.8
2022/12/11-19:38:00,6.8
2022/12/11-19:38:15,6.8
2022/12/11-19:38:30,6.8
2022/12/11-19:38:45,6.5066666667
2022/12/11-19:39:00,5.46
2022/12/11-19:39:15,4.8
2022/12/11-19:39:30,5.08
2022/12/11-19:39:45,5.1
2022/12/11-19:40:00,4.5
2022/12/11-19:40:15,4.5
2022/12/11-19:40:30,5.2733333333
2022/12/11-19:40:45,7.2666666667
2022/12/11-19:41:00,6.2333333333
2022/12/11-19:41:15,4.4
2022/12/11-19:41:30,4.4
2022/12/11-19:41:45,4.4
2022/12/11-19:42:00,4.78
2022/12/11-19:42:15,6.3
2022/12/11-19:42:30,6.2066666667
2022/12/11-19:42:45,5.6
2022/12/11-19:43:00,5.6
2022/12/11-19:43:15,5.5466666667
2022/12/11-19:43:30,5.5466666667
2022/12/11-19:43:45,5.5
2022/12/11-19:44:00,6.16
2022/12/11-19:44:15,4.2
2022/12/11-19:44:30,4.3266666667
2022/12/11-19:44:45,6.1
2022/12/11-19:45:00,5.9933333333
2022/12/11-19:45:15,4.58
2022/12/11-19:45:30,5.7
2022/12/11-19:45:45,5.7
2022/12/11-19:46:00,5.1
2022/12/11-19:46:15,5.1
2022/12/11-19:46:30,5.1
2022/12/11-19:46:45,5.1
2022/12/11-19:47:00,6.22
2022/12/11-19:47:15,6.1
2022/12/11-19:47:30,6.0533333333
2022/12/11-19:47:45,5.4
2022/12/11-19:48:00,5.3333333333
2022/12/11-19:48:15,4.4
2022/12/11-19:48:30,4.88
2022/12/11-19:48:45,7.6933333333
2022/12/11-19:49:00,5.5533333333
2022/12/11-19:49:15,4.6
2022/12/11-19:49:30,4.7066666667
2022/12/11-19:49:45,5.48
2022/12/11-19:50:00,5.6933333333
2022/12/11-19:50:15,3.7
2022/12/11-19:50:30,4.34
2022/12/11-19:50:45,8.4066666667
2022/12/11-19:51:00,7.8
2022/12/11-19:51:15,7.8
2022/12/11-19:51:30,7.4133333333
2022/12/11-19:51:45,4.9733333333
2022/12/11-19:52:00,5.9533333333
2022/12/11-19:52:15,5.3
2022/12/11-19:52:30,5.3
2022/12/11-19:52:45,5.34
2022/12/11-19:53:00,5.66
2022/12/11-19:53:15,4.1
2022/12/11-19:53:30,4.54
2022/12/11-19:53:45,7.08
2022/12/11-19:54:00,4.9333333333
2022/12/11-19:54:15,4.5
2022/12/11-19:54:30,4.6
2022/12/11-19:54:45,6
2022/12/11-19:55:00,6
2022/12/11-19:55:15,6
2022/12/11-19:55:30,5.8
2022/12/11-19:55:45,4.5266666667
2022/12/11-19:56:00,4.8333333333
2022/12/11-19:56:15,3.9
2022/12/11-19:56:30,3.9
2022/12/11-19:56:45,5.2333333333
2022/12/11-19:57:00,5.2333333333
2022/12/11-19:57:15,6.3133333333
2022/12/11-19:57:30,6.5
2022/12/11-19:57:45,6.5
2022/12/11-19:58:00,6.5
2022/12/11-19:58:15,6.5
2022/12/11-19:58:30,6.4133333333
2022/12/11-19:58:45,5.2666666667
2022/12/11-19:59:00,6.2
2022/12/11-19:59:15,6.2
2022/12/11-19:59:30,6.0866666667
2022/12/11-19:59:45,5.0866666667
2022/12/11-20:00:00,5.0866666667
2022/12/11-20:00:15,4.8
2022/12/11-20:00:30,4.8
2022/12/11-20:00:45,4.8
2022/12/11-20:01:00,4.8
