date,value
2022/12/11-19:13:00,131120
2022/12/11-19:13:15,130526.4
2022/12/11-19:13:30,126668
2022/12/11-19:13:45,126668
2022/12/11-19:14:00,127057.86667
2022/12/11-19:14:15,129592
2022/12/11-19:14:30,128477.6
2022/12/11-19:14:45,112876
2022/12/11-19:15:00,112876
2022/12/11-19:15:15,116400.8
2022/12/11-19:15:30,130500
2022/12/11-19:15:45,130500
2022/12/11-19:16:00,130473.6
2022/12/11-19:16:15,130368
2022/12/11-19:16:30,130368
2022/12/11-19:16:45,130368
2022/12/11-19:17:00,130368
2022/12/11-19:17:15,129837.86667
2022/12/11-19:17:30,128380
2022/12/11-19:17:45,128380
2022/12/11-19:18:00,129023.2
2022/12/11-19:18:15,130792
2022/12/11-19:18:30,130792
2022/12/11-19:18:45,130065.6
2022/12/11-19:19:00,128068
2022/12/11-19:19:15,128608.8
2022/12/11-19:19:30,130096
2022/12/11-19:19:45,130096
2022/12/11-19:20:00,130136.53333
2022/12/11-19:20:15,130248
2022/12/11-19:20:30,130248
2022/12/11-19:20:45,128428
2022/12/11-19:21:00,124788
2022/12/11-19:21:15,126110.66667
2022/12/11-19:21:30,129748
2022/12/11-19:21:45,129748
2022/12/11-19:22:00,129665.6
2022/12/11-19:22:15,129336
2022/12/11-19:22:30,129336
2022/12/11-19:22:45,129152.8
2022/12/11-19:23:00,128420
2022/12/11-19:23:15,127659.2
2022/12/11-19:23:30,124616
2022/12/11-19:23:45,124616
2022/12/11-19:24:00,125452.8
2022/12/11-19:24:15,128800
2022/12/11-19:24:30,128800
2022/12/11-19:24:45,125256.8
2022/12/11-19:25:00,111084
2022/12/11-19:25:15,114387.2
2022/12/11-19:25:30,127600
2022/12/11-19:25:45,127600
2022/12/11-19:26:00,127656
2022/12/11-19:26:15,128020
2022/12/11-19:26:30,128020
2022/12/11-19:26:45,128020
2022/12/11-19:27:00,128020
2022/12/11-19:27:15,127800.8
2022/12/11-19:27:30,124732
2022/12/11-19:27:45,124732
2022/12/11-19:28:00,125098.4
2022/12/11-19:28:15,127480
2022/12/11-19:28:30,127480
2022/12/11-19:28:45,127126.93333
2022/12/11-19:29:00,124832
2022/12/11-19:29:15,125207.46667
2022/12/11-19:29:30,127648
2022/12/11-19:29:45,127648
2022/12/11-19:30:00,127648
2022/12/11-19:30:15,127648
2022/12/11-19:30:30,127342.66667
2022/12/11-19:30:45,123068
2022/12/11-19:31:00,123068
2022/12/11-19:31:15,123068
2022/12/11-19:31:30,124360
2022/12/11-19:31:45,124360
2022/12/11-19:32:00,124611.2
2022/12/11-19:32:15,126244
2022/12/11-19:32:30,126244
2022/12/11-19:32:45,126244
2022/12/11-19:33:00,126244
2022/12/11-19:33:15,125386.4
2022/12/11-19:33:30,121956
2022/12/11-19:33:45,121956
2022/12/11-19:34:00,122858.4
2022/12/11-19:34:15,126468
2022/12/11-19:34:30,126468
2022/12/11-19:34:45,122480.8
2022/12/11-19:35:00,106532
2022/12/11-19:35:15,110152
2022/12/11-19:35:30,124632
2022/12/11-19:35:45,124632
2022/12/11-19:36:00,124975.46667
2022/12/11-19:36:15,125920
2022/12/11-19:36:30,125920
2022/12/11-19:36:45,125944.8
2022/12/11-19:37:00,126044
2022/12/11-19:37:15,125472
2022/12/11-19:37:30,123184
2022/12/11-19:37:45,123184
2022/12/11-19:38:00,123530.66667
2022/12/11-19:38:15,124484
2022/12/11-19:38:30,124484
2022/12/11-19:38:45,124080.8
2022/12/11-19:39:00,122972
2022/12/11-19:39:15,123748
2022/12/11-19:39:30,125300
2022/12/11-19:39:45,125300
2022/12/11-19:40:00,125308
2022/12/11-19:40:15,125320
2022/12/11-19:40:30,125320
2022/12/11-19:40:45,124053.86667
2022/12/11-19:41:00,120572
2022/12/11-19:41:15,121597.06667
2022/12/11-19:41:30,124416
2022/12/11-19:41:45,124416
2022/12/11-19:42:00,124468.8
2022/12/11-19:42:15,124680
2022/12/11-19:42:30,124771.73333
2022/12/11-19:42:45,125368
2022/12/11-19:43:00,125368
2022/12/11-19:43:15,122709.86667
2022/12/11-19:43:30,122709.86667
2022/12/11-19:43:45,120384
2022/12/11-19:44:00,120645.86667
2022/12/11-19:44:15,124312
2022/12/11-19:44:30,123110.93333
2022/12/11-19:44:45,106296
2022/12/11-19:45:00,106296
2022/12/11-19:45:15,107501.33333
2022/12/11-19:45:30,124376
2022/12/11-19:45:45,124376
2022/12/11-19:46:00,124376
2022/12/11-19:46:15,125044
2022/12/11-19:46:30,125044
2022/12/11-19:46:45,124920
2022/12/11-19:47:00,124920
2022/12/11-19:47:15,124920
2022/12/11-19:47:30,121192
2022/12/11-19:47:45,121192
2022/12/11-19:48:00,121330.4
2022/12/11-19:48:15,123268
2022/12/11-19:48:30,122900
2022/12/11-19:48:45,120508
2022/12/11-19:49:00,120508
2022/12/11-19:49:15,121117.6
2022/12/11-19:49:30,123556
2022/12/11-19:49:45,123556
2022/12/11-19:50:00,123463.73333
2022/12/11-19:50:15,122864
2022/12/11-19:50:30,122173.86667
2022/12/11-19:50:45,117688
2022/12/11-19:51:00,117688
2022/12/11-19:51:15,118040.26667
2022/12/11-19:51:30,122972
2022/12/11-19:51:45,122972
2022/12/11-19:52:00,122942.13333
2022/12/11-19:52:15,122524
2022/12/11-19:52:30,122500.26667
2022/12/11-19:52:45,122168
2022/12/11-19:53:00,122168
2022/12/11-19:53:15,121513.06667
2022/12/11-19:53:30,117256
2022/12/11-19:53:45,117256
2022/12/11-19:54:00,118008.53333
2022/12/11-19:54:15,122900
2022/12/11-19:54:30,121691.73333
2022/12/11-19:54:45,104776
2022/12/11-19:55:00,104776
2022/12/11-19:55:15,105916.26667
2022/12/11-19:55:30,121880
2022/12/11-19:55:45,121880
2022/12/11-19:56:00,121942.13333
2022/12/11-19:56:15,122812
2022/12/11-19:56:30,122812
2022/12/11-19:56:45,122812
2022/12/11-19:57:00,122812
2022/12/11-19:57:15,122564.53333
2022/12/11-19:57:30,119100
2022/12/11-19:57:45,119100
2022/12/11-19:58:00,119381.06667
2022/12/11-19:58:15,121208
2022/12/11-19:58:30,121082.4
2022/12/11-19:58:45,119324
2022/12/11-19:59:00,119324
2022/12/11-19:59:15,119324
2022/12/11-19:59:30,122572
2022/12/11-19:59:45,122572
2022/12/11-20:00:00,122572
2022/12/11-20:00:15,122572
2022/12/11-20:00:30,122572
2022/12/11-20:00:45,116572
2022/12/11-20:01:00,116572
2022/12/11-20:01:15,116572
2022/12/11-20:01:30,121660.53333
2022/12/11-20:01:45,122024
2022/12/11-20:02:00,122024
2022/12/11-20:02:15,121712
2022/12/11-20:02:30,121664
2022/12/11-20:02:45,120803.2
2022/12/11-20:03:00,120588
2022/12/11-20:03:15,120588
2022/12/11-20:03:30,115973.6
2022/12/11-20:03:45,115644
2022/12/11-20:04:00,115644
2022/12/11-20:04:15,119366.13333
2022/12/11-20:04:30,119632
2022/12/11-20:04:45,103235.2
2022/12/11-20:05:00,102064
2022/12/11-20:05:15,102064
2022/12/11-20:05:30,118998.4
2022/12/11-20:05:45,120208
2022/12/11-20:06:00,120208
2022/12/11-20:06:15,120208
2022/12/11-20:06:30,120208
2022/12/11-20:06:45,119984
2022/12/11-20:07:00,119968
2022/12/11-20:07:15,119968
2022/12/11-20:07:30,116732
2022/12/11-20:07:45,116732
2022/12/11-20:08:00,116732
2022/12/11-20:08:15,118356
2022/12/11-20:08:30,118472
2022/12/11-20:08:45,116064
2022/12/11-20:09:00,115892
2022/12/11-20:09:15,115892
2022/12/11-20:09:30,117754.93333
2022/12/11-20:09:45,117888
2022/12/11-20:10:00,117888
2022/12/11-20:10:15,118872.53333
2022/12/11-20:10:30,119024
2022/12/11-20:10:45,115104
2022/12/11-20:11:00,114124
2022/12/11-20:11:15,114124
2022/12/11-20:11:30,118037.6
2022/12/11-20:11:45,119016
2022/12/11-20:12:00,118417.6
2022/12/11-20:12:15,118268
2022/12/11-20:12:30,118268
2022/12/11-20:12:45,118133.6
