date,value
2022/12/11-19:13:00,188
2022/12/11-19:13:15,188
2022/12/11-19:13:30,186.4
2022/12/11-19:13:45,176
2022/12/11-19:14:00,176
2022/12/11-19:14:15,176
2022/12/11-19:14:30,176
2022/12/11-19:14:45,176
2022/12/11-19:15:00,176
2022/12/11-19:15:15,176
2022/12/11-19:15:30,176
2022/12/11-19:15:45,176
2022/12/11-19:16:00,175.4
2022/12/11-19:16:15,173
2022/12/11-19:16:30,173
2022/12/11-19:16:45,173
2022/12/11-19:17:00,173
2022/12/11-19:17:15,173
2022/12/11-19:17:30,181.8
2022/12/11-19:17:45,206
2022/12/11-19:18:00,206
2022/12/11-19:18:15,206
2022/12/11-19:18:30,206
2022/12/11-19:18:45,197.2
2022/12/11-19:19:00,173
2022/12/11-19:19:15,173
2022/12/11-19:19:30,173
2022/12/11-19:19:45,173
2022/12/11-19:20:00,173.8
2022/12/11-19:20:15,176
2022/12/11-19:20:30,176
2022/12/11-19:20:45,176
2022/12/11-19:21:00,176
2022/12/11-19:21:15,176
2022/12/11-19:21:30,175.2
2022/12/11-19:21:45,173
2022/12/11-19:22:00,173
2022/12/11-19:22:15,173
2022/12/11-19:22:30,173
2022/12/11-19:22:45,183.2
2022/12/11-19:23:00,224
2022/12/11-19:23:15,224
2022/12/11-19:23:30,224
2022/12/11-19:23:45,224
2022/12/11-19:24:00,215
2022/12/11-19:24:15,179
2022/12/11-19:24:30,179
2022/12/11-19:24:45,179
2022/12/11-19:25:00,179
2022/12/11-19:25:15,179
2022/12/11-19:25:30,178.2
2022/12/11-19:25:45,173
2022/12/11-19:26:00,173
2022/12/11-19:26:15,173
2022/12/11-19:26:30,173
2022/12/11-19:26:45,173.4
2022/12/11-19:27:00,176
2022/12/11-19:27:15,176
2022/12/11-19:27:30,176
2022/12/11-19:27:45,176
2022/12/11-19:28:00,178
2022/12/11-19:28:15,191
2022/12/11-19:28:30,191
2022/12/11-19:28:45,191
2022/12/11-19:29:00,191
2022/12/11-19:29:15,191
2022/12/11-19:29:30,198.06666667
2022/12/11-19:29:45,244
2022/12/11-19:30:00,244
2022/12/11-19:30:15,244
2022/12/11-19:30:30,244
2022/12/11-19:30:45,239.66666667
2022/12/11-19:31:00,179
2022/12/11-19:31:15,179
2022/12/11-19:31:30,179
2022/12/11-19:31:45,179
2022/12/11-19:32:00,178.2
2022/12/11-19:32:15,173
2022/12/11-19:32:30,173
2022/12/11-19:32:45,173
2022/12/11-19:33:00,173
2022/12/11-19:33:15,173
2022/12/11-19:33:30,173
2022/12/11-19:33:45,173
2022/12/11-19:34:00,173
2022/12/11-19:34:15,173
2022/12/11-19:34:30,173
2022/12/11-19:34:45,173
2022/12/11-19:35:00,173
2022/12/11-19:35:15,173
2022/12/11-19:35:30,173
2022/12/11-19:35:45,173
2022/12/11-19:36:00,173.8
2022/12/11-19:36:15,176
2022/12/11-19:36:30,176
2022/12/11-19:36:45,176
2022/12/11-19:37:00,176
2022/12/11-19:37:15,176
2022/12/11-19:37:30,176
2022/12/11-19:37:45,176
2022/12/11-19:38:00,176
2022/12/11-19:38:15,176
2022/12/11-19:38:30,176
2022/12/11-19:38:45,177.6
2022/12/11-19:39:00,182
2022/12/11-19:39:15,182
2022/12/11-19:39:30,182
2022/12/11-19:39:45,182
2022/12/11-19:40:00,178.4
2022/12/11-19:40:15,173
2022/12/11-19:40:30,173
2022/12/11-19:40:45,173
2022/12/11-19:41:00,173
2022/12/11-19:41:15,173
2022/12/11-19:41:30,176
2022/12/11-19:41:45,188
2022/12/11-19:42:00,188
2022/12/11-19:42:15,188
2022/12/11-19:42:30,188
2022/12/11-19:42:45,188
2022/12/11-19:43:00,188
2022/12/11-19:43:15,188
2022/12/11-19:43:30,188
2022/12/11-19:43:45,188
2022/12/11-19:44:00,188.4
2022/12/11-19:44:15,194
2022/12/11-19:44:30,194
2022/12/11-19:44:45,194
2022/12/11-19:45:00,194
2022/12/11-19:45:15,193
2022/12/11-19:45:30,179
2022/12/11-19:45:45,179
2022/12/11-19:46:00,179
2022/12/11-19:46:15,179
2022/12/11-19:46:30,179
2022/12/11-19:46:45,179
2022/12/11-19:47:00,173.4
2022/12/11-19:47:15,173
2022/12/11-19:47:30,173
2022/12/11-19:47:45,173
2022/12/11-19:48:00,174
2022/12/11-19:48:15,188
2022/12/11-19:48:30,188
2022/12/11-19:48:45,188
2022/12/11-19:49:00,188
2022/12/11-19:49:15,188
