date,value
2022/12/11-19:13:00,3577.419
2022/12/11-19:13:15,3577.419
2022/12/11-19:13:30,3577.419
2022/12/11-19:13:45,3577.419
2022/12/11-19:14:00,3577.419
2022/12/11-19:14:15,3577.419
2022/12/11-19:14:30,3577.419
2022/12/11-19:14:45,3577.419
2022/12/11-19:15:00,3577.419
2022/12/11-19:15:15,3577.419
2022/12/11-19:15:30,3577.419
2022/12/11-19:15:45,3577.419
2022/12/11-19:16:00,3577.419
2022/12/11-19:16:15,3577.419
2022/12/11-19:16:30,3577.419
2022/12/11-19:16:45,3577.419
2022/12/11-19:17:00,3577.419
2022/12/11-19:17:15,3577.419
2022/12/11-19:17:30,3577.419
2022/12/11-19:17:45,3577.419
2022/12/11-19:18:00,3577.419
2022/12/11-19:18:15,3577.419
2022/12/11-19:18:30,3577.419
2022/12/11-19:18:45,3577.419
2022/12/11-19:19:00,3577.419
2022/12/11-19:19:15,3577.419
2022/12/11-19:19:30,3577.419
2022/12/11-19:19:45,3577.419
2022/12/11-19:20:00,3577.419
2022/12/11-19:20:15,3577.419
2022/12/11-19:20:30,3577.419
2022/12/11-19:20:45,3577.419
2022/12/11-19:21:00,3577.419
2022/12/11-19:21:15,3577.419
2022/12/11-19:21:30,3577.419
2022/12/11-19:21:45,3577.419
2022/12/11-19:22:00,3577.419
2022/12/11-19:22:15,3577.419
2022/12/11-19:22:30,3577.419
2022/12/11-19:22:45,3577.419
2022/12/11-19:23:00,3577.419
2022/12/11-19:23:15,3577.419
2022/12/11-19:23:30,3577.419
2022/12/11-19:23:45,3577.419
2022/12/11-19:24:00,3577.419
2022/12/11-19:24:15,3577.419
2022/12/11-19:24:30,3577.419
2022/12/11-19:24:45,3577.419
2022/12/11-19:25:00,3577.419
2022/12/11-19:25:15,3577.419
2022/12/11-19:25:30,3577.419
2022/12/11-19:25:45,3577.419
2022/12/11-19:26:00,3577.419
2022/12/11-19:26:15,3577.419
2022/12/11-19:26:30,3577.419
2022/12/11-19:26:45,3577.419
2022/12/11-19:27:00,3577.419
2022/12/11-19:27:15,3577.419
2022/12/11-19:27:30,3577.419
2022/12/11-19:27:45,3577.419
2022/12/11-19:28:00,3577.419
2022/12/11-19:28:15,3577.419
2022/12/11-19:28:30,3577.419
2022/12/11-19:28:45,3577.419
2022/12/11-19:29:00,3577.419
2022/12/11-19:29:15,3577.419
2022/12/11-19:29:30,3577.419
2022/12/11-19:29:45,3577.419
2022/12/11-19:30:00,3577.419
2022/12/11-19:30:15,3577.419
2022/12/11-19:30:30,3577.419
2022/12/11-19:30:45,3577.419
2022/12/11-19:31:00,3577.419
2022/12/11-19:31:15,3577.419
2022/12/11-19:31:30,3577.419
2022/12/11-19:31:45,3577.419
2022/12/11-19:32:00,3577.419
2022/12/11-19:32:15,3577.419
2022/12/11-19:32:30,3577.419
2022/12/11-19:32:45,3577.419
2022/12/11-19:33:00,3577.419
2022/12/11-19:33:15,3577.419
2022/12/11-19:33:30,3577.419
2022/12/11-19:33:45,3577.419
2022/12/11-19:34:00,3577.419
2022/12/11-19:34:15,3577.419
2022/12/11-19:34:30,3577.419
2022/12/11-19:34:45,3577.419
2022/12/11-19:35:00,3577.419
2022/12/11-19:35:15,3577.419
2022/12/11-19:35:30,3577.419
2022/12/11-19:35:45,3577.419
2022/12/11-19:36:00,3577.419
2022/12/11-19:36:15,3577.419
2022/12/11-19:36:30,3577.419
2022/12/11-19:36:45,3577.419
2022/12/11-19:37:00,3577.419
2022/12/11-19:37:15,3577.419
2022/12/11-19:37:30,3577.419
2022/12/11-19:37:45,3577.419
2022/12/11-19:38:00,3577.419
2022/12/11-19:38:15,3577.419
2022/12/11-19:38:30,3577.419
2022/12/11-19:38:45,3577.419
2022/12/11-19:39:00,3577.419
2022/12/11-19:39:15,3577.419
2022/12/11-19:39:30,3577.419
2022/12/11-19:39:45,3577.419
2022/12/11-19:40:00,3577.419
2022/12/11-19:40:15,3577.419
2022/12/11-19:40:30,3577.419
2022/12/11-19:40:45,3577.419
2022/12/11-19:41:00,3577.419
2022/12/11-19:41:15,3577.419
2022/12/11-19:41:30,3577.419
2022/12/11-19:41:45,3577.419
2022/12/11-19:42:00,3577.419
2022/12/11-19:42:15,3577.419
2022/12/11-19:42:30,3577.419
2022/12/11-19:42:45,3577.419
2022/12/11-19:43:00,3577.419
2022/12/11-19:43:15,3577.419
