date,value
2022/12/11-19:13:00,1173526.9333
2022/12/11-19:13:15,1173416
2022/12/11-19:13:30,1173416
2022/12/11-19:13:45,1173416
2022/12/11-19:14:00,1173416
2022/12/11-19:14:15,1173416
2022/12/11-19:14:30,1173401.8667
2022/12/11-19:14:45,1173204
2022/12/11-19:15:00,1173204
2022/12/11-19:15:15,1173204
2022/12/11-19:15:30,1173204
2022/12/11-19:15:45,1173270.4
2022/12/11-19:16:00,1173536
2022/12/11-19:16:15,1173536
2022/12/11-19:16:30,1173536
2022/12/11-19:16:45,1173536
2022/12/11-19:17:00,1173667.2
2022/12/11-19:17:15,1174192
2022/12/11-19:17:30,1174192
2022/12/11-19:17:45,1174133.3333
2022/12/11-19:18:00,1173972
2022/12/11-19:18:15,1173972
2022/12/11-19:18:30,1173944.2667
2022/12/11-19:18:45,1173868
2022/12/11-19:19:00,1173869.0667
2022/12/11-19:19:15,1173872
2022/12/11-19:19:30,1173872
2022/12/11-19:19:45,1173833.6
2022/12/11-19:20:00,1173728
2022/12/11-19:20:15,1173728
2022/12/11-19:20:30,1173546.6667
2022/12/11-19:20:45,1173184
2022/12/11-19:21:00,1173043.2
2022/12/11-19:21:15,1172656
2022/12/11-19:21:30,1172656
2022/12/11-19:21:45,1172828.8
2022/12/11-19:22:00,1173520
2022/12/11-19:22:15,1173520
2022/12/11-19:22:30,1173549.6
2022/12/11-19:22:45,1173668
2022/12/11-19:23:00,1173628
2022/12/11-19:23:15,1173468
2022/12/11-19:23:30,1173468
2022/12/11-19:23:45,1173496
2022/12/11-19:24:00,1173608
2022/12/11-19:24:15,1173608
2022/12/11-19:24:30,1173662.4
2022/12/11-19:24:45,1173880
2022/12/11-19:25:00,1173785.6
2022/12/11-19:25:15,1173408
2022/12/11-19:25:30,1173408
2022/12/11-19:25:45,1173510.9333
2022/12/11-19:26:00,1174180
2022/12/11-19:26:15,1174180
2022/12/11-19:26:30,1174180
2022/12/11-19:26:45,1174180
2022/12/11-19:27:00,1174180
2022/12/11-19:27:15,1174180
2022/12/11-19:27:30,1174180
2022/12/11-19:27:45,1174080.8
2022/12/11-19:28:00,1173436
2022/12/11-19:28:15,1173436
2022/12/11-19:28:30,1173501.6
2022/12/11-19:28:45,1173928
2022/12/11-19:29:00,1173812.2667
2022/12/11-19:29:15,1173060
2022/12/11-19:29:30,1173060
2022/12/11-19:29:45,1173060
2022/12/11-19:30:00,1173060
2022/12/11-19:30:15,1173060
2022/12/11-19:30:30,1173120.8
2022/12/11-19:30:45,1173972
2022/12/11-19:31:00,1173846.1333
2022/12/11-19:31:15,1173846.1333
2022/12/11-19:31:30,1173736
2022/12/11-19:31:45,1173685.0667
2022/12/11-19:32:00,1172972
2022/12/11-19:32:15,1172972
2022/12/11-19:32:30,1172972
2022/12/11-19:32:45,1172972
2022/12/11-19:33:00,1172972
2022/12/11-19:33:15,1172972
2022/12/11-19:33:30,1172972
2022/12/11-19:33:45,1173057.6
2022/12/11-19:34:00,1173400
2022/12/11-19:34:15,1173400
2022/12/11-19:34:30,1173535.2
2022/12/11-19:34:45,1174076
2022/12/11-19:35:00,1174038.4
2022/12/11-19:35:15,1173888
2022/12/11-19:35:30,1173888
2022/12/11-19:35:45,1173888
2022/12/11-19:36:00,1173888
2022/12/11-19:36:15,1173888
2022/12/11-19:36:30,1173733.6
2022/12/11-19:36:45,1173116
2022/12/11-19:37:00,1172971.2
2022/12/11-19:37:15,1172392
2022/12/11-19:37:30,1172392
2022/12/11-19:37:45,1172555.2
2022/12/11-19:38:00,1173004
2022/12/11-19:38:15,1173004
2022/12/11-19:38:30,1172930.4
2022/12/11-19:38:45,1172728
2022/12/11-19:39:00,1172728
2022/12/11-19:39:15,1172728
2022/12/11-19:39:30,1172728
2022/12/11-19:39:45,1172851.2
2022/12/11-19:40:00,1173036
2022/12/11-19:40:15,1173036
2022/12/11-19:40:30,1173075.4667
2022/12/11-19:40:45,1173184
2022/12/11-19:41:00,1172989.8667
2022/12/11-19:41:15,1172456
