date,value
2022/12/11-19:13:15,219
2022/12/11-19:13:30,219
2022/12/11-19:13:45,219
2022/12/11-19:14:00,219
2022/12/11-19:14:15,219
2022/12/11-19:14:30,219
2022/12/11-19:14:45,219
2022/12/11-19:15:00,219
2022/12/11-19:15:15,219
2022/12/11-19:15:30,219
2022/12/11-19:15:45,219
2022/12/11-19:16:00,219
2022/12/11-19:16:15,219
2022/12/11-19:16:30,219
2022/12/11-19:16:45,219
2022/12/11-19:17:00,219.2
2022/12/11-19:17:15,220
2022/12/11-19:17:30,220
2022/12/11-19:17:45,220
2022/12/11-19:18:00,220
2022/12/11-19:18:15,220
2022/12/11-19:18:30,219.73333333
2022/12/11-19:18:45,219
2022/12/11-19:19:00,219
2022/12/11-19:19:15,219
2022/12/11-19:19:30,219
2022/12/11-19:19:45,219.26666667
2022/12/11-19:20:00,220
2022/12/11-19:20:15,220
2022/12/11-19:20:30,220
2022/12/11-19:20:45,220
2022/12/11-19:21:00,220
2022/12/11-19:21:15,220
2022/12/11-19:21:30,220
2022/12/11-19:21:45,220
2022/12/11-19:22:00,220
2022/12/11-19:22:15,220
2022/12/11-19:22:30,219.8
2022/12/11-19:22:45,219
2022/12/11-19:23:00,219
2022/12/11-19:23:15,219
2022/12/11-19:23:30,219
2022/12/11-19:23:45,219
2022/12/11-19:24:00,219
2022/12/11-19:24:15,219
2022/12/11-19:24:30,219
2022/12/11-19:24:45,219
2022/12/11-19:25:00,219
2022/12/11-19:25:15,219
2022/12/11-19:25:30,219
2022/12/11-19:25:45,219
2022/12/11-19:26:00,219
2022/12/11-19:26:15,219
2022/12/11-19:26:30,219.13333333
2022/12/11-19:26:45,220
2022/12/11-19:27:00,220
2022/12/11-19:27:15,220
2022/12/11-19:27:30,220
2022/12/11-19:27:45,220
2022/12/11-19:28:00,220
2022/12/11-19:28:15,220
2022/12/11-19:28:30,220
2022/12/11-19:28:45,220
2022/12/11-19:29:00,220
2022/12/11-19:29:15,220
2022/12/11-19:29:30,220
2022/12/11-19:29:45,220
2022/12/11-19:30:00,220
2022/12/11-19:30:15,220
2022/12/11-19:30:30,220
2022/12/11-19:30:45,220
2022/12/11-19:31:00,220
2022/12/11-19:31:15,220
2022/12/11-19:31:30,220
2022/12/11-19:31:45,219.93333333
2022/12/11-19:32:00,219
2022/12/11-19:32:15,219
2022/12/11-19:32:30,219
